Gene Symbol,pTS
NAV3,0.83594
NR2F1,0.99805
ANK2,0.83128
CHD3,0.99804
IRF2BP1,0.99803
VCP,0.99803
LDB1,0.998
MEN1,0.998
PRRC2C,0.95351
CHD6,0.96785
ZFHX4,0.56699
PCNXL3,0.99796
DAZAP1,0.99796
ITPR1,0.98056
TLN1,0.99795
USP7,0.99606
UBE2I,0.99793
GSK3A,0.99793
FBXL19,0.99792
ZSWIM8,0.99792
PSMC2,0.99791
CHD7,0.98135
SMARCD1,0.99791
HIVEP2,0.90188
STXBP1,0.99787
USP5,0.99787
FZR1,0.99785
NF1,0.99785
HNRNPU,0.76496
STX1B,0.99781
PPP5C,0.9978
CAMK2B,0.99774
SCN8A,0.99772
CACNA1C,0.98579
SPEN,0.84748
CS,0.99767
DOCK9,0.97899
ANKRD17,0.99556
CACNA1E,0.99762
SETD1B,0.99762
EP300,0.96712
RARG,0.99759
ARHGEF12,0.9885
RFX1,0.99758
ACACA,0.99758
ARID1A,0.99456
REV3L,0.92304
LMTK3,0.99752
MAP1B,0.8635
ATP2B1,0.99478
NEURL4,0.99742
COL12A1,0.87143
SIN3A,0.99742
SREBF1,0.99742
AUTS2,0.79111
HDAC5,0.99737
MTA1,0.99735
RERE,0.85007
HTT,0.9326
EIF4G1,0.99476
FXR2,0.99729
SATB1,0.80379
CHD1,0.90947
TRIP12,0.93537
CCNL1,0.71634
PIK3CA,0.99722
PPP2R1A,0.99721
COL5A1,0.90689
EIF4G2,0.81614
PLXNB2,0.99719
DDX23,0.99713
RBBP6,0.88221
TCF4,0.99546
WNK1,0.91419
CARM1,0.99706
AGAP3,0.99704
MED13,0.95916
SLC38A2,0.54408
ADNP,0.94634
JPH4,0.997
UNC5A,0.997
RICTOR,0.9628
SYVN1,0.99697
CTBP1,0.99694
PLXNC1,0.99694
SYNCRIP,0.97935
PCF11,0.92427
SLIT2,0.78078
FNDC3B,0.95433
HDLBP,0.99691
PPP1CB,0.99689
XPO7,0.99687
GRAMD1B,0.99687
HNRNPH1,0.99686
USP34,0.93491
PSMC6,0.99681
PPP2R5D,0.9968
MAP4K4,0.9968
STAG1,0.99604
PRPF19,0.99679
CSNK1A1,0.99677
GIT1,0.99674
EZH2,0.99671
SMC3,0.99283
PRPF4B,0.96591
SPTBN4,0.99665
FRY,0.88882
MAP4K1,0.99662
GANAB,0.99661
TOP1,0.99431
PEA15,0.99659
CYHR1,0.99658
PPP3CA,0.99658
ABCE1,0.99653
DHX15,0.9953
MEIS2,0.9711
ASAP1,0.78096
TLE1,0.83495
CACTIN,0.99644
EFTUD2,0.99644
TBX3,0.89645
KAT6A,0.93344
TCF7L2,0.77861
KAT2A,0.9964
MAST1,0.99639
ATP6V1A,0.99639
IPO5,0.93021
NAB2,0.99634
EFNB2,0.64791
EBF3,0.75462
AHCYL1,0.99633
ZNF608,0.44268
DYRK1B,0.9963
DHX30,0.99629
RTF1,0.99629
GTPBP2,0.99624
WDR26,0.99619
ARF1,0.99617
CHERP,0.99616
TMEM63B,0.99615
HDAC9,0.94825
PLEKHA5,0.66529
PTPRD,0.54081
RPS6KA4,0.99613
MYCBP2,0.99437
PSMC3,0.99606
SCAF8,0.90507
NCKAP1,0.95598
PURA,0.996
PBX1,0.97885
SEC61A1,0.99595
NAV2,0.69907
TPR,0.96828
NACC1,0.99583
KLF6,0.93571
CDC42BPB,0.98996
GLI3,0.31179
CLK2,0.99578
ARID4B,0.95434
AGO2,0.99574
COPA,0.99574
NOVA2,0.99573
PRKACA,0.99573
XAB2,0.99573
TMEM259,0.99572
MLLT10,0.84828
SNRNP200,0.99571
DIP2C,0.87671
STAT5B,0.99566
CHD2,0.99017
SLC4A2,0.99562
DENND4B,0.99562
EBF1,0.99058
DMXL2,0.88194
MINK1,0.99557
ZNF521,0.94449
TOP2B,0.99323
SLC25A11,0.99545
PATZ1,0.99542
TRIM46,0.9954
NFKBIA,0.33727
IPO13,0.99537
TCERG1,0.99537
ATP1A1,0.99537
CLPTM1,0.99535
SSRP1,0.99535
SLC8A2,0.99534
ZMYM4,0.9953
SMARCA5,0.99527
SIN3B,0.99527
SCN2A,0.99526
STAT5A,0.99526
BRWD1,0.95462
ABL1,0.95294
KLF5,0.4364
SRCAP,0.97888
EPHA7,0.59687
TRPS1,0.61173
CNIH2,0.99517
NLK,0.99516
ILF2,0.99515
BTAF1,0.87042
UNK,0.99507
NCOA2,0.97734
IPO7,0.99015
PRR12,0.99505
MAPK8IP3,0.99504
NCOR1,0.97729
ZNF827,0.6922
MACF1,0.99499
KDM1A,0.99498
NFIA,0.92318
TP63,0.90666
MAPRE2,0.99494
TNRC6B,0.97265
CAMTA1,0.99491
CAND1,0.93846
MLLT4,0.75414
UBR5,0.98969
SMU1,0.99489
NOVA1,0.78049
RBM25,0.99487
CBLB,0.65273
ADRBK1,0.99484
PPP3CB,0.99483
NAA25,0.9948
PTCH1,0.93522
TRERF1,0.99474
DNMT1,0.99473
ZNF532,0.74996
CENPB,0.99472
PLCB1,0.96573
KALRN,0.91487
KIAA0947,0.33912
BAI1,0.99468
CTNNB1,0.99449
MYH10,0.98874
HIPK2,0.95092
KDM4A,0.99461
PPP2R5B,0.9946
OTUD4,0.95451
MECOM,0.45919
NCOA1,0.97106
ATP2A2,0.9848
KIF5B,0.96104
TNIK,0.98063
PRPF31,0.99445
RBM22,0.99444
MBTD1,0.99444
SIPA1L1,0.72515
UBE3A,0.78899
CELF3,0.99442
TNRC18,0.95055
RBM26,0.85992
TRIM8,0.99438
ARHGAP5,0.82613
COL11A1,0.65984
ZC3H11A,0.98255
STAT2,0.99433
PIK3R1,0.98115
ATP13A3,0.9693
TOMM40L,0.99424
ZNF219,0.99423
OGDH,0.99421
USP21,0.99418
PLXND1,0.99416
COL4A1,0.58833
SF3A1,0.99413
ZNF292,0.73407
DICER1,0.93802
ARHGAP32,0.60624
TJP1,0.48422
ZFHX3,0.37419
PIP4K2B,0.99406
PAXIP1,0.98906
ARFGEF1,0.98976
CELSR3,0.99404
PLCL2,0.90036
CKAP5,0.99402
XPO5,0.994
UNC79,0.994
SPRY2,0.54798
B3GNT1,0.99398
TEAD1,0.39381
GNG3,0.99397
BRD4,0.99397
EPC1,0.89124
CAMSAP2,0.72826
HELZ,0.8669
PTPRK,0.92774
RAC1,0.9939
UNC80,0.9939
CAD,0.99389
GABBR2,0.99386
CDH11,0.31176
MEF2D,0.99384
PIAS4,0.99384
ACIN1,0.99382
CDK5,0.99382
PRKCG,0.9938
RQCD1,0.99379
PBRM1,0.99378
ZFR,0.97134
TANC2,0.90806
HNRNPK,0.98497
ZSWIM6,0.97643
CACNA1G,0.9937
RBPJ,0.9714
EZH1,0.99366
LTBP3,0.99365
PHF3,0.63784
PHF19,0.99363
SVEP1,0.77744
STXBP5,0.87444
NDUFS2,0.99359
BAI3,0.90952
RBM5,0.99355
TTC28,0.92872
IKZF2,0.96054
ETS1,0.87296
IGF1R,0.96099
CLUH,0.99351
PUM1,0.9633
CYFIP2,0.9935
RNF31,0.99347
SMAD7,0.99347
MET,0.64111
FGFR1,0.90657
DDX17,0.96324
SENP3,0.99338
RBBP5,0.99337
FOXP2,0.70899
MTMR4,0.99336
SF3B4,0.99335
CTR9,0.98996
AKT3,0.99332
FLI1,0.9471
MAZ,0.99327
DCAF15,0.99327
PPP3R1,0.99326
SET,0.99326
UPF2,0.77019
LMNA,0.99325
CANX,0.99325
ZNF644,0.80923
DENND4A,0.98751
SCAI,0.99321
AGO3,0.9932
COL1A1,0.9932
WAC,0.80625
SART1,0.99319
NFAT5,0.97665
RANBP9,0.86889
EIF3A,0.9376
SIK3,0.96984
LARP1,0.9931
NAV1,0.94726
TNPO1,0.99084
NUMBL,0.99307
SMCHD1,0.7265
CCDC88A,0.85134
HIVEP1,0.54359
NR3C1,0.89607
KDM3B,0.99304
NRP1,0.32706
EXT1,0.57619
DOPEY1,0.97397
DLG5,0.83847
OPA1,0.81117
TNRC6A,0.71191
DPF2,0.99301
INTS3,0.99301
CBX5,0.993
PACSIN1,0.99298
ASH1L,0.98076
FURIN,0.99293
SF3A3,0.99292
SYMPK,0.99291
CTIF,0.78635
RFX3,0.97056
PPP1R12A,0.83548
ZMYND8,0.99211
NUTF2,0.99287
KAT8,0.99287
CELF4,0.99286
EIF4A2,0.97323
ACTR1A,0.9928
RPL17,0.29097
EP400,0.88011
PPP1CA,0.99276
RHOA,0.99276
U2SURP,0.97093
ATP2C1,0.99146
HMGCR,0.99273
HSP90B1,0.929
SATB2,0.92118
COPS2,0.99269
GCK,0.99269
LAMA5,0.99269
PROX1,0.93589
MYT1L,0.97436
PPP2R2A,0.98603
ZMIZ1,0.97575
FBXW11,0.99264
NLGN2,0.99264
ETV5,0.96516
QSER1,0.7864
BAZ1B,0.99203
COL3A1,0.70934
RAB14,0.9926
FBXL20,0.99257
R3HDM2,0.99252
ZBTB38,0.89881
MATR3,0.98679
GDF11,0.99248
RND3,0.5553
FAT4,0.30366
PTPN12,0.6556
UBAP2L,0.99246
FBXW7,0.99246
CHRD,0.99246
CMIP,0.95226
HIPK1,0.97484
ZFC3H1,0.93785
ZEB1,0.59688
CTDNEP1,0.99241
SON,0.77157
MORC3,0.91423
FOXO1,0.98287
TIAL1,0.98314
USP48,0.99231
HDAC2,0.97173
PPARGC1A,0.41367
BOD1L1,0.34851
FRMD4A,0.93771
RFX7,0.91314
CPEB4,0.95285
DACH1,0.79248
TIPARP,0.66789
NUP153,0.61915
ZMYND19,0.99223
RREB1,0.32061
USP19,0.99219
DLG2,0.99219
SETDB1,0.99215
PNISR,0.9038
DPYSL2,0.99179
SSBP3,0.99212
MRC2,0.98432
RASA1,0.9588
CEP350,0.85128
TAOK1,0.99202
EDF1,0.99202
COL5A2,0.59752
GATAD2B,0.99201
KCNMA1,0.88294
PPP1R9B,0.99197
UBQLN4,0.99197
TFAP2A,0.84437
ZNF236,0.89614
SLC12A2,0.73336
LAMC1,0.59812
PCLO,0.25589
ARL8A,0.99193
TGFB3,0.99191
SIPA1L2,0.38504
LARP4B,0.66304
CACNA2D2,0.99186
PTK2,0.70246
MEGF8,0.99185
PSME4,0.93201
HDAC7,0.99178
PPP2R4,0.99178
CLASP2,0.98825
ATP13A1,0.99177
PDGFRA,0.75048
ATRN,0.91546
PTPRS,0.97042
RALGAPA1,0.96452
HNRNPA2B1,0.57858
NFIX,0.99168
RAD23B,0.77537
NUP205,0.77429
WHSC1L1,0.99165
ITGB1,0.89237
CPSF4,0.99165
BAI2,0.99164
ARNTL,0.98324
PPM1G,0.99161
NEDD4L,0.89553
SLTM,0.83393
RBFOX2,0.95289
BAZ1A,0.88205
SETBP1,0.76583
ACTL6A,0.99157
FASTK,0.99155
IMPDH2,0.99155
FBXL16,0.99155
SOX6,0.70346
KANSL1,0.9841
RUVBL2,0.99152
GREB1L,0.9915
ELMSAN1,0.99149
EIF4G3,0.94356
SCAF11,0.60996
DNAJC13,0.79856
SOS1,0.93921
PCBP2,0.99142
NCBP1,0.99141
SLC2A1,0.9914
ANKRD28,0.97106
PIK3CD,0.99134
UBE2K,0.99134
SMARCD3,0.99132
MAP2K1,0.99132
CELSR1,0.85294
SNRNP70,0.99131
PSMA1,0.9913
DMXL1,0.57485
E2F3,0.79896
MAG,0.99126
KMT2D,0.99125
ANKRD13B,0.99125
TRRAP,0.9865
DENND5B,0.89393
SUCO,0.65603
RAD21,0.95261
KIAA0368,0.94326
GAPVD1,0.947
SOX5,0.84826
ARID4A,0.90748
CUL3,0.97926
FGFR2,0.65201
PTPRA,0.99112
KDM4B,0.99111
PTPRM,0.73324
PAPOLA,0.98723
DLL1,0.87991
PRDM2,0.60261
FAM171A2,0.99105
USP32,0.93948
AEBP2,0.85261
USF2,0.99103
FBN2,0.80232
FERMT2,0.69223
PHLPP1,0.6049
ZMYND11,0.88651
COPS5,0.99097
TRIM2,0.97516
SHANK3,0.95925
CSTF3,0.99095
RRM1,0.99051
ARGLU1,0.8866
C2CD2L,0.99093
COL1A2,0.52003
RLF,0.94347
RPL18,0.99088
PSMD2,0.99088
FYN,0.98015
CYLD,0.87491
TENM3,0.79039
SETD2,0.82624
RALGPS1,0.99081
COPB1,0.96116
PLEC,0.99079
EIF4E2,0.99077
ARFGEF2,0.88039
DPP9,0.99075
WAPAL,0.89357
HIF1A,0.98616
UBE4B,0.97642
GPS1,0.99073
CNNM2,0.99072
GATA3,0.64061
RASGRF1,0.99067
NCOR2,0.95854
UBP1,0.99063
ATP9A,0.896
MYO5A,0.93988
TIAM1,0.99055
KIAA1468,0.96878
MGA,0.90734
EEF2,0.98464
DCAF5,0.69016
ADAMTS6,0.93796
CUX1,0.97124
IGF2BP3,0.77538
MCL1,0.27901
THOC1,0.91934
PHF21A,0.98129
MAP3K7,0.85408
ANO8,0.99041
LPHN3,0.44216
SMAD3,0.99038
MYO18A,0.99038
SH3PXD2A,0.80477
PPAP2B,0.78132
TUBG1,0.99028
PICALM,0.95669
RAE1,0.99024
DCTN2,0.99024
MLLT3,0.94122
ETV1,0.47904
SRSF7,0.74715
TENM2,0.85633
DDX5,0.65262
PREX1,0.97237
SMARCB1,0.9901
CERS2,0.99008
FAM46A,0.3534
RPTOR,0.96996
EEF1A2,0.99005
APC,0.82454
EIF5B,0.99004
PC,0.99004
RNF40,0.99002
MAP3K4,0.68867
CLIP3,0.99
YY1,0.97423
ATP6V0C,0.98997
PABPC1,0.91877
ITSN1,0.98685
CACNG7,0.98993
ELAVL1,0.98993
PDE10A,0.98463
EIF4A1,0.98828
GRIA2,0.98985
MARCH6,0.96924
SF3A2,0.98982
GNB2L1,0.98981
TULP4,0.56534
BHLHE40,0.72485
TEK,0.58528
PTPRF,0.97443
GTF3C1,0.98546
PRKD2,0.98969
LRRC7,0.82886
PUM2,0.53611
TAF3,0.76484
MEMO1,0.98966
PRPF4,0.98965
HNRNPR,0.9871
ATAD2,0.83651
CIT,0.9705
UBR2,0.9896
RBM27,0.96931
CIC,0.98959
MMP2,0.72179
KPNA1,0.98956
STAT1,0.98956
PHF20L1,0.84262
RAPGEF1,0.97537
KIAA0232,0.53273
DOCK2,0.98951
KIF1B,0.96375
NPM1,0.94331
ENAH,0.44432
STT3B,0.98147
KLC2,0.98944
PI4K2A,0.98944
TM9SF2,0.9445
TRAF7,0.98942
ZC3H12C,0.46165
JAKMIP2,0.98064
GRIN2B,0.97547
RUNX2,0.96179
MYO9B,0.98937
RHOC,0.98936
ROCK2,0.98829
CUL2,0.61347
SLIT3,0.69906
ZC3H7B,0.98934
SBNO1,0.98783
ATAD2B,0.97283
MKL2,0.42832
SMARCAD1,0.9574
E2F4,0.9893
TNNI3,0.9893
AFF4,0.95939
SKP1,0.98929
CADM3,0.98928
FXYD7,0.98927
RORC,0.98926
ARHGAP35,0.91711
API5,0.98925
DCLK1,0.97564
PRMT5,0.98924
BTBD19,0.98921
LRRC4B,0.98921
MAP3K12,0.98919
SND1,0.9847
PCDH10,0.20775
DIP2B,0.98506
HPN,0.98916
RB1,0.98915
MTSS1,0.98822
ERBB2IP,0.71847
ITGB8,0.28366
ARRDC3,0.70543
HERC1,0.93152
NRXN2,0.98909
CALD1,0.53408
ANAPC2,0.98906
PACS1,0.98902
CSK,0.989
RAI1,0.77467
KDM5A,0.57193
DYRK1A,0.71491
FOXO3,0.66504
ACTN1,0.96541
PDE2A,0.9889
WDR7,0.89712
PRICKLE2,0.27472
UBE2D2,0.98887
FLT1,0.93337
CDC23,0.98886
HMGXB3,0.98885
JAK1,0.97439
FST,0.92338
USP15,0.94526
ETS2,0.93426
GRIK2,0.89941
PARD3,0.28275
GRHL2,0.77571
AHR,0.09489
EIF3B,0.80909
SF3B2,0.98867
ARHGAP31,0.7109
PTPRZ1,0.59393
CELF5,0.98859
CAMSAP3,0.94155
TNRC6C,0.82524
FOXP1,0.26291
SFMBT2,0.69733
NCAM1,0.97169
CACNA2D1,0.81712
PI4KB,0.98854
PRKCE,0.98853
HMGCS1,0.98835
NFKB1,0.95403
TP53BP1,0.88916
SAMD4B,0.98846
MSI2,0.96281
EML3,0.98845
SRPK2,0.89941
INHBA,0.41699
TGFB2,0.74191
PPP4C,0.98838
EPHA4,0.93787
SLC12A5,0.98834
ZZZ3,0.86659
DNAJC7,0.98834
MAPK14,0.98834
AKT1,0.98834
MPRIP,0.97729
XRCC5,0.97907
ANKRD12,0.53569
FXYD1,0.98824
VEZF1,0.98814
GTPBP1,0.98812
TLE3,0.9519
QRICH1,0.98809
CCND2,0.71982
TSHZ3,0.34123
PDS5B,0.96571
USP47,0.49587
TPP2,0.97244
TNS3,0.37515
RARA,0.98797
JAG2,0.90159
NUCKS1,0.98792
CAMK2G,0.98791
NUP188,0.98789
UBE2O,0.98545
GLYR1,0.98786
PSMD1,0.98785
MAPKAPK2,0.98785
ZBTB1,0.98785
ZCCHC6,0.84671
NR2F2,0.74064
SLC17A7,0.98779
AKAP11,0.42615
DPF1,0.98777
MAP2K7,0.98775
CELF1,0.98774
DOT1L,0.98771
WWP1,0.96844
CTNND2,0.92782
RNF145,0.80892
SEMA6A,0.58394
IL6ST,0.73808
RASAL2,0.83824
HNRNPAB,0.98764
ADAM10,0.96427
KIF13A,0.43758
ZC3H13,0.84952
SMEK1,0.98261
KIAA1244,0.95928
MED12L,0.96417
ZNF609,0.94945
SCAF4,0.9032
UBA2,0.98742
CCNC,0.9422
RB1CC1,0.46694
MAP3K1,0.88299
NFKB2,0.98731
BMPR2,0.84712
CSNK2A2,0.98729
WDR1,0.70309
TEX10,0.73859
PRKRIR,0.97348
BCL11B,0.96273
SEL1L,0.75317
ACAP2,0.98721
KDR,0.52886
GSPT1,0.97573
DNM2,0.98717
TRIM33,0.97989
RAN,0.96473
YWHAE,0.89916
TRIM24,0.97021
WHSC1,0.98711
PHF5A,0.98709
AP3D1,0.98706
SAFB,0.95117
WEE1,0.94356
TLN2,0.71148
TRIM3,0.98697
GNAI2,0.98696
SCN1A,0.95496
KPNA4,0.98693
SAMD4A,0.82901
FXR1,0.93317
DAAM1,0.80346
BRAF,0.98684
SMG6,0.71821
NKTR,0.79499
SLC6A1,0.9868
CSE1L,0.92042
ZBTB7B,0.98678
BAHD1,0.98678
ZNF512B,0.98676
APH1A,0.98676
RPL8,0.89023
RAB11A,0.98675
DAGLA,0.98668
DIDO1,0.95127
FAM120A,0.97063
ADD3,0.89599
AKAP6,0.31416
RAPH1,0.39452
CDC42BPA,0.72783
GLG1,0.80237
KDM2B,0.9808
EFNA5,0.67624
MYRF,0.98655
UBR4,0.98654
ICMT,0.98653
SORCS1,0.22767
MPZ,0.9865
IGF2R,0.81367
RYR2,0.94633
ZNF384,0.98645
SLC6A6,0.98641
VPS4A,0.9864
ATP6V0A1,0.98639
CUL4A,0.98633
EGLN1,0.86749
RAB3GAP2,0.81475
KBTBD2,0.86725
RABGAP1,0.97547
ZBTB16,0.92013
AHCTF1,0.41406
XPOT,0.98627
PIAS1,0.96046
SHOC2,0.96986
ARHGEF7,0.91555
RALGAPB,0.92273
ATG9A,0.98617
CPSF1,0.98616
RPS6KA5,0.96123
TBC1D10B,0.9861
STIM2,0.76106
RPS6,0.2494
INTS6,0.9541
CACNA1I,0.98604
NCAPG2,0.28569
NFATC2,0.55518
ELL2,0.83472
ARFIP2,0.98602
NRG2,0.986
STK39,0.77756
PDZD2,0.66775
SNAP25,0.98592
ZCCHC11,0.9859
ZBTB44,0.88508
PDS5A,0.98564
C11orf68,0.98583
DUSP7,0.98581
FOXN3,0.93814
CDH2,0.74207
SETD5,0.97349
ARHGEF2,0.98575
PHF2,0.98571
PSME3,0.98571
NAA15,0.9857
UHRF2,0.94089
STRBP,0.98567
SRSF3,0.95434
UBE3C,0.88552
SMAD2,0.93526
CLASP1,0.93862
KAT7,0.98555
LOX,0.47317
ZCCHC14,0.8608
GFPT1,0.9855
CTNNA1,0.97736
UBR3,0.98548
RDX,0.61655
MN1,0.55424
SCRIB,0.98546
NAP1L1,0.97295
AHSA1,0.98544
ERH,0.98544
G3BP1,0.98543
BRPF1,0.98539
EWSR1,0.96039
HNRNPUL1,0.98537
TAF4,0.90343
AAMP,0.98536
ZNF281,0.88793
PSIP1,0.71452
ROCK1,0.82021
MAP1A,0.95114
CPSF6,0.97991
PITPNC1,0.98528
RXRA,0.98524
MMP14,0.98522
CACNA1D,0.98425
GRIA1,0.87664
PRR14L,0.79595
DCAF8,0.98515
MYO16,0.53278
UBN2,0.61447
KIAA2018,0.5471
TRA2B,0.94877
KPNA6,0.98496
BRD1,0.74189
FBXO38,0.91013
AP2B1,0.98486
ANTXR1,0.48484
SFPQ,0.63755
HNRNPM,0.95259
RIMS1,0.92967
EXOC5,0.96826
SENP6,0.7807
SURF4,0.98476
GRAMD4,0.97375
IPO9,0.97564
USP14,0.92159
EED,0.98471
ING3,0.91653
SMG7,0.95189
UCKL1,0.98468
ZNF148,0.96267
IPO4,0.98466
SPPL3,0.98464
SPAG9,0.9711
TRIB2,0.46685
PRPF6,0.9846
SP4,0.73057
BCL11A,0.69649
FBLN1,0.6994
HSPA5,0.95482
COPS6,0.98454
MAGI2,0.7361
YTHDC1,0.85347
DAB2IP,0.95176
RELA,0.98449
CDK17,0.97177
NTRK2,0.98181
PSMD11,0.98446
ARIH1,0.96643
RPL3,0.6999
OSBP,0.98439
CNOT4,0.98317
PRRC2B,0.77801
VCAN,0.49667
HNRNPA3,0.89791
ADCY5,0.85961
STRN4,0.98428
MTA2,0.98428
MAST3,0.98427
YWHAZ,0.9324
CNOT6L,0.98425
ZNF407,0.35023
YLPM1,0.76829
IRF6,0.9681
CASZ1,0.85545
BMP2,0.23476
GTPBP4,0.7844
CCAR1,0.98416
MARCH5,0.98412
NRBP1,0.98411
PCDH9,0.41373
UCHL1,0.7034
DPYSL3,0.82103
KLF12,0.67624
COL2A1,0.85743
EIF4B,0.984
ARHGAP42,0.87498
AKT2,0.98397
SOGA1,0.95315
CALM2,0.98391
DYRK2,0.48298
SEMA3A,0.75161
SIK2,0.95237
JAZF1,0.98389
TMED10,0.98388
LRP6,0.87004
LGR4,0.45735
CLASRP,0.98385
EI24,0.98384
LRRC8A,0.98382
XPR1,0.97121
WTAP,0.92991
RIMS2,0.91898
CCNK,0.98376
BIRC6,0.57041
AP2A2,0.98374
CELF2,0.9715
RAB6B,0.9837
TRAPPC8,0.81636
ST5,0.71274
PLXNA4,0.54551
RALGDS,0.98365
NR1D1,0.98362
NNT,0.75689
PHB,0.98357
CNOT2,0.9835
SRSF1,0.7663
SRM,0.98348
RANBP3,0.98347
ITPR3,0.98344
PSMC4,0.98344
RNF41,0.98338
CSNK1G2,0.9833
LPCAT3,0.98328
SEPT4,0.98327
CDYL,0.74689
RCC2,0.98322
INTS2,0.91856
CAMSAP1,0.79198
PCNX,0.62813
HECW2,0.96931
FBL,0.98313
FMNL2,0.89262
PELP1,0.89495
TPT1,0.33871
DDI2,0.98306
FAR1,0.89057
KIAA0922,0.5973
PTBP1,0.98302
FAM135A,0.73642
HEPACAM,0.98302
WDR48,0.98302
CORO1C,0.81078
RAD54L2,0.95255
UBE2Z,0.98284
HNRNPL,0.98283
DOCK4,0.94776
RPL9,0.65105
XPO4,0.97488
INO80,0.98274
DDX1,0.86109
CTNND1,0.98271
RBPMS,0.38847
PSMD12,0.86256
RPL6,0.50584
PAFAH1B1,0.97598
SKIL,0.49876
DDX6,0.98264
UBQLN1,0.92582
SP1,0.77522
MAF1,0.98259
CHAF1A,0.88265
ZNF131,0.83409
GPATCH8,0.81045
NUP98,0.92051
LSAMP,0.897
HCFC2,0.93493
YTHDF2,0.64272
FAM208A,0.94276
CLCF1,0.98241
CNOT7,0.9824
RUNDC3A,0.98233
UNC13A,0.98233
MAML2,0.78208
FAM160B1,0.56819
RAB24,0.98231
MITF,0.54778
RAB1A,0.98227
CPEB3,0.96909
SMC2,0.62332
KLF7,0.8927
KCNK12,0.98221
PRKAR1A,0.98221
SBNO2,0.98221
DKFZP761J1410,0.9822
EEA1,0.89607
THSD7A,0.26824
EFEMP1,0.45484
ATP1A2,0.98218
ANKRD11,0.8437
MEF2A,0.74944
PDCD10,0.90375
SCN3A,0.88239
MLLT1,0.98214
TMEM131,0.87197
PTBP2,0.75043
TOX3,0.48231
CNOT3,0.98207
BZW1,0.98206
TAOK3,0.97114
MON2,0.94235
SEPHS1,0.95361
GNB1,0.98201
ATXN1,0.77155
EPS15L1,0.98198
RCOR3,0.9275
MYL6,0.98196
FZD4,0.36158
BRD3,0.98194
PABPN1,0.98192
RAB35,0.98192
RBM33,0.82984
PDZRN3,0.15108
TRAPPC10,0.88192
RAPGEF5,0.70863
ACLY,0.9819
NR4A2,0.71207
UBE2N,0.98188
GID8,0.98188
MAPKAP1,0.93976
ESRP1,0.70495
ZER1,0.98184
FMN2,0.34835
FNBP4,0.98169
SYT7,0.9816
ZNF865,0.98158
FASN,0.98156
CDK13,0.55718
KCNJ9,0.98153
BAZ2B,0.82914
PHC3,0.74183
BRPF3,0.90403
SGIP1,0.86202
MYH9,0.9484
HMBOX1,0.94463
HAS2,0.44485
ZNF319,0.98133
RPS3A,0.3713
U2AF1,0.98132
FOXJ2,0.9813
KLHDC10,0.98126
MTMR3,0.87181
