HPO.Accession,HPO.Term,Gene.Symbol,Source,Source.ID
HP:0001272,cerebellar atrophy,PNKP,mim2gene,OMIM:613402
HP:0001272,cerebellar atrophy,ADPRS,mim2gene,OMIM:618170
HP:0001272,cerebellar atrophy,TDP1,mim2gene,OMIM:607250
HP:0001272,cerebellar atrophy,FRRS1L,mim2gene,OMIM:616981
HP:0001272,cerebellar atrophy,TRAPPC6B,mim2gene,OMIM:617862
HP:0001272,cerebellar atrophy,GAD1,mim2gene,OMIM:619124
HP:0001272,cerebellar atrophy,BTD,mim2gene,OMIM:253260
HP:0001272,cerebellar atrophy,EXOSC3,mim2gene,OMIM:614678
HP:0001272,cerebellar atrophy,KCND3,mim2gene,OMIM:607346
HP:0001272,cerebellar atrophy,BCORL1,mim2gene,OMIM:301029
HP:0001272,cerebellar atrophy,POLG2,mim2gene,OMIM:619425
HP:0001272,cerebellar atrophy,CUL4B,mim2gene,OMIM:300354
HP:0001272,cerebellar atrophy,CTSD,mim2gene,OMIM:610127
HP:0001272,cerebellar atrophy,COL4A1,mim2gene,OMIM:175780
HP:0001272,cerebellar atrophy,AP4M1,mim2gene,OMIM:612936
HP:0001272,cerebellar atrophy,COQ9,mim2gene,OMIM:614654
HP:0001272,cerebellar atrophy,WDR81,mim2gene,OMIM:610185
HP:0001272,cerebellar atrophy,SQSTM1,mim2gene,OMIM:617145
HP:0001272,cerebellar atrophy,GTPBP2,mim2gene,OMIM:617988
HP:0001272,cerebellar atrophy,APTX,mim2gene,OMIM:208920
HP:0001272,cerebellar atrophy,PEX16,mim2gene,OMIM:614877
HP:0001272,cerebellar atrophy,CRAT,mim2gene,OMIM:617917
HP:0001272,cerebellar atrophy,TRPC3,mim2gene,OMIM:616410
HP:0001272,cerebellar atrophy,RFC1,mim2gene,OMIM:614575
HP:0001272,cerebellar atrophy,NALCN,mim2gene,OMIM:616266
HP:0001272,cerebellar atrophy,SPTBN2,mim2gene,OMIM:600224
HP:0001272,cerebellar atrophy,CNTNAP1,mim2gene,OMIM:618186
HP:0001272,cerebellar atrophy,TBCE,mim2gene,OMIM:617207
HP:0001272,cerebellar atrophy,SYT14,mim2gene,OMIM:614229
HP:0001272,cerebellar atrophy,RARS2,mim2gene,OMIM:611523
HP:0001272,cerebellar atrophy,HEPACAM,mim2gene,OMIM:613925
HP:0001272,cerebellar atrophy,DNAJC3,mim2gene,OMIM:616192
HP:0001272,cerebellar atrophy,MTHFS,mim2gene,OMIM:618367
HP:0001272,cerebellar atrophy,ARG1,mim2gene,OMIM:207800
HP:0001272,cerebellar atrophy,TBC1D2B,mim2gene,OMIM:619323
HP:0001272,cerebellar atrophy,NDUFA1,mim2gene,OMIM:301020
HP:0001272,cerebellar atrophy,ZNHIT3,mim2gene,OMIM:260565
HP:0001272,cerebellar atrophy,ATP6V1A,mim2gene,OMIM:618012
HP:0001272,cerebellar atrophy,MFF,mim2gene,OMIM:617086
HP:0001272,cerebellar atrophy,MDH2,mim2gene,OMIM:617339
HP:0001272,cerebellar atrophy,ITPR1,mim2gene,OMIM:117360
HP:0001272,cerebellar atrophy,ATP2B3,mim2gene,OMIM:302500
HP:0001272,cerebellar atrophy,PLA2G6,mim2gene,OMIM:610217
HP:0001272,cerebellar atrophy,WWOX,mim2gene,OMIM:614322
HP:0001272,cerebellar atrophy,COL18A1,mim2gene,OMIM:267750
HP:0001272,cerebellar atrophy,CLN5,mim2gene,OMIM:256731
HP:0001272,cerebellar atrophy,CACNA1A,mim2gene,OMIM:141500
HP:0001272,cerebellar atrophy,L2HGDH,mim2gene,OMIM:236792
HP:0001272,cerebellar atrophy,PNKP,mim2gene,OMIM:616267
HP:0001272,cerebellar atrophy,SLC5A6,mim2gene,OMIM:618973
HP:0001272,cerebellar atrophy,KCNMA1,mim2gene,OMIM:617643
HP:0001272,cerebellar atrophy,CLN8,mim2gene,OMIM:610003
HP:0001272,cerebellar atrophy,GDAP2,mim2gene,OMIM:618369
HP:0001272,cerebellar atrophy,WDR4,mim2gene,OMIM:618347
HP:0001272,cerebellar atrophy,MAN2B1,mim2gene,OMIM:248500
HP:0001272,cerebellar atrophy,ALG3,mim2gene,OMIM:601110
HP:0001272,cerebellar atrophy,VPS11,mim2gene,OMIM:616683
HP:0001272,cerebellar atrophy,ZNF335,mim2gene,OMIM:615095
HP:0001272,cerebellar atrophy,PLA2G6,mim2gene,OMIM:256600
HP:0001272,cerebellar atrophy,RORA,mim2gene,OMIM:618060
HP:0001272,cerebellar atrophy,GRIA2,mim2gene,OMIM:618917
HP:0001272,cerebellar atrophy,CNTNAP1,mim2gene,OMIM:616286
HP:0001272,cerebellar atrophy,UFM1,mim2gene,OMIM:617899
HP:0001272,cerebellar atrophy,PIGT,mim2gene,OMIM:615398
HP:0001272,cerebellar atrophy,RUBCN,mim2gene,OMIM:615705
HP:0001272,cerebellar atrophy,ATP13A2,mim2gene,OMIM:617225
HP:0001272,cerebellar atrophy,AP4E1,mim2gene,OMIM:613744
HP:0001272,cerebellar atrophy,NMNAT1,mim2gene,OMIM:619260
HP:0001272,cerebellar atrophy,ZPR1,mim2gene,OMIM:619321
HP:0001272,cerebellar atrophy,SLC25A46,mim2gene,OMIM:616505
HP:0001272,cerebellar atrophy,NDUFS4,mim2gene,OMIM:252010
HP:0001272,cerebellar atrophy,FAT2,mim2gene,OMIM:617769
HP:0001272,cerebellar atrophy,ATAD3A,mim2gene,OMIM:617183
HP:0001272,cerebellar atrophy,MRE11,mim2gene,OMIM:604391
HP:0001272,cerebellar atrophy,ACY1,mim2gene,OMIM:609924
HP:0001272,cerebellar atrophy,YIF1B,mim2gene,OMIM:619125
HP:0001272,cerebellar atrophy,KCNMA1,mim2gene,OMIM:618729
HP:0001272,cerebellar atrophy,STT3A,mim2gene,OMIM:615596
HP:0001272,cerebellar atrophy,ATXN8,mim2gene,OMIM:608768
HP:0001272,cerebellar atrophy,PEX2,mim2gene,OMIM:614867
HP:0001272,cerebellar atrophy,AIMP2,mim2gene,OMIM:618006
HP:0001272,cerebellar atrophy,ADSL,mim2gene,OMIM:103050
HP:0001272,cerebellar atrophy,PEX10,mim2gene,OMIM:614871
HP:0001272,cerebellar atrophy,CLCN7,mim2gene,OMIM:618541
HP:0001272,cerebellar atrophy,CKAP2L,mim2gene,OMIM:272440
HP:0001272,cerebellar atrophy,DHX30,mim2gene,OMIM:617804
HP:0001272,cerebellar atrophy,SACS,mim2gene,OMIM:270550
HP:0001272,cerebellar atrophy,WDR45,mim2gene,OMIM:300894
HP:0001272,cerebellar atrophy,FGF14,mim2gene,OMIM:609307
HP:0001272,cerebellar atrophy,PUM1,mim2gene,OMIM:617931
HP:0001272,cerebellar atrophy,STT3B,mim2gene,OMIM:615597
HP:0001272,cerebellar atrophy,PIK3R5,mim2gene,OMIM:615217
HP:0001272,cerebellar atrophy,GEMIN5,mim2gene,OMIM:619333
HP:0001272,cerebellar atrophy,CYP27A1,mim2gene,OMIM:213700
HP:0001272,cerebellar atrophy,SLC33A1,mim2gene,OMIM:614482
HP:0001272,cerebellar atrophy,PNPLA6,mim2gene,OMIM:612020
HP:0001272,cerebellar atrophy,DNMT1,mim2gene,OMIM:604121
HP:0001272,cerebellar atrophy,NFASC,mim2gene,OMIM:618356
HP:0001272,cerebellar atrophy,POLG,mim2gene,OMIM:203700
HP:0001272,cerebellar atrophy,OPA1,mim2gene,OMIM:210000
HP:0001272,cerebellar atrophy,DEGS1,mim2gene,OMIM:618404
HP:0001272,cerebellar atrophy,CLPB,mim2gene,OMIM:616271
HP:0001272,cerebellar atrophy,PRKCG,mim2gene,OMIM:605361
HP:0001272,cerebellar atrophy,PRNP,mim2gene,OMIM:137440
HP:0001272,cerebellar atrophy,TWNK,mim2gene,OMIM:271245
HP:0001272,cerebellar atrophy,ERCC3,mim2gene,OMIM:610651
HP:0001272,cerebellar atrophy,CARS1,mim2gene,OMIM:618891
HP:0001272,cerebellar atrophy,ARMC9,mim2gene,OMIM:617622
HP:0001272,cerebellar atrophy,RTTN,mim2gene,OMIM:614833
HP:0001272,cerebellar atrophy,AGTPBP1,mim2gene,OMIM:618276
HP:0001272,cerebellar atrophy,BCS1L,mim2gene,OMIM:124000
HP:0001272,cerebellar atrophy,PIGK,mim2gene,OMIM:618879
HP:0001272,cerebellar atrophy,RNASEH2A,mim2gene,OMIM:610333
HP:0001272,cerebellar atrophy,NUP214,mim2gene,OMIM:618426
HP:0001272,cerebellar atrophy,ATXN10,mim2gene,OMIM:603516
HP:0001272,cerebellar atrophy,SPART,mim2gene,OMIM:275900
HP:0001272,cerebellar atrophy,VPS4A,mim2gene,OMIM:619273
HP:0001272,cerebellar atrophy,VPS53,mim2gene,OMIM:615851
HP:0001272,cerebellar atrophy,PDYN,mim2gene,OMIM:610245
HP:0001272,cerebellar atrophy,XRCC1,mim2gene,OMIM:617633
HP:0001272,cerebellar atrophy,COQ2,mim2gene,OMIM:607426
HP:0001272,cerebellar atrophy,ATXN8OS,mim2gene,OMIM:608768
HP:0001272,cerebellar atrophy,MRM2,mim2gene,OMIM:618567
HP:0001272,cerebellar atrophy,LIPT1,mim2gene,OMIM:616299
HP:0001272,cerebellar atrophy,RNF216,mim2gene,OMIM:212840
HP:0001272,cerebellar atrophy,WDR73,mim2gene,OMIM:251300
HP:0001272,cerebellar atrophy,VWA3B,mim2gene,OMIM:616948
HP:0001272,cerebellar atrophy,DAB1,mim2gene,OMIM:615945
HP:0001272,cerebellar atrophy,POLR3B,mim2gene,OMIM:614381
HP:0001272,cerebellar atrophy,DLG4,mim2gene,OMIM:618793
HP:0001272,cerebellar atrophy,CACNA1A,mim2gene,OMIM:108500
HP:0001272,cerebellar atrophy,SAMD9L,mim2gene,OMIM:159550
HP:0001272,cerebellar atrophy,SLC9A6,mim2gene,OMIM:300243
HP:0001272,cerebellar atrophy,PIGS,mim2gene,OMIM:618143
HP:0001272,cerebellar atrophy,HERC1,mim2gene,OMIM:617011
HP:0001272,cerebellar atrophy,NDUFS1,mim2gene,OMIM:618226
HP:0001272,cerebellar atrophy,STUB1,mim2gene,OMIM:618093
HP:0001272,cerebellar atrophy,FKRP,mim2gene,OMIM:606612
HP:0001272,cerebellar atrophy,AFG3L2,mim2gene,OMIM:610246
HP:0001272,cerebellar atrophy,RNASEH1,mim2gene,OMIM:616479
HP:0001272,cerebellar atrophy,FBXL4,mim2gene,OMIM:615471
HP:0001272,cerebellar atrophy,IRF2BPL,mim2gene,OMIM:618088
HP:0001272,cerebellar atrophy,HK1,mim2gene,OMIM:618547
HP:0001272,cerebellar atrophy,TRAPPC11,mim2gene,OMIM:615356
HP:0001272,cerebellar atrophy,COG7,mim2gene,OMIM:608779
HP:0001272,cerebellar atrophy,C19ORF12,mim2gene,OMIM:614298
HP:0001272,cerebellar atrophy,TUBB4A,mim2gene,OMIM:612438
HP:0001272,cerebellar atrophy,KIF1A,mim2gene,OMIM:614255
HP:0001272,cerebellar atrophy,GRM7,mim2gene,OMIM:618922
HP:0001272,cerebellar atrophy,EPRS1,mim2gene,OMIM:617951
HP:0001272,cerebellar atrophy,EBF3,mim2gene,OMIM:617330
HP:0001272,cerebellar atrophy,ATXN3,mim2gene,OMIM:109150
HP:0001272,cerebellar atrophy,HTT,mim2gene,OMIM:143100
HP:0001272,cerebellar atrophy,ATP8A2,mim2gene,OMIM:615268
HP:0001272,cerebellar atrophy,MVK,mim2gene,OMIM:610377
HP:0001272,cerebellar atrophy,GBA2,mim2gene,OMIM:614409
HP:0001272,cerebellar atrophy,MED27,mim2gene,OMIM:619286
HP:0001272,cerebellar atrophy,VPS41,mim2gene,OMIM:619389
HP:0001272,cerebellar atrophy,NOP56,mim2gene,OMIM:614153
HP:0001272,cerebellar atrophy,CCDC88C,mim2gene,OMIM:616053
HP:0001272,cerebellar atrophy,COG1,mim2gene,OMIM:611209
HP:0001272,cerebellar atrophy,OSGEP,mim2gene,OMIM:617729
HP:0001272,cerebellar atrophy,ZIC1,mim2gene,OMIM:616602
HP:0001272,cerebellar atrophy,KCNC3,mim2gene,OMIM:605259
HP:0001272,cerebellar atrophy,NDUFA9,mim2gene,OMIM:618247
HP:0001272,cerebellar atrophy,PCNA,mim2gene,OMIM:615919
HP:0001272,cerebellar atrophy,ATP6AP2,mim2gene,OMIM:300423
HP:0001272,cerebellar atrophy,SPTAN1,mim2gene,OMIM:613477
HP:0001272,cerebellar atrophy,MCOLN1,mim2gene,OMIM:252650
HP:0001272,cerebellar atrophy,MARS2,mim2gene,OMIM:616430
HP:0001272,cerebellar atrophy,TSEN2,mim2gene,OMIM:612389
HP:0001272,cerebellar atrophy,TAF1,mim2gene,OMIM:300966
HP:0001272,cerebellar atrophy,COG5,mim2gene,OMIM:613612
HP:0001272,cerebellar atrophy,TTC19,mim2gene,OMIM:615157
HP:0001272,cerebellar atrophy,FMR1,mim2gene,OMIM:300623
HP:0001272,cerebellar atrophy,CHP1,mim2gene,OMIM:618438
HP:0001272,cerebellar atrophy,MFSD8,mim2gene,OMIM:610951
HP:0001272,cerebellar atrophy,PLD3,mim2gene,OMIM:617770
HP:0001272,cerebellar atrophy,TUBB,mim2gene,OMIM:156610
HP:0001272,cerebellar atrophy,ELOVL5,mim2gene,OMIM:615957
HP:0001272,cerebellar atrophy,AFG3L2,mim2gene,OMIM:614487
HP:0001272,cerebellar atrophy,GRM1,mim2gene,OMIM:614831
HP:0001272,cerebellar atrophy,SLC9A1,mim2gene,OMIM:616291
HP:0001272,cerebellar atrophy,VARS1,mim2gene,OMIM:617802
HP:0001272,cerebellar atrophy,FOXRED1,mim2gene,OMIM:618241
HP:0001272,cerebellar atrophy,ITPR1,mim2gene,OMIM:606658
HP:0001272,cerebellar atrophy,KCNJ10,mim2gene,OMIM:612780
HP:0001272,cerebellar atrophy,HSD17B4,mim2gene,OMIM:261515
HP:0001272,cerebellar atrophy,ABHD12,mim2gene,OMIM:612674
HP:0001272,cerebellar atrophy,CTBP1,mim2gene,OMIM:617915
HP:0001272,cerebellar atrophy,DPM1,mim2gene,OMIM:608799
HP:0001272,cerebellar atrophy,PIGU,mim2gene,OMIM:618590
HP:0001272,cerebellar atrophy,KCNC1,mim2gene,OMIM:616187
HP:0001272,cerebellar atrophy,TTBK2,mim2gene,OMIM:604432
HP:0001272,cerebellar atrophy,STUB1,mim2gene,OMIM:615768
HP:0001272,cerebellar atrophy,SDHA,mim2gene,OMIM:619259
HP:0001272,cerebellar atrophy,SEPSECS,mim2gene,OMIM:613811
HP:0001272,cerebellar atrophy,ERCC6,mim2gene,OMIM:278800
HP:0001272,cerebellar atrophy,CACNA1G,mim2gene,OMIM:616795
HP:0001272,cerebellar atrophy,TGM6,mim2gene,OMIM:613908
HP:0001272,cerebellar atrophy,TBP,mim2gene,OMIM:607136
HP:0001272,cerebellar atrophy,SOD1,mim2gene,OMIM:618598
HP:0001272,cerebellar atrophy,GRM1,mim2gene,OMIM:617691
HP:0001272,cerebellar atrophy,SPG7,mim2gene,OMIM:607259
HP:0001272,cerebellar atrophy,GJB1,mim2gene,OMIM:302800
HP:0001272,cerebellar atrophy,COA7,mim2gene,OMIM:618387
HP:0001272,cerebellar atrophy,SCARB2,mim2gene,OMIM:254900
HP:0001272,cerebellar atrophy,EMC1,mim2gene,OMIM:616875
HP:0001272,cerebellar atrophy,UBTF,mim2gene,OMIM:617672
HP:0001272,cerebellar atrophy,CLN8,mim2gene,OMIM:600143
HP:0001272,cerebellar atrophy,SPTBN2,mim2gene,OMIM:615386
HP:0001272,cerebellar atrophy,TPP1,mim2gene,OMIM:609270
HP:0001272,cerebellar atrophy,KIF1C,mim2gene,OMIM:611302
HP:0001272,cerebellar atrophy,SLC25A46,mim2gene,OMIM:619303
HP:0001272,cerebellar atrophy,CYFIP2,mim2gene,OMIM:618008
HP:0001272,cerebellar atrophy,MYH3,mim2gene,OMIM:193700
HP:0001272,cerebellar atrophy,CCDC88A,mim2gene,OMIM:617507
HP:0001272,cerebellar atrophy,ACTL6B,mim2gene,OMIM:618468
HP:0001272,cerebellar atrophy,COX20,mim2gene,OMIM:619054
HP:0001272,cerebellar atrophy,ANO10,mim2gene,OMIM:613728
HP:0001272,cerebellar atrophy,ACO2,mim2gene,OMIM:614559
HP:0001272,cerebellar atrophy,EEF2,mim2gene,OMIM:609306
HP:0001272,cerebellar atrophy,NARS2,mim2gene,OMIM:616239
HP:0001272,cerebellar atrophy,COG8,mim2gene,OMIM:611182
HP:0001272,cerebellar atrophy,CTSF,mim2gene,OMIM:615362
HP:0001272,cerebellar atrophy,BCAP31,mim2gene,OMIM:300475
HP:0001272,cerebellar atrophy,FCSK,mim2gene,OMIM:618324
HP:0001272,cerebellar atrophy,MICOS13,mim2gene,OMIM:618329
HP:0001272,cerebellar atrophy,EXOSC9,mim2gene,OMIM:618065
HP:0001273,abnormal corpus callosum morphology,ARX,mim2gene,OMIM:300004
HP:0001273,abnormal corpus callosum morphology,CREBBP,mim2gene,OMIM:180849
HP:0001273,abnormal corpus callosum morphology,EIF2S3,mim2gene,OMIM:300148
HP:0001273,abnormal corpus callosum morphology,HIBCH,mim2gene,OMIM:250620
HP:0001273,abnormal corpus callosum morphology,NDE1,mim2gene,OMIM:614019
HP:0001273,abnormal corpus callosum morphology,GNAO1,mim2gene,OMIM:617493
HP:0001273,abnormal corpus callosum morphology,HACE1,mim2gene,OMIM:616756
HP:0001273,abnormal corpus callosum morphology,POMGNT1,mim2gene,OMIM:253280
HP:0001273,abnormal corpus callosum morphology,NRROS,mim2gene,OMIM:618875
HP:0001273,abnormal corpus callosum morphology,DDX59,mim2gene,OMIM:174300
HP:0001273,abnormal corpus callosum morphology,MED25,mim2gene,OMIM:616449
HP:0001273,abnormal corpus callosum morphology,SLC12A6,mim2gene,OMIM:218000
HP:0001273,abnormal corpus callosum morphology,PIK3R2,mim2gene,OMIM:603387
HP:0001273,abnormal corpus callosum morphology,RAB18,mim2gene,OMIM:614222
HP:0001273,abnormal corpus callosum morphology,ATAD3A,mim2gene,OMIM:618810
HP:0001273,abnormal corpus callosum morphology,RUSC2,mim2gene,OMIM:617773
HP:0001273,abnormal corpus callosum morphology,DARS1,mim2gene,OMIM:615281
HP:0001273,abnormal corpus callosum morphology,KIAA0753,mim2gene,OMIM:619479
HP:0001273,abnormal corpus callosum morphology,CDH2,mim2gene,OMIM:618929
HP:0001273,abnormal corpus callosum morphology,COPB2,mim2gene,OMIM:617800
HP:0001273,abnormal corpus callosum morphology,SPG11,mim2gene,OMIM:616668
HP:0001273,abnormal corpus callosum morphology,FRMD4A,mim2gene,OMIM:616819
HP:0001273,abnormal corpus callosum morphology,POLG2,mim2gene,OMIM:618528
HP:0001273,abnormal corpus callosum morphology,KCTD7,mim2gene,OMIM:611726
HP:0001273,abnormal corpus callosum morphology,CNTNAP1,mim2gene,OMIM:616286
HP:0001273,abnormal corpus callosum morphology,SHH,mim2gene,OMIM:269160
HP:0001273,abnormal corpus callosum morphology,FGFR1,mim2gene,OMIM:147950
HP:0001273,abnormal corpus callosum morphology,RAC3,mim2gene,OMIM:618577
HP:0001273,abnormal corpus callosum morphology,COL3A1,mim2gene,OMIM:618343
HP:0001273,abnormal corpus callosum morphology,C2CD3,mim2gene,OMIM:615948
HP:0001273,abnormal corpus callosum morphology,GLI2,mim2gene,OMIM:610829
HP:0001273,abnormal corpus callosum morphology,RHOBTB2,mim2gene,OMIM:618004
HP:0001273,abnormal corpus callosum morphology,TMEM106B,mim2gene,OMIM:617964
HP:0001273,abnormal corpus callosum morphology,ACTG1,mim2gene,OMIM:614583
HP:0001273,abnormal corpus callosum morphology,CNTNAP1,mim2gene,OMIM:618186
HP:0001273,abnormal corpus callosum morphology,PRUNE1,mim2gene,OMIM:617481
HP:0001273,abnormal corpus callosum morphology,B4GAT1,mim2gene,OMIM:615287
HP:0001273,abnormal corpus callosum morphology,KMT2E,mim2gene,OMIM:618512
HP:0001273,abnormal corpus callosum morphology,NARS2,mim2gene,OMIM:616239
HP:0001273,abnormal corpus callosum morphology,POMT2,mim2gene,OMIM:613156
HP:0001273,abnormal corpus callosum morphology,ATL1,mim2gene,OMIM:182600
HP:0001273,abnormal corpus callosum morphology,ATP6AP2,mim2gene,OMIM:300423
HP:0001273,abnormal corpus callosum morphology,DPYD,mim2gene,OMIM:274270
HP:0001273,abnormal corpus callosum morphology,EPG5,mim2gene,OMIM:242840
HP:0001273,abnormal corpus callosum morphology,SMARCB1,mim2gene,OMIM:614608
HP:0001273,abnormal corpus callosum morphology,IGF1R,mim2gene,OMIM:270450
HP:0001273,abnormal corpus callosum morphology,ACTL6B,mim2gene,OMIM:618470
HP:0001273,abnormal corpus callosum morphology,GRIN1,mim2gene,OMIM:614254
HP:0001273,abnormal corpus callosum morphology,SLC25A10,mim2gene,OMIM:618972
HP:0001273,abnormal corpus callosum morphology,WT1,mim2gene,OMIM:106210
HP:0001273,abnormal corpus callosum morphology,TUBB,mim2gene,OMIM:156610
HP:0001273,abnormal corpus callosum morphology,SCYL2,mim2gene,OMIM:618766
HP:0001273,abnormal corpus callosum morphology,GLI3,mim2gene,OMIM:175700
HP:0001273,abnormal corpus callosum morphology,POMT1,mim2gene,OMIM:236670
HP:0001273,abnormal corpus callosum morphology,SPEN,mim2gene,OMIM:619312
HP:0001273,abnormal corpus callosum morphology,TUBB3,mim2gene,OMIM:614039
HP:0001273,abnormal corpus callosum morphology,SYNJ1,mim2gene,OMIM:617389
HP:0001273,abnormal corpus callosum morphology,KDM1A,mim2gene,OMIM:616728
HP:0001273,abnormal corpus callosum morphology,GDF1,mim2gene,OMIM:208530
HP:0001273,abnormal corpus callosum morphology,EXOC2,mim2gene,OMIM:619306
HP:0001273,abnormal corpus callosum morphology,SIX6,mim2gene,OMIM:206900
