name	smiles	id	struct_id	meddra_name	meddra_code	level	llr_ratio
"riboflavin"	"CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=NC(=O)NC(=O)C1=N2"	2808648	2834	"Atrial septal defect"	10003664	"PT"	7.1272213247172855
"zinc oxide"	"O=[Zn]"	2808647	4240	"Atrial septal defect"	10003664	"PT"	7.034673923999597
"alpha-tocopherol acetate"	"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(OC(C)=O)=C(C)C(C)=C2O1"	2808650	4195	"Atrial septal defect"	10003664	"PT"	6.765315452605912
"nicotinamide"	"NC(=O)C1=CN=CC=C1"	2808643	1906	"Atrial septal defect"	10003664	"PT"	6.744202319072371
"lopinavir"	"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1"	3459424	1601	"Trisomy 21"	10044688	"PT"	6.482025805561306
"pyridoxine"	"CC1=C(O)C(CO)=C(CO)C=N1"	2808651	2836	"Atrial septal defect"	10003664	"PT"	5.968891069676153
"tenofovir disoproxil"	"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C"	3459398	2593	"Trisomy 21"	10044688	"PT"	5.956899518238127
"venlafaxine"	"COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1"	2808657	2813	"Atrial septal defect"	10003664	"PT"	5.923506579570198
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2956567	2068	"Double outlet right ventricle"	10013611	"PT"	5.900188501413761
"thiamine"	"CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N"	2808652	2832	"Atrial septal defect"	10003664	"PT"	5.826065362074104
"zidovudine"	"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"	3459427	2861	"Trisomy 21"	10044688	"PT"	5.700227759914255
"magnesium oxide"	"O=[Mg]"	2808644	4293	"Atrial septal defect"	10003664	"PT"	5.484939457620334
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2898455	2068	"Cleft palate"	10009269	"PT"	5.2497643732328
"cyanocobalamin"	(null)	2808646	4196	"Atrial septal defect"	10003664	"PT"	5.216490816725283
"folic acid"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=N1"	3289327	1231	"Patent ductus arteriosus"	10034130	"PT"	5.174168297455968
"zidovudine"	"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"	3475382	2861	"Ventricular septal defect"	10047298	"PT"	5.084874062165058
"ritonavir"	"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1"	3475258	2391	"Ventricular septal defect"	10047298	"PT"	5.049311417147933
"ascorbic acid"	"OC[C@H](O)[C@H]1OC(=O)C(O)=C1O"	2808573	4072	"Atrial septal defect"	10003664	"PT"	5.029217530518311
"retinol acetate"	"CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C"	3475269	2372	"Ventricular septal defect"	10047298	"PT"	4.986864881376642
"manganese sulfate"	(null)	3475273	4461	"Ventricular septal defect"	10047298	"PT"	4.971483661457277
"mycophenolate mofetil"	"COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1"	3206952	1859	"Microtia"	10027555	"PT"	4.793209017534094
"riboflavin"	"CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=NC(=O)NC(=O)C1=N2"	3475272	2834	"Ventricular septal defect"	10047298	"PT"	4.78937802907916
"dexamethasone"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	3412423	824	"Spinal cord compression"	10041549	"PT"	4.7871176101193145
"zinc oxide"	"O=[Zn]"	3475271	4240	"Ventricular septal defect"	10047298	"PT"	4.732083459328697
"topiramate"	"CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1"	2898363	2706	"Cleft lip"	10009259	"PT"	4.60889546658358
"radium Ra 223 dichloride"	"Cl[223Ra]Cl"	3412591	4800	"Spinal cord compression"	10041549	"PT"	4.608542028266799
"rofecoxib"	"CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1"	2785818	2397	"Aortic aneurysm"	10002882	"PT"	4.52733773038279
"thalidomide"	"O=C1N(C2CCC(=O)NC2=O)C(=O)C2=C1C=CC=C2"	3412452	2616	"Spinal cord compression"	10041549	"PT"	4.435954095088745
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	3121967	1540	"Hypoplastic left heart syndrome"	10021076	"PT"	4.4355027605822315
"misoprostol"	"CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"	2778199	1817	"Anencephaly"	10002320	"PT"	4.403501737503341
"nicotinamide"	"NC(=O)C1=CN=CC=C1"	3475267	1906	"Ventricular septal defect"	10047298	"PT"	4.387145141943223
"valproic acid"	"CCCC(CCC)C(O)=O"	2808590	2803	"Atrial septal defect"	10003664	"PT"	4.343896713615023
"tacrolimus"	"CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@@H]1C)OC"	2944606	2552	"Diaphragmatic hernia"	10012713	"PT"	4.265980498374865
"alpha-tocopherol acetate"	"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(OC(C)=O)=C(C)C(C)=C2O1"	3475274	4195	"Ventricular septal defect"	10047298	"PT"	4.246063192116225
"methyldopa"	"C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O"	3289480	1762	"Patent ductus arteriosus"	10034130	"PT"	4.15322482197355
"zidovudine"	"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"	2808812	2861	"Atrial septal defect"	10003664	"PT"	4.109525723472669
"levocetirizine"	"OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1"	3584289	1566	"Trisomy 18"	10053884	"PT"	4.062656119900083
"levetiracetam"	"CC[C@H](N1CCCC1=O)C(N)=O"	2808591	1563	"Atrial septal defect"	10003664	"PT"	4.060036496350365
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	2898478	1540	"Cleft palate"	10009269	"PT"	3.903212313869834
"levothyroxine"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"	3289300	2646	"Patent ductus arteriosus"	10034130	"PT"	3.8676989415915326
"theophylline"	"CN1C2=C(N=CN2)C(=O)N(C)C1=O"	3584272	2620	"Trisomy 18"	10053884	"PT"	3.853539273517541
"thiamine"	"CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N"	3475276	2832	"Ventricular septal defect"	10047298	"PT"	3.8335154465083936
"valproic acid"	"CCCC(CCC)C(O)=O"	3411783	2803	"Spina bifida"	10041524	"PT"	3.827464788732394
"nevirapine"	"CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1"	3459426	1904	"Trisomy 21"	10044688	"PT"	3.7977245320610287
"folic acid"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=N1"	3411795	1231	"Spina bifida"	10041524	"PT"	3.7656813266041818
"pyridoxine"	"CC1=C(O)C(CO)=C(CO)C=N1"	3475275	2836	"Ventricular septal defect"	10047298	"PT"	3.698037291462218
"enzalutamide"	"CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC(=C(C=C1)C#N)C(F)(F)F"	3412386	4628	"Spinal cord compression"	10041549	"PT"	3.673868493471515
"bortezomib"	"CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O"	3412445	391	"Spinal cord compression"	10041549	"PT"	3.659355890746025
"isoniazid"	"NNC(=O)C1=CC=NC=C1"	3094860	1497	"Hydrocephalus"	10020508	"PT"	3.510337323177367
"sertraline"	"CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12"	3289374	2436	"Patent ductus arteriosus"	10034130	"PT"	3.4992649220817413
"magnesium oxide"	"O=[Mg]"	3475268	4293	"Ventricular septal defect"	10047298	"PT"	3.489542679875913
"levetiracetam"	"CC[C@H](N1CCCC1=O)C(N)=O"	3475225	1563	"Ventricular septal defect"	10047298	"PT"	3.478010948905109
"ascorbic acid"	"OC[C@H](O)[C@H]1OC(=O)C(O)=C1O"	3475208	4072	"Ventricular septal defect"	10047298	"PT"	3.477286371823094
"zidovudine"	"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"	3289442	2861	"Patent ductus arteriosus"	10034130	"PT"	3.4744774919614145
"fluticasone furoate"	"C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)SCF"	3584288	4554	"Trisomy 18"	10053884	"PT"	3.4072598494909254
"valproic acid"	"CCCC(CCC)C(O)=O"	2879963	2803	"Cerebral atrophy"	10008096	"PT"	3.3994221740700614
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3755605	2068	"Right aortic arch"	10067407	"PT"	3.3823751178133836
"ciprofloxacin"	"OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O"	3610050	659	"Aortic valve prolapse"	10057454	"PT"	3.369106511862696
"emtricitabine"	"NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1"	3459396	1003	"Trisomy 21"	10044688	"PT"	3.3314442870239183
"escitalopram"	"CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	2778196	1053	"Anencephaly"	10002320	"PT"	3.309960236640481
"tenofovir disoproxil"	"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C"	3475262	2593	"Ventricular septal defect"	10047298	"PT"	3.305918788713007
"ondansetron"	"CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2"	3121972	1992	"Hypoplastic left heart syndrome"	10021076	"PT"	3.281356261536967
"phenytoin"	"O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1"	2879969	2152	"Cerebral atrophy"	10008096	"PT"	3.278733482921965
"candesartan cilexetil"	"CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1"	2778198	475	"Anencephaly"	10002320	"PT"	3.2253333333333334
"temozolomide"	"CN1N=NC2=C(N=CN2C1=O)C(N)=O"	3094775	2589	"Hydrocephalus"	10020508	"PT"	3.181752571119264
"escitalopram"	"CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	3584280	1053	"Trisomy 18"	10053884	"PT"	3.1776743283871594
"atorvastatin"	"CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1"	2808616	257	"Atrial septal defect"	10003664	"PT"	3.168196808984758
"valproic acid"	"CCCC(CCC)C(O)=O"	2878932	2803	"Cerebellar atrophy"	10008027	"PT"	3.1500541711809316
"abiraterone acetate"	"CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CC=CN=C4)[C@@H]3CC=C2C1"	3412448	4176	"Spinal cord compression"	10041549	"PT"	3.1288510217941594
"galsulfase"	(null)	3412552	5101	"Spinal cord compression"	10041549	"PT"	3.120776137888327
"propafenone"	"CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1"	3769445	2291	"Facial asymmetry"	10068737	"PT"	3.1148575652470574
"cyanocobalamin"	(null)	3475270	4196	"Ventricular septal defect"	10047298	"PT"	3.1109808518952713
"sunitinib"	"CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C"	2786212	2544	"Aortic dissection"	10002895	"PT"	3.0946450809464503
"colecalciferol"	"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C"	2808602	2840	"Atrial septal defect"	10003664	"PT"	3.0588741278791938
"ondansetron"	"CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2"	2808673	1992	"Atrial septal defect"	10003664	"PT"	3.058486349946566
"emtricitabine"	"NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1"	3584276	1003	"Trisomy 18"	10053884	"PT"	3.0440036669722472
"levofloxacin"	"C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O"	3646629	1569	"Aortic rupture"	10060874	"PT"	3.0251926496739774
"salmeterol"	"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1"	3584268	2419	"Trisomy 18"	10053884	"PT"	3.0218296179816853
"sertraline"	"CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12"	3475310	2436	"Ventricular septal defect"	10047298	"PT"	2.9750073507791828
"topiramate"	"CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1"	2808604	2706	"Atrial septal defect"	10003664	"PT"	2.970634055148777
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2778182	2068	"Anencephaly"	10002320	"PT"	2.95315739868049
"citalopram"	"CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	3289354	663	"Patent ductus arteriosus"	10034130	"PT"	2.9326923076923075
"vilanterol"	"OCC1=C(O)C=CC(=C1)[C@@H](O)CNCCCCCCOCCOCC1=C(Cl)C=CC=C1Cl"	3584287	4799	"Trisomy 18"	10053884	"PT"	2.8727023632834796
"sirolimus"	"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O"	2944613	2446	"Diaphragmatic hernia"	10012713	"PT"	2.835290808073704
"simvastatin"	"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12"	2808693	2445	"Atrial septal defect"	10003664	"PT"	2.826653214711547
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	2900778	1540	"Coarctation of the aorta"	10009807	"PT"	2.8045842395850764
"tenofovir disoproxil"	"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C"	3584277	2593	"Trisomy 18"	10053884	"PT"	2.7838093599449416
"quetiapine"	"OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12"	2808626	2337	"Atrial septal defect"	10003664	"PT"	2.7265390229243582
"levothyroxine"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"	3475233	2646	"Ventricular septal defect"	10047298	"PT"	2.669443355546844
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3334827	2068	"Pulmonary artery stenosis"	10037338	"PT"	2.6285579641847314
"folic acid"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=N1"	3181494	1231	"Low set ears"	10024929	"PT"	2.609846534143578
"levetiracetam"	"CC[C@H](N1CCCC1=O)C(N)=O"	2778178	1563	"Anencephaly"	10002320	"PT"	2.589142335766423
"lopinavir"	"CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1"	3475367	1601	"Ventricular septal defect"	10047298	"PT"	2.5805561305457805
"lamivudine"	"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"	3475259	1539	"Ventricular septal defect"	10047298	"PT"	2.5769099590723057
"phenytoin"	"O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1"	3121953	2152	"Hypoplastic left heart syndrome"	10021076	"PT"	2.522729161472617
"ritonavir"	"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1"	3181490	2391	"Low set ears"	10024929	"PT"	2.5099955575299866
"ethambutol"	"CC[C@@H](CO)NCCN[C@@H](CC)CO"	3094797	1073	"Hydrocephalus"	10020508	"PT"	2.4810038153581595
"fluticasone propionate"	"CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF"	3584267	1225	"Trisomy 18"	10053884	"PT"	2.4607814191516586
"stavudine"	"CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O"	3459437	2478	"Trisomy 21"	10044688	"PT"	2.4391187533584096
"dihydralazine"	"N\N=C1/NN\C(=N/N)C2=C1C=CC=C2"	2808871	884	"Atrial septal defect"	10003664	"PT"	2.435685014951822
"emtricitabine"	"NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1"	3475260	1003	"Ventricular septal defect"	10047298	"PT"	2.4243686973914493
"insulin human"	(null)	2808608	5003	"Atrial septal defect"	10003664	"PT"	2.3513211382113823
"rifampicin"	"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(C=NN1CCN(C)CC1)=C(O)C4=C3C2=O"	3094842	2377	"Hydrocephalus"	10020508	"PT"	2.347808358817533
"valproic acid"	"CCCC(CCC)C(O)=O"	2817763	2803	"Bicuspid aortic valve"	10004552	"PT"	2.3427230046948355
"tenofovir disoproxil"	"CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C"	2944585	2593	"Diaphragmatic hernia"	10012713	"PT"	2.3312973158981416
"ramipril"	"CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O"	3289311	2356	"Patent ductus arteriosus"	10034130	"PT"	2.321094856064181
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	2817783	1540	"Bicuspid aortic valve"	10004552	"PT"	2.3202275388991134
"venlafaxine"	"COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1"	3289345	2813	"Patent ductus arteriosus"	10034130	"PT"	2.2948026128940637
"methotrexate"	"CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O"	2808641	1751	"Atrial septal defect"	10003664	"PT"	2.292933810375671
"bevacizumab"	(null)	2786217	4956	"Aortic dissection"	10002895	"PT"	2.2906865275422166
"dihydralazine"	"N\N=C1/NN\C(=N/N)C2=C1C=CC=C2"	3475418	884	"Ventricular septal defect"	10047298	"PT"	2.2895337246649685
"lamivudine"	"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"	2944584	1539	"Diaphragmatic hernia"	10012713	"PT"	2.275324010914052
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2941416	2068	"Dextrocardia"	10012592	"PT"	2.271159283694628
"zidovudine"	"CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O"	2944618	2861	"Diaphragmatic hernia"	10012713	"PT"	2.270297427652733
"tamsulosin"	"CCOC1=C(OCCN[C@H](C)CC2=CC(=C(OC)C=C2)S(N)(=O)=O)C=CC=C1"	2808665	2562	"Atrial septal defect"	10003664	"PT"	2.2476809792483503
"dexamethasone"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	2808689	824	"Atrial septal defect"	10003664	"PT"	2.240423432313627
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2898366	2068	"Cleft lip"	10009259	"PT"	2.2388312912346846
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	2898383	1540	"Cleft lip"	10009259	"PT"	2.238581228040823
"rivaroxaban"	"ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O"	3094574	4182	"Hydrocephalus"	10020508	"PT"	2.2221283783783785
