Disease	Disease_URI	Relationship	Relationship_URI	Gene	Gene_URI
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NOTCH1	http://identifiers.org/hgnc.symbol/NOTCH1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NOTCH2	http://identifiers.org/hgnc.symbol/NOTCH2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NR2F2	http://identifiers.org/hgnc.symbol/NR2F2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NXN	http://identifiers.org/hgnc.symbol/NXN
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PAH	http://identifiers.org/hgnc.symbol/PAH
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PALB2	http://identifiers.org/hgnc.symbol/PALB2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PIGL	http://identifiers.org/hgnc.symbol/PIGL
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PIGN	http://identifiers.org/hgnc.symbol/PIGN
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PQBP1	http://identifiers.org/hgnc.symbol/PQBP1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PRDM16	http://identifiers.org/hgnc.symbol/PRDM16
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PTCH1	http://identifiers.org/hgnc.symbol/PTCH1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	PUF60	http://identifiers.org/hgnc.symbol/PUF60
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAB23	http://identifiers.org/hgnc.symbol/RAB23
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAD51	http://identifiers.org/hgnc.symbol/RAD51
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RAD51C	http://identifiers.org/hgnc.symbol/RAD51C
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RBM10	http://identifiers.org/hgnc.symbol/RBM10
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RBM8A	http://identifiers.org/hgnc.symbol/RBM8A
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RBPJ	http://identifiers.org/hgnc.symbol/RBPJ
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RERE	http://identifiers.org/hgnc.symbol/RERE
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RFWD3	http://identifiers.org/hgnc.symbol/RFWD3
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RNU4ATAC	http://identifiers.org/hgnc.symbol/RNU4ATAC
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ROR2	http://identifiers.org/hgnc.symbol/ROR2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RPL11	http://identifiers.org/hgnc.symbol/RPL11
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RPL5	http://identifiers.org/hgnc.symbol/RPL5
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	RRAS2	http://identifiers.org/hgnc.symbol/RRAS2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SALL1	http://identifiers.org/hgnc.symbol/SALL1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SALL4	http://identifiers.org/hgnc.symbol/SALL4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SEMA3E	http://identifiers.org/hgnc.symbol/SEMA3E
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SF3B4	http://identifiers.org/hgnc.symbol/SF3B4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SHH	http://identifiers.org/hgnc.symbol/SHH
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SIX3	http://identifiers.org/hgnc.symbol/SIX3
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SKI	http://identifiers.org/hgnc.symbol/SKI
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SKIV2L	http://identifiers.org/hgnc.symbol/SKIV2L
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SLC35A2	http://identifiers.org/hgnc.symbol/SLC35A2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SLX4	http://identifiers.org/hgnc.symbol/SLX4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCA4	http://identifiers.org/hgnc.symbol/SMARCA4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCB1	http://identifiers.org/hgnc.symbol/SMARCB1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCC2	http://identifiers.org/hgnc.symbol/SMARCC2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCD1	http://identifiers.org/hgnc.symbol/SMARCD1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SMARCE1	http://identifiers.org/hgnc.symbol/SMARCE1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SOX11	http://identifiers.org/hgnc.symbol/SOX11
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SOX4	http://identifiers.org/hgnc.symbol/SOX4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SPECC1L	http://identifiers.org/hgnc.symbol/SPECC1L
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SPEN	http://identifiers.org/hgnc.symbol/SPEN
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SRCAP	http://identifiers.org/hgnc.symbol/SRCAP
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	STIL	http://identifiers.org/hgnc.symbol/STIL
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	STRA6	http://identifiers.org/hgnc.symbol/STRA6
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	SUFU	http://identifiers.org/hgnc.symbol/SUFU
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TAB2	http://identifiers.org/hgnc.symbol/TAB2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TBX1	http://identifiers.org/hgnc.symbol/TBX1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TGIF1	http://identifiers.org/hgnc.symbol/TGIF1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMEM260	http://identifiers.org/hgnc.symbol/TMEM260
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TMEM94	http://identifiers.org/hgnc.symbol/TMEM94
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	TTC37	http://identifiers.org/hgnc.symbol/TTC37
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	UBE2A	http://identifiers.org/hgnc.symbol/UBE2A
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	UBE2T	http://identifiers.org/hgnc.symbol/UBE2T
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	VAC14	http://identifiers.org/hgnc.symbol/VAC14
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	WASHC5	http://identifiers.org/hgnc.symbol/WASHC5
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	WT1	http://identifiers.org/hgnc.symbol/WT1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	XRCC2	http://identifiers.org/hgnc.symbol/XRCC2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZEB2	http://identifiers.org/hgnc.symbol/ZEB2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZFPM2	http://identifiers.org/hgnc.symbol/ZFPM2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ZIC2	http://identifiers.org/hgnc.symbol/ZIC2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ABCC9	http://identifiers.org/hgnc.symbol/ABCC9
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ACSL4	http://identifiers.org/hgnc.symbol/ACSL4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ACTA2	http://identifiers.org/hgnc.symbol/ACTA2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ACTB	http://identifiers.org/hgnc.symbol/ACTB
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ADAMTS10	http://identifiers.org/hgnc.symbol/ADAMTS10
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ADAT3	http://identifiers.org/hgnc.symbol/ADAT3
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	AFF4	http://identifiers.org/hgnc.symbol/AFF4
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	AGO2	http://identifiers.org/hgnc.symbol/AGO2
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ALB	http://identifiers.org/hgnc.symbol/ALB
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ALG12	http://identifiers.org/hgnc.symbol/ALG12
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	ALG8	http://identifiers.org/hgnc.symbol/ALG8
Patent ductus arteriosus	http://purl.obolibrary.org/obo/HP_0001643	gene-disease association	https://semanticscience.org/resource/SIO_000983	AMER1	http://identifiers.org/hgnc.symbol/AMER1
