gene_short_name,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
ABCD1,"HP:0002011, HP:0002060, HP:0002062, HP:0002143, HP:0002180, HP:0002283, HP:0002363, HP:0002492, HP:0002500, HP:0002518, HP:0002977, HP:0006827, HP:0007006, HP:0007344, HP:0007367, HP:0007372, HP:0011397, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",23,,0.00010686,,
ABCD2,,,0.009657703,,,
ABCF1,,,,6.77302E-09,,heliotrine
ABCF2,,,,0.000590913,,
ABCF3,,,,7.70775E-06,,
ABCG4,,,0.028079268,,,
ABCG5,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0100659",5,,2.4209E-07,,
ABCG8,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0100659",5,,0.000124416,,
ABHD11,,,,9.66564E-10,,
ABHD14A,,,0.021799876,,,
ABHD16B,,,,0.000850837,,
ABHD17C,,,0.001551299,,,
ABHD2,,,0.00252356,,"androstenedione, TTNPB",
ABHD4,,,,0.000321234,,
ABHD6,,,0.007547466,,pyrimethamine,
ABI2,,,3.29482E-10,,,
ABI3,,,,4.059E-05,,
ABI3BP,,,,1.9882E-11,,
ABL2,,,0.038371259,,,
ABLIM2,,,0.001327164,,,
ABLIM3,,,0.013369355,,,
ABRA,,,,2.27161E-08,,
ABT1,,,,5.051E-08,,
ABTB1,,,,1.72123E-05,,
ACAA1,,,,4.05288E-07,,
ACAA2,,,,0.000292838,,"flurbiprofen, sulfasalazine"
ACACA,,,0.019659034,,,
ACACB,,,,9.24033E-06,,
ACAD11,,,0.00213165,,,
ACADS,"HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,,1.54008E-11,,
ACADVL,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,5.78319E-08,,tretinoin
ACAP1,,,,7.3942E-16,,
ACAP3,,,0.019511781,,,
ACBD4,,,,2.31831E-05,,
ACBD6,,,4.70946E-08,,,
ACCS,,,,1.0358E-06,,
ACE2,,,,1.81902E-08,,idoxuridine
ACER3,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",16,0.01447664,,,
ACIN1,,,,7.30825E-05,,
ACKR2,,,,0.000182034,,
ACKR4,,,,0.000129986,,
ACOT11,,,,0.000248354,,
ACOT13,,,,9.98503E-05,,
ACOT2,,,,7.15788E-10,,
ACOT7,,,0.001376287,,acebutolol,
ACOT8,,,,0.00053211,,
ACOT9,,,,0.000516698,,acetazolamide
ACOX1,"HP:0002011, HP:0002060, HP:0002500, HP:0012443, HP:0012639, HP:0012759, HP:0100547",7,,0.000276823,,
ACOX2,HP:0012759,1,,4.797E-08,,"cilostazol, corynanthine"
ACOXL,,,,1.30618E-10,,
ACP1,,,,6.38057E-10,,
ACP2,,,,0.000246084,,isoprenaline
ACP5,"HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002518, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0030047, HP:0100547",11,,3.35206E-05,,"phenylbutazone, zidovudine"
ACPL2,,,0.012194763,,,
ACPP,,,,4.53136E-06,,"corticosterone, cyproterone, idoxuridine, tianeptine"
ACPT,,,,0.000743044,,
ACR,,,,1.83816E-05,,
ACSF2,,,,0.000141568,,
ACSF3,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.0003181,,
ACSL3,,,1.1795E-08,,"clorgiline, ethinyl-estradiol, etretinate",
ACSL5,,,,0.000181536,,"clorgiline, daunorubicin"
ACSL6,,,0.000140978,,,
ACSM1,,,,1.04076E-14,,
ACSM2A,,,,1.44948E-09,,
ACSM2B,,,,9.53968E-11,,
ACSM3,,,,1.6638E-26,,
ACSM4,,,,0.000170324,,
ACSS2,,,,8.39762E-05,,
ACTA1,"HP:0012639, HP:0012759",2,,1.80522E-11,,"corynanthine, retinol"
ACTA2,"HP:0002011, HP:0002060, HP:0002118, HP:0002143, HP:0002500, HP:0002518, HP:0009145, HP:0010303, HP:0010651, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659",15,,6.08854E-09,,chlorambucil
ACTB,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002143, HP:0002414, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010301, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100308, HP:0100547, HP:0100659, HP:0410043",25,,0.000826135,,"ketoprofen, leflunomide"
ACTC1,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,4.83285E-13,,"corynanthine, daunorubicin"
ACTG1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100308, HP:0100547, HP:0100659",21,,0.000146447,,
ACTG2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,3.48495E-09,,"albendazole, ketoprofen, ribavirin"
ACTL10,,,,9.58866E-07,,
ACTL6A,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0006913, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",17,,0.000403548,,
ACTL6B,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002120, HP:0002283, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0006913, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",25,6.83882E-06,,,
ACTL7B,,,,0.000206759,,
ACTL8,,,,1.54174E-07,,
ACTN4,,,,0.000163434,,mephenytoin
ACTR1B,,,,8.10753E-05,,
ACTR3B,,,0.01296641,,,
ACTR5,,,0.036453342,,,
ACTRT3,,,,2.02728E-07,,
ACVR1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547",6,0.030683615,,,
ACVR1B,,,0.000797108,,,
ACVR2A,,,1.15506E-05,,,
ACVR2B,,,0.000965479,,,
ACVRL1,"HP:0002011, HP:0002143, HP:0002390, HP:0012443, HP:0012639, HP:0012703, HP:0100659",7,,2.71062E-05,,
ADA,,,,9.15906E-06,,"acyclovir, bupivacaine, diflunisal, ephedrine, oxaprozin"
ADAD1,,,,2.05907E-06,,
ADAM18,,,,1.32546E-07,,
ADAM2,,,,4.34012E-09,,
ADAM20,,,0.000474304,,,
ADAM22,HP:0012759,1,0.000243081,,,
ADAM23,,,3.47072E-05,,,
ADAM29,,,0.027259384,,,
ADAM8,,,,9.99251E-09,,
ADAMDEC1,,,,9.7151E-10,,imipramine
ADAMTS1,,,,8.15548E-07,,"diazepam, isoreserpine, menadione, tolmetin"
ADAMTS10,HP:0012759,1,0.000608722,,,
ADAMTS14,,,,6.62735E-05,,
ADAMTS15,,,,4.37192E-06,,
ADAMTS4,,,,0.000252961,,
ADAMTS5,,,,0.000533726,,"hydrocortisone, isoreserpine"
ADAMTSL4,,,,6.75895E-16,,
ADAMTSL4-AS1,,,,0.00057506,,
ADAMTSL5,,,,8.90272E-12,,
ADAR,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002180, HP:0002339, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007374, HP:0009145, HP:0010994, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0040140, HP:0100547, HP:0100659, HP:0100705, HP:0100707",25,,0.000133666,,
ADARB2,,,0.000333638,,,
ADAT3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007367, HP:0007370, HP:0010651, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547, HP:0100700",18,,8.96495E-07,,
ADC,,,0.001483071,,,
ADCK4,,,,2.79704E-06,,
ADCK5,,,,6.3464E-06,,
ADCY1,,,2.04895E-10,,"corynanthine, oxaprozin, tolbutamide",
ADCY2,,,0.028771573,,,
ADCY3,HP:0012759,1,0.000141056,,,
ADCY4,,,,0.000211915,,
ADCY5,HP:0012759,1,0.008214278,,,
ADCY8,,,0.000112021,,,
ADCYAP1,,,0.011167953,,,
ADCYAP1R1,,,2.42422E-06,,,
ADD2,,,1.25057E-08,,,
ADD3,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.000386854,,"acebutolol, chlormadinone, clomipramine, cortisol, depomedrol, diflunisal, genistein, haloperidol, isotretinoin, ketorolac, levisoprenaline, trimethadione"
ADH1A,,,,3.80858E-09,,
ADH1B,,,,9.51232E-15,,"androstenedione, chlordiazepoxide, cortisol, cyclopamine, indometacin, mometasone, nifedipine, thiotepa, vigabatrin, zonisamide"
ADH4,,,,9.58384E-07,,
ADH6,,,,1.11798E-10,,
ADI1,,,,6.41228E-10,,"decitabine, nicotine"
ADIPOR1,,,,6.78985E-08,,
ADIPOR2,,,,0.000473529,,
ADIRF,,,,2.8685E-07,,"androstenedione, chlordiazepoxide, cortisone, cycloheximide, depomedrol, dimethadione, esmolol, ethionamide, flutamide, levodopa, methotrexate, metrifonate, mometasone, parbendazole, quinidine, reserpine, sparfloxacin, warfarin"
ADK,"HP:0002011, HP:0002059, HP:0002060, HP:0002977, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",11,0.033973734,,,
ADM,,,,0.000223207,,"carbamazepine, dexketoprofen, estradiol-benzoate, lithocholic-acid"
ADM2,,,,2.18479E-06,,
ADORA1,,,0.00010261,,,
ADPRH,,,,2.35472E-05,,
ADRA2B,HP:0012759,1,,4.69143E-08,,
ADRB2,,,,0.000762905,,phensuximide
ADRB3,,,,2.41415E-07,,
ADRBK1,,,,1.18478E-05,,
ADRBK2,,,0.048093587,,,
ADRM1,,,,9.32364E-07,,
ADSL,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",18,,1.83149E-05,,
ADSSL1,,,,5.23583E-07,,
ADTRP,,,,0.000431466,,
AEBP1,HP:0012759,1,,3.69324E-05,,"diazepam, ethotoin, perphenazine"
AEN,,,,1.18096E-07,,
AES,,,,4.25122E-05,,
AFAP1,,,1.97606E-07,,,
AFF1,,,,0.000448975,,
AFF2,"HP:0002011, HP:0002060, HP:0002977, HP:0006919, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,1.76337E-06,,,
AFF3,"HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002363, HP:0002365, HP:0002977, HP:0006817, HP:0007360, HP:0007362, HP:0007364, HP:0007367, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",23,2.32314E-07,,,
AFG3L2,"HP:0001272, HP:0001317, HP:0001321, HP:0002011, HP:0002977, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",11,,5.07999E-06,,
AFM,,,,4.14342E-12,,
AFP,,,,1.36526E-16,,ketoprofen
AGAP1,,,0.008977579,,,
AGAP2,,,0.000308793,,,
AGAP2-AS1,,,,3.42001E-05,,
AGAP3,,,0.000828759,,,
AGBL2,,,,8.34704E-06,,
AGBL3,,,0.042785415,,,
AGBL4,,,0.000726758,,,
AGER,,,,4.43698E-07,,
AGFG2,,,,1.70639E-09,,
AGMAT,,,,0.0002008,,
AGO2,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002500, HP:0002538, HP:0002977, HP:0006913, HP:0006919, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",18,,3.71763E-05,,
AGO4,,,0.006574631,,,
AGPAT2,HP:0012759,1,,1.29628E-06,,
AGPAT4,,,6.63098E-06,,,
AGPAT9,,,,4.04362E-13,,
AGR2,,,,1.91426E-15,,"acyclovir, bupivacaine, chlorpromazine, diflunisal, ethionamide, ketorolac, phenylbutazone, reserpine, tolbutamide, valproic-acid, warfarin"
AGR3,,,,3.03591E-14,,
AGRP,,,,5.46374E-08,,
AGT,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,0.000116774,,"alpha-estradiol, beclometasone, daunorubicin, flutamide, lynestrenol, misoprostol"
AGTPBP1,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0006989, HP:0007364, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",15,6.51478E-07,,,
AGTR2,"HP:0002011, HP:0012639, HP:0012703, HP:0012759",4,,9.59638E-30,,
AGTRAP,,,,7.73071E-05,,
AGXT,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,2.95264E-09,,
AGXT2,,,,3.8145E-07,,
AHCY,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002363, HP:0002500, HP:0002977, HP:0007360, HP:0007361, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012110, HP:0012443, HP:0012639, HP:0012703, HP:0012759, HP:0100547",22,,8.11956E-11,,
AHCYL2,,,0.000332857,,,
AHNAK,,,,2.39484E-08,,"diethylstilbestrol, tretinoin, triamcinolone, yohimbine"
AHR,HP:0012759,1,,4.34713E-06,,"benzo(a)pyrene, ritodrine, thiotepa"
AHSA1,,,,1.11363E-05,,
AHSG,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",10,,3.27195E-14,,depomedrol
AHSP,,,,8.29205E-17,,estradiol
AICDA,,,,2.4647E-09,,
AIF1,,,,7.29496E-06,,
AIFM1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002079, HP:0002363, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010994, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100705, HP:0100707",22,,3.86778E-09,,
AIG1,,,1.0977E-06,,,
AIM1,,,,2.21122E-11,,
AIM1L,,,,3.05797E-05,,
AIM2,,,0.00050133,,"chlorpromazine, ritodrine, tolfenamic-acid",
AIMP1,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002283, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007371, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0012762, HP:0100547",22,,0.000118497,,
AIP,"HP:0002011, HP:0012443, HP:0012503, HP:0012639",4,,1.02004E-06,,
AIRE,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0100547, HP:0100659",6,,0.000631068,,
AJAP1,,,0.000295176,,,
AJUBA,,,,5.13859E-06,,
AK2,,,,1.00208E-07,,
AK5,,,0.011686477,,,
AK7,,,,1.04852E-06,,
AK9,"HP:0012639, HP:0012759",2,0.001153001,,,
AKAP11,,,5.47977E-05,,,
AKAP17A,,,,1.74895E-08,,
AKAP4,,,,0.000154923,,
AKAP6,,,1.92033E-09,,,
AKAP7,,,0.017963692,,,
AKR1B10,,,,9.12106E-05,,"carbamazepine, dexketoprofen, ethinyl-estradiol, ethionamide, ethotoin, floxuridine, fumonisin-b1, isoxsuprine, levisoprenaline, nifedipine, pyrimethamine, teniposide, tolfenamic-acid"
AKR1B15,,,,0.000876874,,
AKR1C1,,,0.002118904,,"busulfan, CD-437, cyproterone, doxorubicin, levodopa, misoprostol, sulfasalazine",
AKR1C4,,,,0.000734142,,
AKR1CL1,,,,0.000329526,,
AKR1D1,,,,0.000608458,,
AKR7A2,,,,2.99469E-07,,"depomedrol, dexamethasone"
AKR7A3,,,,5.92777E-05,,
AKT1,"HP:0001317, HP:0002011, HP:0002118, HP:0002143, HP:0002176, HP:0002363, HP:0010662, HP:0010663, HP:0011282, HP:0011283, HP:0011751, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100010, HP:0100547, HP:0100659",18,,2.007E-05,,"clomifene, misoprostol"
AKT1S1,,,,8.26395E-07,,
AKT2,,,,0.000102581,,
AKT3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012757, HP:0012759, HP:0032046, HP:0100547, HP:0100705",18,4.25614E-13,,,
AKTIP,,,0.025076421,,,
ALAD,HP:0012759,1,,0.000372419,,
ALAS2,,,,9.51046E-11,,estradiol
ALB,HP:0012759,1,,4.42301E-08,,"depomedrol, metrifonate, verapamil"
ALDH16A1,,,,0.000529732,,
ALDH1A1,,,,1.45116E-24,,"BRD-A66861218, carbamazepine, cyclophosphamide, ifosfamide, isoxsuprine, mometasone, nifedipine, quercetin, ritodrine, solanine, sparfloxacin, tolbutamide, warfarin"
ALDH1A2,,,,3.76887E-15,,"BRD-A66861218, cyproterone, ephedrine, flubendazole, ketorolac, lynestrenol, mefenamic-acid, propylthiouracil, pseudoephedrine, solanine"
ALDH1B1,,,,2.48201E-05,,
ALDH1L2,,,0.000765403,,,
ALDH3A1,,,,0.000172329,,BRD-A66861218
ALDH3B1,,,,1.63382E-06,,
ALDH3B2,,,,1.98117E-09,,tolbutamide
ALDH4A1,"HP:0002011, HP:0006919, HP:0012639, HP:0012759",4,,2.8766E-05,,
ALDOA,HP:0012759,1,,4.77041E-05,,"heliotrine, procarbazine"
ALDOB,HP:0012759,1,,8.57334E-19,,"mometasone, ochratoxin-a, prostaglandin-e1"
ALG2,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012703, HP:0012751, HP:0012759, HP:0030047, HP:0100547",16,,0.000143995,,
ALG3,"HP:0001272, HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002334, HP:0002363, HP:0002500, HP:0002977, HP:0006817, HP:0007360, HP:0007361, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012110, HP:0012157, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0012762, HP:0100547, HP:0410043",33,,0.000241375,,
ALG6,"HP:0001317, HP:0001321, HP:0002011, HP:0002977, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",10,0.030112854,,,
ALG9,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002283, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0009145, HP:0010651, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659, HP:0100700",23,0.003871699,,,
ALK,HP:0012639,1,0.005838195,,,
ALKBH2,,,,8.65812E-05,,
ALKBH5,,,,1.13344E-07,,
ALKBH6,,,,8.10188E-09,,
ALKBH7,,,,1.01543E-05,,
ALKBH8,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,2.1147E-05,,,
ALLC,,,,0.000321287,,
ALOX15,,,,1.76618E-10,,
ALOX15B,,,,2.66624E-05,,
ALPK2,,,,5.3E-07,,
ALPP,,,,1.42858E-06,,
ALS2,"HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002120, HP:0002492, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012757, HP:0012759, HP:0100547",20,0.034372797,,,
ALS2CL,,,,3.86536E-06,,
ALS2CR12,,,0.026514095,,,
ALX1,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",11,,1.87613E-05,,
ALYREF,,,,1.08265E-05,,
AMBP,,,,4.54899E-13,,
AMD1,,,,5.36098E-05,,
AMDHD1,,,,1.19676E-08,,
AMDHD2,,,,8.24927E-06,,"clomifene, dacarbazine, haloperidol, methyldopa, verapamil"
AMELX,,,,0.000151182,,
AMER2,,,2.14971E-07,,,
AMER3,,,0.001116293,,,
AMHR2,,,,1.3428E-10,,
AMICA1,,,,5.47044E-10,,
AMIGO1,,,0.042635315,,,
AMIGO2,,,,0.000473197,,"azacitidine, decitabine, ethionamide, floxuridine, metronidazole, oxaprozin, phenylbutazone, terbutaline, thalidomide, zidovudine"
AMIGO3,,,,0.000291552,,
AMMECR1L,,,,3.53844E-05,,
AMN,HP:0012759,1,,7.23635E-11,,
AMN1,,,0.000642288,,,
AMPD1,,,,6.68674E-06,,
AMPD2,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002120, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",20,,4.17618E-05,,
AMPD3,,,,0.000856165,,
AMPH,,,6.46544E-05,,,
AMT,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",12,,1.58961E-12,,
AMTN,,,,1.67987E-07,,
AMY2B,,,0.000165182,,,
AMZ2,,,,0.000449515,,
ANAPC11,,,,4.49815E-07,,
ANAPC13,,,,1.44615E-05,,
ANAPC15,,,,2.97413E-14,,
ANAPC16,,,,9.78563E-08,,
ANAPC2,,,,8.94132E-11,,
ANG,"HP:0002011, HP:0002180, HP:0007367, HP:0012639, HP:0012757",5,,4.23979E-06,,levisoprenaline
ANGPTL1,,,,2.55129E-07,,
ANGPTL3,,,,1.79987E-05,,
ANGPTL6,"HP:0002011, HP:0002060, HP:0002363, HP:0009145, HP:0012443, HP:0012518, HP:0012639, HP:0012703, HP:0100547, HP:0100659",10,,1.76783E-09,,
ANGPTL7,,,,1.79451E-05,,
ANK2,,,1.1935E-06,,chlormadinone,
ANK3,"HP:0006919, HP:0012759",2,0.000127535,,,
ANKDD1A,,,0.028765905,,,
ANKEF1,,,,0.00064828,,
ANKFN1,,,0.004154356,,,
ANKH,HP:0012639,1,0.000713091,,,
ANKHD1,,,,0.000916418,,
ANKIB1,,,1.91306E-05,,,
ANKLE1,,,,1.77324E-05,,
ANKLE2,"HP:0001273, HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0006872, HP:0007333, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",15,,0.00034977,,
ANKRD1,,,,5.68312E-11,,
ANKRD11,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0030047, HP:0100547",14,,0.000144849,,
ANKRD12,,,8.92741E-05,,,
ANKRD13B,,,0.002016061,,,
ANKRD16,,,0.00311201,,,
ANKRD2,,,,1.26741E-05,,
ANKRD20A3,,,0.026392261,,,
ANKRD22,,,,5.57455E-12,,
ANKRD28,,,0.005681878,,,
ANKRD30B,,,,7.02996E-05,,
ANKRD30BL,,,0.0143075,,,
ANKRD32,,,3.72949E-05,,,
ANKRD33,,,,0.000190564,,
ANKRD34A,,,0.021196905,,,
ANKRD35,,,,5.11565E-05,,
ANKRD36,,,5.23376E-05,,,
ANKRD36C,,,0.003876868,,,
ANKRD40,,,,2.5288E-05,,
ANKRD44,,,0.000113349,,,
ANKRD45,,,0.000344103,,,
ANKRD49,,,,0.000516535,,idoxuridine
ANKRD54,,,,4.38811E-05,,
ANKRD6,,,1.06994E-06,,,
ANKRD65,,,,3.7837E-08,,
ANKRD9,,,,3.61776E-06,,
ANKS1B,,,2.77803E-08,,,
ANKS4B,,,,1.14887E-09,,
ANKS6,,,0.040380216,,,
ANKZF1,,,,4.99421E-06,,
ANLN,,,,9.45777E-05,,
ANO10,"HP:0001272, HP:0001317, HP:0002011, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",8,1.88049E-06,,,
