gene_short_name,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
EIF2S3,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",15,,1.79389E-05,,"dimethadione, ethotoin, floxuridine, oxaprozin, phensuximide, vidarabine"
EIF4G1,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0100547, HP:0100705",13,,6.01276E-06,,"ketoprofen, mephenytoin"
EIF5A,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",7,,7.38269E-06,,"betamethasone, calcipotriol, chloramphenicol, corynanthine, cyclopamine, diazepam, ephedrine, esmolol, ethotoin, isoxsuprine, levodopa, mebendazole, mefenamic-acid, oxaprozin, phensuximide, pyrimethamine, racephedrine, solanine, vidarabine, vinblastine"
ELN,"HP:0001317, HP:0001321, HP:0002011, HP:0002059, HP:0002060, HP:0002062, HP:0002120, HP:0002143, HP:0002414, HP:0002492, HP:0002538, HP:0002977, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007372, HP:0009145, HP:0010301, HP:0010303, HP:0010651, HP:0010662, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0100547, HP:0100659, HP:0410043",32,,0.000614541,,"acebutolol, flutamide, menadione, sertaconazole"
ELOVL4,"HP:0001272, HP:0001317, HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0007367, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",14,0.000798967,,bupivacaine,
ENPP1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",7,,8.4064E-08,,"azacitidine, clomipramine, diethylstilbestrol, primidone, procarbazine, thalidomide, vidarabine"
EPHB2,"HP:0002011, HP:0012639",2,4.8132E-07,,"ethionamide, etidronic-acid",
ERBB2,"HP:0002011, HP:0012639, HP:0012759, HP:0100705, HP:0100707",5,,8.63797E-08,,"cytarabine, teniposide"
ERBB3,"HP:0002011, HP:0012443, HP:0012639, HP:0012759, HP:0040327, HP:0100547",6,,0.000101793,,"chloramphenicol, fluconazole"
ESR1,"HP:0002011, HP:0012443, HP:0012503, HP:0012639",4,,0.000929165,,"cycloheximide, isoprenaline, primidone, sparfloxacin, triamcinolone, vinblastine"
ETHE1,"HP:0002011, HP:0002060, HP:0002363, HP:0012443, HP:0012639, HP:0012751, HP:0012759, HP:0100547",8,,2.44864E-06,,resveratrol
EZR,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,,4.07731E-05,,"depomedrol, esmolol"
F13A1,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,0.000399772,,"acebutolol, BRD-A66861218, CD-437, chlordiazepoxide, cyclopamine, cytochalasin-b, ketorolac, lonidamine, metrifonate, mifepristone, perphenazine, resveratrol"
F5,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,7.25866E-08,,"carbamazepine, cyclophosphamide, depomedrol"
FADD,"HP:0002011, HP:0002059, HP:0002060, HP:0002977, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0100547",10,,3.83281E-05,,"bupivacaine, corynanthine"
FAM111A,"HP:0002011, HP:0002060, HP:0002118, HP:0012443, HP:0012639, HP:0012759, HP:0100547",7,,4.42384E-05,,isoprenaline
FAS,"HP:0002011, HP:0012639, HP:0012759",3,,8.27362E-08,,ribavirin
FBLN5,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,6.98355E-07,,estradiol
FBP1,"HP:0002011, HP:0002118, HP:0012443, HP:0012639, HP:0012759",5,,3.11148E-05,,"diphenhydramine, etretinate"
FBXO11,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,0.005486485,,"clomifene, diazepam, isoreserpine, ketoprofen, menadione, methotrexate, ochratoxin-a",
FGB,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,1.07575E-18,,cortisone
FGF13,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",14,0.000431131,,"cyproterone, etidronic-acid, heliotrine, isotretinoin, oxaprozin, procarbazine, sparfloxacin",
FGG,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,1.47365E-17,,"chlordiazepoxide, chlormadinone, clomipramine, ethosuximide, fenoterol, oxaprozin"
FHOD3,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,1.89984E-06,,tolbutamide,
FKBP14,HP:0012759,1,,0.000909659,,"corticosterone, genistein, leflunomide"
