HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link,
,Abnormality of the genital system,4683,NBN,,orphadata,ORPHA:145,
,Abnormality of the genital system,1000,CDH2,-,mim2gene,OMIM:618929,
,Abnormality of the genital system,6654,SOS1,-,mim2gene,OMIM:610733,
,Abnormality of the genital system,9442,MED27,,orphadata,ORPHA:528084,
,Abnormality of the genital system,7157,TP53,-,mim2gene,OMIM:618165,
,Abnormality of the genital system,317662,FAM149B1,,orphadata,ORPHA:2754,
,Abnormality of the genital system,7040,TGFB1,,orphadata,ORPHA:1328,
,Abnormality of the genital system,2071,ERCC3,,orphadata,ORPHA:33364,
,Abnormality of the genital system,2188,FANCF,,orphadata,ORPHA:84,
,Abnormality of the genital system,2072,ERCC4,,orphadata,ORPHA:84,
,Abnormality of the genital system,207,AKT1,-,mim2gene,OMIM:114500,
,Abnormality of the genital system,54970,TTC12,-,mim2gene,OMIM:618801,
,Abnormality of the genital system,2177,FANCD2,,orphadata,ORPHA:84,
,Abnormality of the genital system,4081,MAB21L1,-,mim2gene,OMIM:618479,
,Abnormality of the genital system,8241,RBM10,,orphadata,ORPHA:2886,
,Abnormality of the genital system,4953,ODC1,,orphadata,ORPHA:544488,
,Abnormality of the genital system,10516,FBLN5,,orphadata,ORPHA:90349,
,Abnormality of the genital system,2535,FZD2,-,mim2gene,OMIM:164745,
,Abnormality of the genital system,7026,NR2F2,-,mim2gene,OMIM:618901,
,Abnormality of the genital system,6605,SMARCE1,,orphadata,ORPHA:2495,
,Abnormality of the genital system,3664,IRF6,,orphadata,ORPHA:1300,
,Abnormality of the genital system,54496,PRMT7,,orphadata,ORPHA:464288,
,Abnormality of the genital system,10847,SRCAP,-,mim2gene,OMIM:619595,
,Abnormality of the genital system,2260,FGFR1,-,mim2gene,OMIM:190440,
,Abnormality of the genital system,3284,HSD3B2,,orphadata,ORPHA:90791,
,Abnormality of the genital system,4618,MYF6,,orphadata,ORPHA:169189,
,Abnormality of the genital system,129880,BBS5,,orphadata,ORPHA:110,
,Abnormality of the genital system,7547,ZIC3,-,mim2gene,OMIM:314390,
,Abnormality of the genital system,2516,NR5A1,-,mim2gene,OMIM:612964,
,Abnormality of the genital system,1146,CHRNG,-,mim2gene,OMIM:265000,
,Abnormality of the genital system,5889,RAD51C,-,mim2gene,OMIM:613390,
,Abnormality of the genital system,89765,RSPH1,,orphadata,ORPHA:244,
,Abnormality of the genital system,8556,CDC14A,-,mim2gene,OMIM:608653,
,Abnormality of the genital system,2255,FGF10,-,mim2gene,OMIM:149730,
,Abnormality of the genital system,80169,CTC1,,orphadata,ORPHA:1775,
,Abnormality of the genital system,105259599,H19-ICR,-,mim2gene,OMIM:130650,
,Abnormality of the genital system,5257,PHKB,,orphadata,ORPHA:79240,
,Abnormality of the genital system,1490,CCN2,,orphadata,ORPHA:220393,
,Abnormality of the genital system,84231,TRAF7,,orphadata,ORPHA:2495,
,Abnormality of the genital system,8481,OFD1,,orphadata,ORPHA:244,
,Abnormality of the genital system,80184,CEP290,,orphadata,ORPHA:110,
,Abnormality of the genital system,9227,LRAT,,orphadata,ORPHA:791,
,Abnormality of the genital system,2260,FGFR1,,orphadata,ORPHA:432,
,Abnormality of the genital system,9533,POLR1C,,orphadata,ORPHA:88637,
,Abnormality of the genital system,201595,STT3B,,orphadata,ORPHA:370924,
,Abnormality of the genital system,284361,EMC10,,orphadata,ORPHA:528084,
,Abnormality of the genital system,23116,TOGARAM1,-,mim2gene,OMIM:619185,
,Abnormality of the genital system,51317,PHF21A,,orphadata,ORPHA:52022,
,Abnormality of the genital system,5054,SERPINE1,-,mim2gene,OMIM:613329,
,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:740,
,Abnormality of the genital system,4052,LTBP1,,orphadata,ORPHA:90349,
,Abnormality of the genital system,6775,STAT4,,orphadata,ORPHA:117,
,Abnormality of the genital system,56983,POGLUT1,,orphadata,ORPHA:79145,
,Abnormality of the genital system,2531,KDSR,,orphadata,ORPHA:317,
,Abnormality of the genital system,1848,DUSP6,-,mim2gene,OMIM:146110,
,Abnormality of the genital system,24145,PANX1,-,mim2gene,OMIM:618550,
,Abnormality of the genital system,79813,EHMT1,-,mim2gene,OMIM:610253,
,Abnormality of the genital system,55212,BBS7,,orphadata,ORPHA:110,
,Abnormality of the genital system,9320,TRIP12,,orphadata,ORPHA:528084,
,Abnormality of the genital system,6392,SDHD,,orphadata,ORPHA:201,
,Abnormality of the genital system,81857,MED25,-,mim2gene,OMIM:616449,
,Abnormality of the genital system,1586,CYP17A1,,orphadata,ORPHA:90793,
,Abnormality of the genital system,50846,DHH,-,mim2gene,OMIM:607080,
,Abnormality of the genital system,2176,FANCC,-,mim2gene,OMIM:227645,
,Abnormality of the genital system,51053,GMNN,-,mim2gene,OMIM:616835,
,Abnormality of the genital system,9423,NTN1,,orphadata,ORPHA:238722,
,Abnormality of the genital system,138050,HGSNAT,,orphadata,ORPHA:791,
,Abnormality of the genital system,8260,NAA10,,orphadata,ORPHA:276432,
,Abnormality of the genital system,6598,SMARCB1,,orphadata,ORPHA:1465,
,Abnormality of the genital system,55384,MEG3,,orphadata,ORPHA:96184,
,Abnormality of the genital system,2737,GLI3,-,mim2gene,OMIM:175700,
,Abnormality of the genital system,64072,CDH23,,orphadata,ORPHA:96253,
,Abnormality of the genital system,5915,RARB,-,mim2gene,OMIM:615524,
,Abnormality of the genital system,80152,CENPT,question,mim2gene,OMIM:618702,
,Abnormality of the genital system,10584,COLEC10,-,mim2gene,OMIM:248340,
,Abnormality of the genital system,1499,CTNNB1,,orphadata,ORPHA:54595,
,Abnormality of the genital system,10459,MAD2L2,,orphadata,ORPHA:84,
,Abnormality of the genital system,259232,NALCN,,orphadata,ORPHA:2053,
,Abnormality of the genital system,23389,MED13L,-,mim2gene,OMIM:616789,
,Abnormality of the genital system,6253,RTN2,,orphadata,ORPHA:100993,
,Abnormality of the genital system,2175,FANCA,,orphadata,ORPHA:84,
,Abnormality of the genital system,58508,KMT2C,,orphadata,ORPHA:261652,
,Abnormality of the genital system,5727,PTCH1,,orphadata,ORPHA:280200,
,Abnormality of the genital system,1182,CLCN3,-,mim2gene,OMIM:619512,
,Abnormality of the genital system,50937,CDON,,orphadata,ORPHA:95496,
,Abnormality of the genital system,3914,LAMB3,,orphadata,ORPHA:79404,
,Abnormality of the genital system,23291,FBXW11,,orphadata,ORPHA:528084,
,Abnormality of the genital system,1656,DDX6,-,mim2gene,OMIM:618653,
,Abnormality of the genital system,22930,RAB3GAP1,-,mim2gene,OMIM:619420,
,Abnormality of the genital system,79925,SPEF2,-,mim2gene,OMIM:618751,
,Abnormality of the genital system,340719,NANOS1,-,mim2gene,OMIM:615413,
,Abnormality of the genital system,317761,C14ORF39,,orphadata,ORPHA:399805,
,Abnormality of the genital system,6165,RPL35A,,orphadata,ORPHA:124,
,Abnormality of the genital system,9081,PRY,-,mim2gene,OMIM:415000,
,Abnormality of the genital system,139212,DNAAF6,-,mim2gene,OMIM:300991,
,Abnormality of the genital system,51750,RTEL1,,orphadata,ORPHA:1775,
,Abnormality of the genital system,6942,TCF20,,orphadata,ORPHA:528084,
,Abnormality of the genital system,6231,RPS26,,orphadata,ORPHA:124,
,Abnormality of the genital system,3691,ITGB4,,orphadata,ORPHA:158684,
,Abnormality of the genital system,54361,WNT4,question,mim2gene,OMIM:611812,
,Abnormality of the genital system,25836,NIPBL,-,mim2gene,OMIM:122470,
,Abnormality of the genital system,10225,CD96,-,mim2gene,OMIM:211750,
,Abnormality of the genital system,2316,FLNA,,orphadata,ORPHA:90652,
,Abnormality of the genital system,5193,PEX12,,orphadata,ORPHA:912,
,Abnormality of the genital system,1848,DUSP6,,orphadata,ORPHA:478,
,Abnormality of the genital system,28981,IFT81,-,mim2gene,OMIM:617895,
,Abnormality of the genital system,26012,NSMF,,orphadata,ORPHA:432,
,Abnormality of the genital system,6660,SOX5,,orphadata,ORPHA:313892,
,Abnormality of the genital system,115948,ODAD3,,orphadata,ORPHA:244,
,Abnormality of the genital system,4072,EPCAM,,orphadata,ORPHA:144,
,Abnormality of the genital system,9772,TMEM94,-,mim2gene,OMIM:618316,
,Abnormality of the genital system,3588,IL10RB,-,mim2gene,OMIM:612567,
,Abnormality of the genital system,55681,SCYL2,-,mim2gene,OMIM:618766,
,Abnormality of the genital system,6897,TARS1,,orphadata,ORPHA:33364,
,Abnormality of the genital system,4796,TONSL,,orphadata,ORPHA:93357,
,Abnormality of the genital system,10388,SYCP2,-,mim2gene,OMIM:258150,
,Abnormality of the genital system,6611,SMS,,orphadata,ORPHA:3063,
,Abnormality of the genital system,57492,ARID1B,,orphadata,ORPHA:1465,
,Abnormality of the genital system,6210,RPS15A,,orphadata,ORPHA:124,
,Abnormality of the genital system,3481,IGF2,,orphadata,ORPHA:231140,
,Abnormality of the genital system,95681,CEP41,-,mim2gene,OMIM:614464,
,Abnormality of the genital system,9723,SEMA3E,-,mim2gene,OMIM:146110,
,Abnormality of the genital system,79848,CSPP1,,orphadata,ORPHA:397715,
,Abnormality of the genital system,122402,TDRD9,question,mim2gene,OMIM:618110,
,Abnormality of the genital system,51132,RLIM,,orphadata,ORPHA:528084,
,Abnormality of the genital system,8287,USP9Y,-,mim2gene,OMIM:415000,
,Abnormality of the genital system,51114,ZDHHC9,,orphadata,ORPHA:776,
,Abnormality of the genital system,7015,TERT,,orphadata,ORPHA:2495,
,Abnormality of the genital system,2253,FGF8,,orphadata,ORPHA:478,
,Abnormality of the genital system,4193,MDM2,,orphadata,ORPHA:524,
,Abnormality of the genital system,23247,KATNIP,-,mim2gene,OMIM:616784,
,Abnormality of the genital system,5155,PDGFB,,orphadata,ORPHA:2495,
,Abnormality of the genital system,6663,SOX10,,orphadata,ORPHA:478,
,Abnormality of the genital system,56683,CFAP298,-,mim2gene,OMIM:615500,
,Abnormality of the genital system,84100,ARL6,,orphadata,ORPHA:791,
,Abnormality of the genital system,51651,PTRH2,-,mim2gene,OMIM:616263,
,Abnormality of the genital system,25782,RAB3GAP2,,orphadata,ORPHA:1387,
,Abnormality of the genital system,2324,FLT4,,orphadata,ORPHA:3303,
,Abnormality of the genital system,79625,NDNF,-,mim2gene,OMIM:618841,
,Abnormality of the genital system,1859,DYRK1A,,orphadata,ORPHA:464311,
,Abnormality of the genital system,84976,DISP1,,orphadata,ORPHA:280200,
,Abnormality of the genital system,54551,MAGEL2,,orphadata,ORPHA:177910,
,Abnormality of the genital system,1586,CYP17A1,,orphadata,ORPHA:90796,
,Abnormality of the genital system,23040,MYT1L,,orphadata,ORPHA:528084,
,Abnormality of the genital system,8220,ESS2,-,mim2gene,OMIM:192430,
,Abnormality of the genital system,205717,USF3,,orphadata,ORPHA:201,
,Abnormality of the genital system,9896,FIG4,,orphadata,ORPHA:3472,
,Abnormality of the genital system,4948,OCA2,,orphadata,ORPHA:177901,
,Abnormality of the genital system,8882,ZPR1,question,mim2gene,OMIM:619321,
,Abnormality of the genital system,5290,PIK3CA,,orphadata,ORPHA:2495,
,Abnormality of the genital system,7840,ALMS1,-,mim2gene,OMIM:203800,
,Abnormality of the genital system,5087,PBX1,-,mim2gene,OMIM:617641,
,Abnormality of the genital system,326,AIRE,-,mim2gene,OMIM:240300,
,Abnormality of the genital system,9915,ARNT2,,orphadata,ORPHA:3157,
,Abnormality of the genital system,6138,RPL15,,orphadata,ORPHA:124,
,Abnormality of the genital system,113179,ADAT3,,orphadata,ORPHA:363528,
,Abnormality of the genital system,94137,RP1L1,,orphadata,ORPHA:791,
,Abnormality of the genital system,340419,RSPO2,-,mim2gene,OMIM:618021,
,Abnormality of the genital system,1785,DNM2,,orphadata,ORPHA:169189,
,Abnormality of the genital system,9361,LONP1,-,mim2gene,OMIM:600373,
,Abnormality of the genital system,23522,KAT6B,,orphadata,ORPHA:85201,
,Abnormality of the genital system,5885,RAD21,,orphadata,ORPHA:199,
,Abnormality of the genital system,1131,CHRM3,,orphadata,ORPHA:2970,
,Abnormality of the genital system,10908,PNPLA6,-,mim2gene,OMIM:215470,
,Abnormality of the genital system,3643,INSR,-,mim2gene,OMIM:246200,
,Abnormality of the genital system,1630,DCC,,orphadata,ORPHA:478,
,Abnormality of the genital system,2263,FGFR2,-,mim2gene,OMIM:207410,
,Abnormality of the genital system,190,NR0B1,-,mim2gene,OMIM:300200,
,Abnormality of the genital system,5424,POLD1,,orphadata,ORPHA:447877,
,Abnormality of the genital system,339829,CCDC39,-,mim2gene,OMIM:613807,
,Abnormality of the genital system,2778,GNAS,,orphadata,ORPHA:562,
,Abnormality of the genital system,22930,RAB3GAP1,,orphadata,ORPHA:2510,
,Abnormality of the genital system,581,BAX,-,mim2gene,OMIM:114500,
,Abnormality of the genital system,10908,PNPLA6,-,mim2gene,OMIM:275400,
,Abnormality of the genital system,6638,SNRPN,-,mim2gene,OMIM:176270,
,Abnormality of the genital system,23639,DNAAF11,,orphadata,ORPHA:244,
,Abnormality of the genital system,6899,TBX1,,orphadata,ORPHA:567,
,Abnormality of the genital system,51053,GMNN,,orphadata,ORPHA:2554,
,Abnormality of the genital system,2332,FMR1,-,mim2gene,OMIM:300623,
,Abnormality of the genital system,2488,FSHB,-,mim2gene,OMIM:229070,
,Abnormality of the genital system,2153,F5,,orphadata,ORPHA:326,
,Abnormality of the genital system,3756,KCNH1,-,mim2gene,OMIM:135500,
,Abnormality of the genital system,93233,ODAD1,,orphadata,ORPHA:244,
,Abnormality of the genital system,285282,RABL3,,orphadata,ORPHA:1333,
,Abnormality of the genital system,673,BRAF,-,mim2gene,OMIM:114500,
,Abnormality of the genital system,63901,FAM111A,-,mim2gene,OMIM:602361,
,Abnormality of the genital system,3845,KRAS,,orphadata,ORPHA:648,
,Abnormality of the genital system,3981,LIG4,,orphadata,ORPHA:99812,
,Abnormality of the genital system,89884,LHX4,,orphadata,ORPHA:95494,
,Abnormality of the genital system,26281,FGF20,,orphadata,ORPHA:1848,
,Abnormality of the genital system,8481,OFD1,,orphadata,ORPHA:2754,
,Abnormality of the genital system,7490,WT1,-,mim2gene,OMIM:194080,
,Abnormality of the genital system,10269,ZMPSTE24,-,mim2gene,OMIM:275210,
,Abnormality of the genital system,55210,ATAD3A,,orphadata,ORPHA:496790,
,Abnormality of the genital system,80144,FRAS1,,orphadata,ORPHA:2052,
,Abnormality of the genital system,3209,HOXA13,question,mim2gene,OMIM:176305,
,Abnormality of the genital system,10699,CORIN,,orphadata,ORPHA:275555,
,Abnormality of the genital system,4948,OCA2,,orphadata,ORPHA:177904,
,Abnormality of the genital system,1954,MEGF8,,orphadata,ORPHA:65759,
,Abnormality of the genital system,6870,TACR3,-,mim2gene,OMIM:614840,
,Abnormality of the genital system,55670,PEX26,,orphadata,ORPHA:912,
,Abnormality of the genital system,10165,SLC25A13,,orphadata,ORPHA:247585,
,Abnormality of the genital system,7015,TERT,-,mim2gene,OMIM:613989,
,Abnormality of the genital system,269,AMHR2,-,mim2gene,OMIM:261550,
,Abnormality of the genital system,658,BMPR1B,-,mim2gene,OMIM:609441,
,Abnormality of the genital system,340719,NANOS1,,orphadata,ORPHA:399805,
,Abnormality of the genital system,7157,TP53,susceptibility,mim2gene,OMIM:114500,
,Abnormality of the genital system,4692,NDN,,orphadata,ORPHA:177901,
,Abnormality of the genital system,134353,LSM11,question,mim2gene,OMIM:619486,
,Abnormality of the genital system,122481,AK7,question,mim2gene,OMIM:617965,
,Abnormality of the genital system,84842,HPDL,,orphadata,ORPHA:528084,
,Abnormality of the genital system,2177,FANCD2,-,mim2gene,OMIM:227646,
,Abnormality of the genital system,60509,AGBL5,,orphadata,ORPHA:791,
,Abnormality of the genital system,80067,DCAF17,-,mim2gene,OMIM:241080,
,Abnormality of the genital system,6602,SMARCD1,,orphadata,ORPHA:1465,
,Abnormality of the genital system,5830,PEX5,-,mim2gene,OMIM:214110,
,Abnormality of the genital system,26275,HIBCH,,orphadata,ORPHA:88639,
,Abnormality of the genital system,246329,STAC3,,orphadata,ORPHA:168572,
,Abnormality of the genital system,26284,ERAL1,-,mim2gene,OMIM:617565,
,Abnormality of the genital system,85478,CCDC65,,orphadata,ORPHA:244,
,Abnormality of the genital system,9993,DGCR2,-,mim2gene,OMIM:192430,
,Abnormality of the genital system,5144,PDE4D,-,mim2gene,OMIM:614613,
,Abnormality of the genital system,2074,ERCC6,-,mim2gene,OMIM:133540,
,Abnormality of the genital system,50484,RRM2B,,orphadata,ORPHA:298,
,Abnormality of the genital system,10436,EMG1,,orphadata,ORPHA:1270,
,Abnormality of the genital system,5422,POLA1,,orphadata,ORPHA:163976,
,Abnormality of the genital system,4638,MYLK,,orphadata,ORPHA:2241,
,Abnormality of the genital system,54551,MAGEL2,-,mim2gene,OMIM:176270,
,Abnormality of the genital system,100144748,KLLN,,orphadata,ORPHA:201,
,Abnormality of the genital system,118491,CFAP70,question,mim2gene,OMIM:618670,
,Abnormality of the genital system,114049,BUD23,,orphadata,ORPHA:904,
,Abnormality of the genital system,7012,TERC,,orphadata,ORPHA:1775,
,Abnormality of the genital system,80173,IFT74,-,mim2gene,OMIM:619585,
,Abnormality of the genital system,8195,MKKS,-,mim2gene,OMIM:236700,
,Abnormality of the genital system,201134,CEP112,-,mim2gene,OMIM:619044,
,Abnormality of the genital system,27031,NPHP3,,orphadata,ORPHA:3156,
,Abnormality of the genital system,22884,WDR37,-,mim2gene,OMIM:618652,
,Abnormality of the genital system,57704,GBA2,,orphadata,ORPHA:320391,
,Abnormality of the genital system,8653,DDX3Y,-,mim2gene,OMIM:415000,
,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:2348,
,Abnormality of the genital system,5373,PMM2,,orphadata,ORPHA:79318,
,Abnormality of the genital system,2178,FANCE,,orphadata,ORPHA:84,
,Abnormality of the genital system,768206,PRCD,,orphadata,ORPHA:791,
,Abnormality of the genital system,84277,DNAJC30,,orphadata,ORPHA:904,
,Abnormality of the genital system,23426,GRIP1,-,mim2gene,OMIM:617667,
,Abnormality of the genital system,100151683,RNU4ATAC,,orphadata,ORPHA:353298,
,Abnormality of the genital system,11284,PNKP,,orphadata,ORPHA:1934,
,Abnormality of the genital system,54517,PUS7,,orphadata,ORPHA:528084,
,Abnormality of the genital system,57728,WDR19,,orphadata,ORPHA:3156,
,Abnormality of the genital system,2313,FLI1,,orphadata,ORPHA:2308,
,Abnormality of the genital system,6477,SIAH1,-,mim2gene,OMIM:619314,
,Abnormality of the genital system,1583,CYP11A1,,orphadata,ORPHA:168558,
,Abnormality of the genital system,117581,TWIST2,-,mim2gene,OMIM:200110,
,Abnormality of the genital system,117155,CATSPER2,-,mim2gene,OMIM:612997,
,Abnormality of the genital system,431705,ASTL,question,mim2gene,OMIM:619643,
,Abnormality of the genital system,10492,SYNCRIP,,orphadata,ORPHA:528084,
,Abnormality of the genital system,5728,PTEN,-,mim2gene,OMIM:158350,
,Abnormality of the genital system,65998,ZFTA,,orphadata,ORPHA:251636,
,Abnormality of the genital system,6324,SCN1B,,orphadata,ORPHA:1934,
,Abnormality of the genital system,55213,RCBTB1,-,mim2gene,OMIM:617175,
,Abnormality of the genital system,23133,PHF8,,orphadata,ORPHA:85287,
,Abnormality of the genital system,8087,FXR1,question,mim2gene,OMIM:618822,
,Abnormality of the genital system,5915,RARB,,orphadata,ORPHA:2470,
,Abnormality of the genital system,202018,TAPT1,-,mim2gene,OMIM:616897,
,Abnormality of the genital system,5727,PTCH1,-,mim2gene,OMIM:109400,
,Abnormality of the genital system,9563,H6PD,-,mim2gene,OMIM:604931,
,Abnormality of the genital system,27161,AGO2,,orphadata,ORPHA:528084,
,Abnormality of the genital system,79947,DHDDS,,orphadata,ORPHA:791,
,Abnormality of the genital system,92002,CCNQ,-,mim2gene,OMIM:300707,
,Abnormality of the genital system,5500,PPP1CB,,orphadata,ORPHA:2701,
,Abnormality of the genital system,675,BRCA2,,orphadata,ORPHA:1333,
,Abnormality of the genital system,10806,SDCCAG8,,orphadata,ORPHA:3156,
,Abnormality of the genital system,6223,RPS19,,orphadata,ORPHA:124,
,Abnormality of the genital system,2260,FGFR1,-,mim2gene,OMIM:166250,
,Abnormality of the genital system,57054,DAZ3,,orphadata,ORPHA:1646,
,Abnormality of the genital system,84314,TMEM107,,orphadata,ORPHA:564,
,Abnormality of the genital system,5648,MASP1,,orphadata,ORPHA:293843,
,Abnormality of the genital system,79827,CLMP,,orphadata,ORPHA:2301,
,Abnormality of the genital system,1161,ERCC8,,orphadata,ORPHA:90321,
,Abnormality of the genital system,1836,SLC26A2,,orphadata,ORPHA:628,
,Abnormality of the genital system,51726,DNAJB11,,orphadata,ORPHA:730,
,Abnormality of the genital system,146845,CFAP52,-,mim2gene,OMIM:619607,
,Abnormality of the genital system,2316,FLNA,,orphadata,ORPHA:1826,
,Abnormality of the genital system,29954,POMT2,,orphadata,ORPHA:899,
,Abnormality of the genital system,11041,B4GAT1,-,mim2gene,OMIM:615287,
,Abnormality of the genital system,54903,MKS1,,orphadata,ORPHA:564,
,Abnormality of the genital system,7852,CXCR4,,orphadata,ORPHA:51636,
,Abnormality of the genital system,3814,KISS1,,orphadata,ORPHA:432,
,Abnormality of the genital system,4204,MECP2,,orphadata,ORPHA:3077,
,Abnormality of the genital system,9319,TRIP13,,orphadata,ORPHA:1052,
,Abnormality of the genital system,2033,EP300,-,mim2gene,OMIM:180849,
,Abnormality of the genital system,1857,DVL3,-,mim2gene,OMIM:616894,
,Abnormality of the genital system,6711,SPTBN1,,orphadata,ORPHA:528084,
,Abnormality of the genital system,7490,WT1,,orphadata,ORPHA:347,
,Abnormality of the genital system,51780,KDM3B,-,mim2gene,OMIM:618846,
,Abnormality of the genital system,215,ABCD1,,orphadata,ORPHA:139396,
,Abnormality of the genital system,1528,CYB5A,,orphadata,ORPHA:90796,
,Abnormality of the genital system,5728,PTEN,,orphadata,ORPHA:65285,
,Abnormality of the genital system,60675,PROK2,,orphadata,ORPHA:478,
,Abnormality of the genital system,6469,SHH,,orphadata,ORPHA:280200,
,Abnormality of the genital system,81608,FIP1L1,,orphadata,ORPHA:520,
,Abnormality of the genital system,10159,ATP6AP2,-,mim2gene,OMIM:301045,
,Abnormality of the genital system,10982,MAPRE2,-,mim2gene,OMIM:616734,
,Abnormality of the genital system,8565,YARS1,-,mim2gene,OMIM:619418,
,Abnormality of the genital system,23129,PLXND1,,orphadata,ORPHA:570,
,Abnormality of the genital system,54539,NDUFB11,,orphadata,ORPHA:2556,
,Abnormality of the genital system,3190,HNRNPK,,orphadata,ORPHA:352665,
,Abnormality of the genital system,494551,WEE2,-,mim2gene,OMIM:617996,
,Abnormality of the genital system,54476,RNF216,,orphadata,ORPHA:1173,
,Abnormality of the genital system,84148,KAT8,,orphadata,ORPHA:528084,
,Abnormality of the genital system,2162,F13A1,,orphadata,ORPHA:331,
,Abnormality of the genital system,10984,KCNQ1OT1,,orphadata,ORPHA:2128,
,Abnormality of the genital system,64218,SEMA4A,,orphadata,ORPHA:791,
,Abnormality of the genital system,1027,CDKN1B,,orphadata,ORPHA:276152,
,Abnormality of the genital system,2108,ETFA,-,mim2gene,OMIM:231680,
,Abnormality of the genital system,140032,RPS4Y2,-,mim2gene,OMIM:415000,
,Abnormality of the genital system,3952,LEP,-,mim2gene,OMIM:614962,
,Abnormality of the genital system,7476,WNT7A,,orphadata,ORPHA:2879,
,Abnormality of the genital system,675,BRCA2,susceptibility,mim2gene,OMIM:612555,
,Abnormality of the genital system,8913,CACNA1G,,orphadata,ORPHA:458803,
,Abnormality of the genital system,57539,WDR35,-,mim2gene,OMIM:614091,
,Abnormality of the genital system,27125,AFF4,,orphadata,ORPHA:444077,
,Abnormality of the genital system,526,ATP6V1B2,,orphadata,ORPHA:3473,
,Abnormality of the genital system,9049,AIP,-,mim2gene,OMIM:102200,
,Abnormality of the genital system,90411,MCFD2,-,mim2gene,OMIM:613625,
,Abnormality of the genital system,1024,CDK8,-,mim2gene,OMIM:618748,
,Abnormality of the genital system,8195,MKKS,-,mim2gene,OMIM:605231,
,Abnormality of the genital system,672,BRCA1,,orphadata,ORPHA:84,
,Abnormality of the genital system,4654,MYOD1,,orphadata,ORPHA:994,
,Abnormality of the genital system,208,AKT2,,orphadata,ORPHA:79085,
,Abnormality of the genital system,117581,TWIST2,-,mim2gene,OMIM:209885,
,Abnormality of the genital system,2332,FMR1,-,mim2gene,OMIM:311360,
,Abnormality of the genital system,9657,IQCB1,,orphadata,ORPHA:3156,
,Abnormality of the genital system,1586,CYP17A1,-,mim2gene,OMIM:202110,
,Abnormality of the genital system,23135,KDM6B,-,mim2gene,OMIM:618505,
,Abnormality of the genital system,150365,MEI1,-,mim2gene,OMIM:618431,
,Abnormality of the genital system,79147,FKRP,,orphadata,ORPHA:370968,
,Abnormality of the genital system,2619,GAS1,,orphadata,ORPHA:280200,
,Abnormality of the genital system,55112,DYNC2I1,-,mim2gene,OMIM:615503,
,Abnormality of the genital system,4541,ND6,,orphadata,ORPHA:550,
,Abnormality of the genital system,92749,DRC1,,orphadata,ORPHA:244,
,Abnormality of the genital system,9210,BMP15,,orphadata,ORPHA:243,
,Abnormality of the genital system,55869,HDAC8,,orphadata,ORPHA:199,
,Abnormality of the genital system,2317,FLNB,-,mim2gene,OMIM:150250,
