HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link,
HP:0000078,Abnormality of the genital system,2188,FANCF,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,2072,ERCC4,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,207,AKT1,-,mim2gene,OMIM:114500,
HP:0000078,Abnormality of the genital system,54970,TTC12,-,mim2gene,OMIM:618801,
HP:0000078,Abnormality of the genital system,2177,FANCD2,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,4081,MAB21L1,-,mim2gene,OMIM:618479,
HP:0000078,Abnormality of the genital system,8241,RBM10,,orphadata,ORPHA:2886,
HP:0000078,Abnormality of the genital system,4953,ODC1,,orphadata,ORPHA:544488,
HP:0000078,Abnormality of the genital system,10516,FBLN5,,orphadata,ORPHA:90349,
HP:0000078,Abnormality of the genital system,2535,FZD2,-,mim2gene,OMIM:164745,
HP:0000078,Abnormality of the genital system,7026,NR2F2,-,mim2gene,OMIM:618901,
HP:0000078,Abnormality of the genital system,6605,SMARCE1,,orphadata,ORPHA:2495,
HP:0000078,Abnormality of the genital system,3664,IRF6,,orphadata,ORPHA:1300,
HP:0000078,Abnormality of the genital system,54496,PRMT7,,orphadata,ORPHA:464288,
HP:0000078,Abnormality of the genital system,10847,SRCAP,-,mim2gene,OMIM:619595,
HP:0000078,Abnormality of the genital system,2260,FGFR1,-,mim2gene,OMIM:190440,
HP:0000078,Abnormality of the genital system,3284,HSD3B2,,orphadata,ORPHA:90791,
HP:0000078,Abnormality of the genital system,4618,MYF6,,orphadata,ORPHA:169189,
HP:0000078,Abnormality of the genital system,129880,BBS5,,orphadata,ORPHA:110,
HP:0000078,Abnormality of the genital system,7547,ZIC3,-,mim2gene,OMIM:314390,
HP:0000078,Abnormality of the genital system,2516,NR5A1,-,mim2gene,OMIM:612964,
HP:0000078,Abnormality of the genital system,1146,CHRNG,-,mim2gene,OMIM:265000,
HP:0000078,Abnormality of the genital system,5889,RAD51C,-,mim2gene,OMIM:613390,
HP:0000078,Abnormality of the genital system,89765,RSPH1,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,8556,CDC14A,-,mim2gene,OMIM:608653,
HP:0000078,Abnormality of the genital system,2255,FGF10,-,mim2gene,OMIM:149730,
HP:0000078,Abnormality of the genital system,80169,CTC1,,orphadata,ORPHA:1775,
HP:0000078,Abnormality of the genital system,105259599,H19-ICR,-,mim2gene,OMIM:130650,
HP:0000078,Abnormality of the genital system,5257,PHKB,,orphadata,ORPHA:79240,
HP:0000078,Abnormality of the genital system,1490,CCN2,,orphadata,ORPHA:220393,
HP:0000078,Abnormality of the genital system,84231,TRAF7,,orphadata,ORPHA:2495,
HP:0000078,Abnormality of the genital system,8481,OFD1,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,80184,CEP290,,orphadata,ORPHA:110,
HP:0000078,Abnormality of the genital system,9227,LRAT,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,2260,FGFR1,,orphadata,ORPHA:432,
HP:0000078,Abnormality of the genital system,9533,POLR1C,,orphadata,ORPHA:88637,
HP:0000078,Abnormality of the genital system,201595,STT3B,,orphadata,ORPHA:370924,
HP:0000078,Abnormality of the genital system,284361,EMC10,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,23116,TOGARAM1,-,mim2gene,OMIM:619185,
HP:0000078,Abnormality of the genital system,51317,PHF21A,,orphadata,ORPHA:52022,
HP:0000078,Abnormality of the genital system,5054,SERPINE1,-,mim2gene,OMIM:613329,
HP:0000078,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:740,
HP:0000078,Abnormality of the genital system,4052,LTBP1,,orphadata,ORPHA:90349,
HP:0000078,Abnormality of the genital system,6775,STAT4,,orphadata,ORPHA:117,
HP:0000078,Abnormality of the genital system,56983,POGLUT1,,orphadata,ORPHA:79145,
HP:0000078,Abnormality of the genital system,2531,KDSR,,orphadata,ORPHA:317,
HP:0000078,Abnormality of the genital system,1848,DUSP6,-,mim2gene,OMIM:146110,
HP:0000078,Abnormality of the genital system,24145,PANX1,-,mim2gene,OMIM:618550,
HP:0000078,Abnormality of the genital system,79813,EHMT1,-,mim2gene,OMIM:610253,
HP:0000078,Abnormality of the genital system,55212,BBS7,,orphadata,ORPHA:110,
HP:0000078,Abnormality of the genital system,9320,TRIP12,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,6392,SDHD,,orphadata,ORPHA:201,
HP:0000078,Abnormality of the genital system,81857,MED25,-,mim2gene,OMIM:616449,
HP:0000078,Abnormality of the genital system,1586,CYP17A1,,orphadata,ORPHA:90793,
HP:0000078,Abnormality of the genital system,50846,DHH,-,mim2gene,OMIM:607080,
HP:0000078,Abnormality of the genital system,2176,FANCC,-,mim2gene,OMIM:227645,
HP:0000078,Abnormality of the genital system,51053,GMNN,-,mim2gene,OMIM:616835,
HP:0000078,Abnormality of the genital system,9423,NTN1,,orphadata,ORPHA:238722,
HP:0000078,Abnormality of the genital system,138050,HGSNAT,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,8260,NAA10,,orphadata,ORPHA:276432,
HP:0000078,Abnormality of the genital system,6598,SMARCB1,,orphadata,ORPHA:1465,
HP:0000078,Abnormality of the genital system,55384,MEG3,,orphadata,ORPHA:96184,
HP:0000078,Abnormality of the genital system,2737,GLI3,-,mim2gene,OMIM:175700,
HP:0000078,Abnormality of the genital system,64072,CDH23,,orphadata,ORPHA:96253,
HP:0000078,Abnormality of the genital system,5915,RARB,-,mim2gene,OMIM:615524,
HP:0000078,Abnormality of the genital system,80152,CENPT,question,mim2gene,OMIM:618702,
HP:0000078,Abnormality of the genital system,10584,COLEC10,-,mim2gene,OMIM:248340,
HP:0000078,Abnormality of the genital system,1499,CTNNB1,,orphadata,ORPHA:54595,
HP:0000078,Abnormality of the genital system,10459,MAD2L2,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,259232,NALCN,,orphadata,ORPHA:2053,
HP:0000078,Abnormality of the genital system,23389,MED13L,-,mim2gene,OMIM:616789,
HP:0000078,Abnormality of the genital system,6253,RTN2,,orphadata,ORPHA:100993,
HP:0000078,Abnormality of the genital system,2175,FANCA,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,58508,KMT2C,,orphadata,ORPHA:261652,
HP:0000078,Abnormality of the genital system,5727,PTCH1,,orphadata,ORPHA:280200,
HP:0000078,Abnormality of the genital system,1182,CLCN3,-,mim2gene,OMIM:619512,
HP:0000078,Abnormality of the genital system,50937,CDON,,orphadata,ORPHA:95496,
HP:0000078,Abnormality of the genital system,3914,LAMB3,,orphadata,ORPHA:79404,
HP:0000078,Abnormality of the genital system,23291,FBXW11,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,1656,DDX6,-,mim2gene,OMIM:618653,
HP:0000078,Abnormality of the genital system,22930,RAB3GAP1,-,mim2gene,OMIM:619420,
HP:0000078,Abnormality of the genital system,79925,SPEF2,-,mim2gene,OMIM:618751,
HP:0000078,Abnormality of the genital system,340719,NANOS1,-,mim2gene,OMIM:615413,
HP:0000078,Abnormality of the genital system,317761,C14ORF39,,orphadata,ORPHA:399805,
HP:0000078,Abnormality of the genital system,6165,RPL35A,,orphadata,ORPHA:124,
HP:0000078,Abnormality of the genital system,9081,PRY,-,mim2gene,OMIM:415000,
HP:0000078,Abnormality of the genital system,139212,DNAAF6,-,mim2gene,OMIM:300991,
HP:0000078,Abnormality of the genital system,51750,RTEL1,,orphadata,ORPHA:1775,
HP:0000078,Abnormality of the genital system,6942,TCF20,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,6231,RPS26,,orphadata,ORPHA:124,
HP:0000078,Abnormality of the genital system,3691,ITGB4,,orphadata,ORPHA:158684,
HP:0000078,Abnormality of the genital system,54361,WNT4,question,mim2gene,OMIM:611812,
HP:0000078,Abnormality of the genital system,25836,NIPBL,-,mim2gene,OMIM:122470,
HP:0000078,Abnormality of the genital system,10225,CD96,-,mim2gene,OMIM:211750,
HP:0000078,Abnormality of the genital system,2316,FLNA,,orphadata,ORPHA:90652,
HP:0000078,Abnormality of the genital system,5193,PEX12,,orphadata,ORPHA:912,
HP:0000078,Abnormality of the genital system,1848,DUSP6,,orphadata,ORPHA:478,
HP:0000078,Abnormality of the genital system,28981,IFT81,-,mim2gene,OMIM:617895,
HP:0000078,Abnormality of the genital system,26012,NSMF,,orphadata,ORPHA:432,
HP:0000078,Abnormality of the genital system,6660,SOX5,,orphadata,ORPHA:313892,
HP:0000078,Abnormality of the genital system,115948,ODAD3,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,4072,EPCAM,,orphadata,ORPHA:144,
HP:0000078,Abnormality of the genital system,9772,TMEM94,-,mim2gene,OMIM:618316,
HP:0000078,Abnormality of the genital system,3588,IL10RB,-,mim2gene,OMIM:612567,
HP:0000078,Abnormality of the genital system,55681,SCYL2,-,mim2gene,OMIM:618766,
HP:0000078,Abnormality of the genital system,6897,TARS1,,orphadata,ORPHA:33364,
HP:0000078,Abnormality of the genital system,4796,TONSL,,orphadata,ORPHA:93357,
HP:0000078,Abnormality of the genital system,10388,SYCP2,-,mim2gene,OMIM:258150,
HP:0000078,Abnormality of the genital system,6611,SMS,,orphadata,ORPHA:3063,
HP:0000078,Abnormality of the genital system,57492,ARID1B,,orphadata,ORPHA:1465,
HP:0000078,Abnormality of the genital system,6210,RPS15A,,orphadata,ORPHA:124,
HP:0000078,Abnormality of the genital system,3481,IGF2,,orphadata,ORPHA:231140,
HP:0000078,Abnormality of the genital system,95681,CEP41,-,mim2gene,OMIM:614464,
HP:0000078,Abnormality of the genital system,9723,SEMA3E,-,mim2gene,OMIM:146110,
HP:0000078,Abnormality of the genital system,79848,CSPP1,,orphadata,ORPHA:397715,
HP:0000078,Abnormality of the genital system,122402,TDRD9,question,mim2gene,OMIM:618110,
HP:0000078,Abnormality of the genital system,51132,RLIM,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,8287,USP9Y,-,mim2gene,OMIM:415000,
HP:0000078,Abnormality of the genital system,51114,ZDHHC9,,orphadata,ORPHA:776,
HP:0000078,Abnormality of the genital system,7015,TERT,,orphadata,ORPHA:2495,
HP:0000078,Abnormality of the genital system,2253,FGF8,,orphadata,ORPHA:478,
HP:0000078,Abnormality of the genital system,4193,MDM2,,orphadata,ORPHA:524,
HP:0000078,Abnormality of the genital system,23247,KATNIP,-,mim2gene,OMIM:616784,
HP:0000078,Abnormality of the genital system,5155,PDGFB,,orphadata,ORPHA:2495,
HP:0000078,Abnormality of the genital system,6663,SOX10,,orphadata,ORPHA:478,
HP:0000078,Abnormality of the genital system,56683,CFAP298,-,mim2gene,OMIM:615500,
HP:0000078,Abnormality of the genital system,84100,ARL6,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,51651,PTRH2,-,mim2gene,OMIM:616263,
HP:0000078,Abnormality of the genital system,25782,RAB3GAP2,,orphadata,ORPHA:1387,
HP:0000078,Abnormality of the genital system,2324,FLT4,,orphadata,ORPHA:3303,
HP:0000078,Abnormality of the genital system,79625,NDNF,-,mim2gene,OMIM:618841,
HP:0000078,Abnormality of the genital system,1859,DYRK1A,,orphadata,ORPHA:464311,
HP:0000078,Abnormality of the genital system,84976,DISP1,,orphadata,ORPHA:280200,
HP:0000078,Abnormality of the genital system,54551,MAGEL2,,orphadata,ORPHA:177910,
HP:0000078,Abnormality of the genital system,1586,CYP17A1,,orphadata,ORPHA:90796,
HP:0000078,Abnormality of the genital system,23040,MYT1L,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,8220,ESS2,-,mim2gene,OMIM:192430,
HP:0000078,Abnormality of the genital system,205717,USF3,,orphadata,ORPHA:201,
HP:0000078,Abnormality of the genital system,9896,FIG4,,orphadata,ORPHA:3472,
HP:0000078,Abnormality of the genital system,4948,OCA2,,orphadata,ORPHA:177901,
HP:0000078,Abnormality of the genital system,8882,ZPR1,question,mim2gene,OMIM:619321,
HP:0000078,Abnormality of the genital system,5290,PIK3CA,,orphadata,ORPHA:2495,
HP:0000078,Abnormality of the genital system,7840,ALMS1,-,mim2gene,OMIM:203800,
HP:0000078,Abnormality of the genital system,5087,PBX1,-,mim2gene,OMIM:617641,
HP:0000078,Abnormality of the genital system,326,AIRE,-,mim2gene,OMIM:240300,
HP:0000078,Abnormality of the genital system,9915,ARNT2,,orphadata,ORPHA:3157,
HP:0000078,Abnormality of the genital system,6138,RPL15,,orphadata,ORPHA:124,
HP:0000078,Abnormality of the genital system,113179,ADAT3,,orphadata,ORPHA:363528,
HP:0000078,Abnormality of the genital system,94137,RP1L1,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,340419,RSPO2,-,mim2gene,OMIM:618021,
HP:0000078,Abnormality of the genital system,1785,DNM2,,orphadata,ORPHA:169189,
HP:0000078,Abnormality of the genital system,9361,LONP1,-,mim2gene,OMIM:600373,
HP:0000078,Abnormality of the genital system,23522,KAT6B,,orphadata,ORPHA:85201,
HP:0000078,Abnormality of the genital system,5885,RAD21,,orphadata,ORPHA:199,
HP:0000078,Abnormality of the genital system,1131,CHRM3,,orphadata,ORPHA:2970,
HP:0000078,Abnormality of the genital system,10908,PNPLA6,-,mim2gene,OMIM:215470,
HP:0000078,Abnormality of the genital system,3643,INSR,-,mim2gene,OMIM:246200,
HP:0000078,Abnormality of the genital system,1630,DCC,,orphadata,ORPHA:478,
HP:0000078,Abnormality of the genital system,2263,FGFR2,-,mim2gene,OMIM:207410,
HP:0000078,Abnormality of the genital system,190,NR0B1,-,mim2gene,OMIM:300200,
HP:0000078,Abnormality of the genital system,5424,POLD1,,orphadata,ORPHA:447877,
HP:0000078,Abnormality of the genital system,339829,CCDC39,-,mim2gene,OMIM:613807,
HP:0000078,Abnormality of the genital system,2778,GNAS,,orphadata,ORPHA:562,
HP:0000078,Abnormality of the genital system,22930,RAB3GAP1,,orphadata,ORPHA:2510,
HP:0000078,Abnormality of the genital system,581,BAX,-,mim2gene,OMIM:114500,
HP:0000078,Abnormality of the genital system,10908,PNPLA6,-,mim2gene,OMIM:275400,
HP:0000078,Abnormality of the genital system,6638,SNRPN,-,mim2gene,OMIM:176270,
HP:0000078,Abnormality of the genital system,23639,DNAAF11,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,6899,TBX1,,orphadata,ORPHA:567,
HP:0000078,Abnormality of the genital system,51053,GMNN,,orphadata,ORPHA:2554,
HP:0000078,Abnormality of the genital system,2332,FMR1,-,mim2gene,OMIM:300623,
HP:0000078,Abnormality of the genital system,2488,FSHB,-,mim2gene,OMIM:229070,
HP:0000078,Abnormality of the genital system,2153,F5,,orphadata,ORPHA:326,
HP:0000078,Abnormality of the genital system,3756,KCNH1,-,mim2gene,OMIM:135500,
HP:0000078,Abnormality of the genital system,93233,ODAD1,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,285282,RABL3,,orphadata,ORPHA:1333,
HP:0000078,Abnormality of the genital system,673,BRAF,-,mim2gene,OMIM:114500,
HP:0000078,Abnormality of the genital system,63901,FAM111A,-,mim2gene,OMIM:602361,
HP:0000078,Abnormality of the genital system,3845,KRAS,,orphadata,ORPHA:648,
HP:0000078,Abnormality of the genital system,3981,LIG4,,orphadata,ORPHA:99812,
HP:0000078,Abnormality of the genital system,89884,LHX4,,orphadata,ORPHA:95494,
HP:0000078,Abnormality of the genital system,26281,FGF20,,orphadata,ORPHA:1848,
HP:0000078,Abnormality of the genital system,8481,OFD1,,orphadata,ORPHA:2754,
HP:0000078,Abnormality of the genital system,7490,WT1,-,mim2gene,OMIM:194080,
HP:0000078,Abnormality of the genital system,10269,ZMPSTE24,-,mim2gene,OMIM:275210,
HP:0000078,Abnormality of the genital system,55210,ATAD3A,,orphadata,ORPHA:496790,
HP:0000078,Abnormality of the genital system,80144,FRAS1,,orphadata,ORPHA:2052,
HP:0000078,Abnormality of the genital system,3209,HOXA13,question,mim2gene,OMIM:176305,
HP:0000078,Abnormality of the genital system,10699,CORIN,,orphadata,ORPHA:275555,
HP:0000078,Abnormality of the genital system,4948,OCA2,,orphadata,ORPHA:177904,
HP:0000078,Abnormality of the genital system,1954,MEGF8,,orphadata,ORPHA:65759,
HP:0000078,Abnormality of the genital system,6870,TACR3,-,mim2gene,OMIM:614840,
HP:0000078,Abnormality of the genital system,55670,PEX26,,orphadata,ORPHA:912,
HP:0000078,Abnormality of the genital system,10165,SLC25A13,,orphadata,ORPHA:247585,
HP:0000078,Abnormality of the genital system,7015,TERT,-,mim2gene,OMIM:613989,
HP:0000078,Abnormality of the genital system,269,AMHR2,-,mim2gene,OMIM:261550,
HP:0000078,Abnormality of the genital system,658,BMPR1B,-,mim2gene,OMIM:609441,
HP:0000078,Abnormality of the genital system,340719,NANOS1,,orphadata,ORPHA:399805,
HP:0000078,Abnormality of the genital system,7157,TP53,susceptibility,mim2gene,OMIM:114500,
HP:0000078,Abnormality of the genital system,4692,NDN,,orphadata,ORPHA:177901,
HP:0000078,Abnormality of the genital system,134353,LSM11,question,mim2gene,OMIM:619486,
HP:0000078,Abnormality of the genital system,122481,AK7,question,mim2gene,OMIM:617965,
HP:0000078,Abnormality of the genital system,84842,HPDL,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,2177,FANCD2,-,mim2gene,OMIM:227646,
HP:0000078,Abnormality of the genital system,60509,AGBL5,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,80067,DCAF17,-,mim2gene,OMIM:241080,
HP:0000078,Abnormality of the genital system,6602,SMARCD1,,orphadata,ORPHA:1465,
HP:0000078,Abnormality of the genital system,5830,PEX5,-,mim2gene,OMIM:214110,
HP:0000078,Abnormality of the genital system,26275,HIBCH,,orphadata,ORPHA:88639,
HP:0000078,Abnormality of the genital system,246329,STAC3,,orphadata,ORPHA:168572,
HP:0000078,Abnormality of the genital system,26284,ERAL1,-,mim2gene,OMIM:617565,
HP:0000078,Abnormality of the genital system,85478,CCDC65,,orphadata,ORPHA:244,
HP:0000078,Abnormality of the genital system,9993,DGCR2,-,mim2gene,OMIM:192430,
HP:0000078,Abnormality of the genital system,5144,PDE4D,-,mim2gene,OMIM:614613,
HP:0000078,Abnormality of the genital system,2074,ERCC6,-,mim2gene,OMIM:133540,
HP:0000078,Abnormality of the genital system,50484,RRM2B,,orphadata,ORPHA:298,
HP:0000078,Abnormality of the genital system,10436,EMG1,,orphadata,ORPHA:1270,
HP:0000078,Abnormality of the genital system,5422,POLA1,,orphadata,ORPHA:163976,
HP:0000078,Abnormality of the genital system,4638,MYLK,,orphadata,ORPHA:2241,
HP:0000078,Abnormality of the genital system,54551,MAGEL2,-,mim2gene,OMIM:176270,
HP:0000078,Abnormality of the genital system,100144748,KLLN,,orphadata,ORPHA:201,
HP:0000078,Abnormality of the genital system,118491,CFAP70,question,mim2gene,OMIM:618670,
HP:0000078,Abnormality of the genital system,114049,BUD23,,orphadata,ORPHA:904,
HP:0000078,Abnormality of the genital system,7012,TERC,,orphadata,ORPHA:1775,
HP:0000078,Abnormality of the genital system,80173,IFT74,-,mim2gene,OMIM:619585,
HP:0000078,Abnormality of the genital system,8195,MKKS,-,mim2gene,OMIM:236700,
HP:0000078,Abnormality of the genital system,201134,CEP112,-,mim2gene,OMIM:619044,
HP:0000078,Abnormality of the genital system,27031,NPHP3,,orphadata,ORPHA:3156,
HP:0000078,Abnormality of the genital system,22884,WDR37,-,mim2gene,OMIM:618652,
HP:0000078,Abnormality of the genital system,57704,GBA2,,orphadata,ORPHA:320391,
HP:0000078,Abnormality of the genital system,8653,DDX3Y,-,mim2gene,OMIM:415000,
HP:0000078,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:2348,
HP:0000078,Abnormality of the genital system,5373,PMM2,,orphadata,ORPHA:79318,
HP:0000078,Abnormality of the genital system,2178,FANCE,,orphadata,ORPHA:84,
HP:0000078,Abnormality of the genital system,768206,PRCD,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,84277,DNAJC30,,orphadata,ORPHA:904,
HP:0000078,Abnormality of the genital system,23426,GRIP1,-,mim2gene,OMIM:617667,
HP:0000078,Abnormality of the genital system,100151683,RNU4ATAC,,orphadata,ORPHA:353298,
HP:0000078,Abnormality of the genital system,11284,PNKP,,orphadata,ORPHA:1934,
HP:0000078,Abnormality of the genital system,54517,PUS7,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,57728,WDR19,,orphadata,ORPHA:3156,
HP:0000078,Abnormality of the genital system,2313,FLI1,,orphadata,ORPHA:2308,
HP:0000078,Abnormality of the genital system,6477,SIAH1,-,mim2gene,OMIM:619314,
HP:0000078,Abnormality of the genital system,1583,CYP11A1,,orphadata,ORPHA:168558,
HP:0000078,Abnormality of the genital system,117581,TWIST2,-,mim2gene,OMIM:200110,
HP:0000078,Abnormality of the genital system,117155,CATSPER2,-,mim2gene,OMIM:612997,
HP:0000078,Abnormality of the genital system,431705,ASTL,question,mim2gene,OMIM:619643,
HP:0000078,Abnormality of the genital system,10492,SYNCRIP,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,5728,PTEN,-,mim2gene,OMIM:158350,
HP:0000078,Abnormality of the genital system,65998,ZFTA,,orphadata,ORPHA:251636,
HP:0000078,Abnormality of the genital system,6324,SCN1B,,orphadata,ORPHA:1934,
HP:0000078,Abnormality of the genital system,55213,RCBTB1,-,mim2gene,OMIM:617175,
HP:0000078,Abnormality of the genital system,23133,PHF8,,orphadata,ORPHA:85287,
HP:0000078,Abnormality of the genital system,8087,FXR1,question,mim2gene,OMIM:618822,
HP:0000078,Abnormality of the genital system,5915,RARB,,orphadata,ORPHA:2470,
HP:0000078,Abnormality of the genital system,202018,TAPT1,-,mim2gene,OMIM:616897,
HP:0000078,Abnormality of the genital system,5727,PTCH1,-,mim2gene,OMIM:109400,
HP:0000078,Abnormality of the genital system,9563,H6PD,-,mim2gene,OMIM:604931,
HP:0000078,Abnormality of the genital system,27161,AGO2,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,79947,DHDDS,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,92002,CCNQ,-,mim2gene,OMIM:300707,
HP:0000078,Abnormality of the genital system,5500,PPP1CB,,orphadata,ORPHA:2701,
HP:0000078,Abnormality of the genital system,675,BRCA2,,orphadata,ORPHA:1333,
HP:0000078,Abnormality of the genital system,10806,SDCCAG8,,orphadata,ORPHA:3156,
HP:0000078,Abnormality of the genital system,6223,RPS19,,orphadata,ORPHA:124,
HP:0000078,Abnormality of the genital system,2260,FGFR1,-,mim2gene,OMIM:166250,
HP:0000078,Abnormality of the genital system,57054,DAZ3,,orphadata,ORPHA:1646,
HP:0000078,Abnormality of the genital system,84314,TMEM107,,orphadata,ORPHA:564,
HP:0000078,Abnormality of the genital system,5648,MASP1,,orphadata,ORPHA:293843,
HP:0000078,Abnormality of the genital system,79827,CLMP,,orphadata,ORPHA:2301,
HP:0000078,Abnormality of the genital system,1161,ERCC8,,orphadata,ORPHA:90321,
HP:0000078,Abnormality of the genital system,1836,SLC26A2,,orphadata,ORPHA:628,
HP:0000078,Abnormality of the genital system,51726,DNAJB11,,orphadata,ORPHA:730,
HP:0000078,Abnormality of the genital system,146845,CFAP52,-,mim2gene,OMIM:619607,
HP:0000078,Abnormality of the genital system,2316,FLNA,,orphadata,ORPHA:1826,
HP:0000078,Abnormality of the genital system,29954,POMT2,,orphadata,ORPHA:899,
HP:0000078,Abnormality of the genital system,11041,B4GAT1,-,mim2gene,OMIM:615287,
HP:0000078,Abnormality of the genital system,54903,MKS1,,orphadata,ORPHA:564,
HP:0000078,Abnormality of the genital system,7852,CXCR4,,orphadata,ORPHA:51636,
HP:0000078,Abnormality of the genital system,3814,KISS1,,orphadata,ORPHA:432,
HP:0000078,Abnormality of the genital system,4204,MECP2,,orphadata,ORPHA:3077,
HP:0000078,Abnormality of the genital system,9319,TRIP13,,orphadata,ORPHA:1052,
HP:0000078,Abnormality of the genital system,2033,EP300,-,mim2gene,OMIM:180849,
