HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link
,,7048,TGFBR2,-,mim2gene,OMIM:610168
,,1387,CREBBP,-,mim2gene,OMIM:180849
,,4629,MYH11,,orphadata,ORPHA:91387
,,10735,STAG2,-,mim2gene,OMIM:301043
,,27031,NPHP3,-,mim2gene,OMIM:208540
,,2187,FANCB,,orphadata,ORPHA:84
,,54499,TMCO1,-,mim2gene,OMIM:213980
,,9839,ZEB2,,orphadata,ORPHA:261552
,,6628,SNRPB,-,mim2gene,OMIM:117650
,,1859,DYRK1A,,orphadata,ORPHA:464311
,,55033,FKBP14,-,mim2gene,OMIM:614557
,,151188,ARL6IP6,,orphadata,ORPHA:1556
,,55215,FANCI,,orphadata,ORPHA:84
,,29957,SLC25A24,,orphadata,ORPHA:2095
,,79068,FTO,-,mim2gene,OMIM:612938
,,23327,NEDD4L,,orphadata,ORPHA:98892
,,113179,ADAT3,,orphadata,ORPHA:363528
,,51057,WDPCP,,orphadata,ORPHA:1338
,,57863,CADM3,-,mim2gene,OMIM:619519
,,1131,CHRM3,,orphadata,ORPHA:2970
,,473,RERE,,orphadata,ORPHA:1606
,,2737,GLI3,-,mim2gene,OMIM:146510
,,2006,ELN,,orphadata,ORPHA:91387
,,8942,KYNU,-,mim2gene,OMIM:617661
,,8295,TRRAP,-,mim2gene,OMIM:618454
,,2006,ELN,,orphadata,ORPHA:904
,,8239,USP9X,-,mim2gene,OMIM:300968
,,6899,TBX1,,orphadata,ORPHA:567
,,26005,C2CD3,-,mim2gene,OMIM:615948
,,27125,AFF4,-,mim2gene,OMIM:616368
,,3756,KCNH1,-,mim2gene,OMIM:135500
,,5982,RFC2,,orphadata,ORPHA:904
,,5950,RBP4,-,mim2gene,OMIM:615147
,,4838,NODAL,-,mim2gene,OMIM:270100
,,10269,ZMPSTE24,-,mim2gene,OMIM:275210
,,7086,TKT,-,mim2gene,OMIM:617044
,,5592,PRKG1,,orphadata,ORPHA:91387
,,1954,MEGF8,,orphadata,ORPHA:65759
,,23387,SIK3,question,mim2gene,OMIM:618162
,,8468,FKBP6,,orphadata,ORPHA:904
,,1387,CREBBP,,orphadata,ORPHA:353281
,,64324,NSD1,-,mim2gene,OMIM:117550
,,2177,FANCD2,-,mim2gene,OMIM:227646
,,6602,SMARCD1,,orphadata,ORPHA:1465
,,55790,CSGALNACT1,-,mim2gene,OMIM:618870
,,6651,SON,,orphadata,ORPHA:500150
,,5325,PLAGL1,,orphadata,ORPHA:96191
,,11274,USP18,-,mim2gene,OMIM:617397
,,114049,BUD23,,orphadata,ORPHA:904
,,4841,NONO,-,mim2gene,OMIM:300967
,,22884,WDR37,-,mim2gene,OMIM:618652
,,93649,MYOCD,-,mim2gene,OMIM:618719
,,5889,RAD51C,,orphadata,ORPHA:84
,,2178,FANCE,,orphadata,ORPHA:84
,,84277,DNAJC30,,orphadata,ORPHA:904
,,1482,NKX2-5,,orphadata,ORPHA:2248
,,6949,TCOF1,,orphadata,ORPHA:861
,,2737,GLI3,,orphadata,ORPHA:672
,,5116,PCNT,,orphadata,ORPHA:2637
,,657,BMPR1A,,orphadata,ORPHA:79076
,,1788,DNMT3A,,orphadata,ORPHA:404443
,,3476,IGBP1,question,mim2gene,OMIM:300472
,,6899,TBX1,-,mim2gene,OMIM:188400
,,51008,ASCC1,-,mim2gene,OMIM:616867
,,155382,VPS37D,,orphadata,ORPHA:904
,,1889,ECE1,question,mim2gene,OMIM:613870
,,4089,SMAD4,,orphadata,ORPHA:91387
,,5500,PPP1CB,-,mim2gene,OMIM:617506
,,2033,EP300,,orphadata,ORPHA:353284
,,2263,FGFR2,,orphadata,ORPHA:2363
,,8195,MKKS,,orphadata,ORPHA:2473
,,4087,SMAD2,,orphadata,ORPHA:91387
,,57511,COG6,-,mim2gene,OMIM:614576
,,388753,COA6,-,mim2gene,OMIM:616501
,,5189,PEX1,-,mim2gene,OMIM:214100
,,51604,PIGT,-,mim2gene,OMIM:615398
,,1718,DHCR24,,orphadata,ORPHA:35107
,,6595,SMARCA2,-,mim2gene,OMIM:619293
,,7046,TGFBR1,,orphadata,ORPHA:60030
,,160418,TMTC3,,orphadata,ORPHA:98892
,,9949,AMMECR1,,orphadata,ORPHA:86818
,,6299,SALL1,,orphadata,ORPHA:857
,,170302,ARX,,orphadata,ORPHA:452
,,4638,MYLK,,orphadata,ORPHA:91387
,,2702,GJA5,-,mim2gene,OMIM:612474
,,2033,EP300,-,mim2gene,OMIM:180849
,,57061,HYMAI,,orphadata,ORPHA:96191
,,1857,DVL3,-,mim2gene,OMIM:616894
,,145173,B3GLCT,,orphadata,ORPHA:709
,,2316,FLNA,-,mim2gene,OMIM:300048
,,93166,PRDM6,-,mim2gene,OMIM:617039
,,5718,PSMD12,,orphadata,ORPHA:529962
,,23493,HEY2,,orphadata,ORPHA:91387
,,675,BRCA2,,orphadata,ORPHA:84
,,7516,XRCC2,,orphadata,ORPHA:84
,,6909,TBX2,-,mim2gene,OMIM:618223
,,79228,THOC6,,orphadata,ORPHA:363444
,,23630,KCNE5,,orphadata,ORPHA:86818
,,60,ACTB,-,mim2gene,OMIM:243310
,,2812,GP1BB,,orphadata,ORPHA:567
,,27161,AGO2,-,mim2gene,OMIM:619149
,,55109,AGGF1,,orphadata,ORPHA:90308
,,27125,AFF4,,orphadata,ORPHA:444077
,,9321,TRIP11,,orphadata,ORPHA:166272
,,23395,LARS2,-,mim2gene,OMIM:617021
,,672,BRCA1,,orphadata,ORPHA:84
,,64840,PORCN,,orphadata,ORPHA:2092
,,54880,BCOR,-,mim2gene,OMIM:300166
,,9949,AMMECR1,-,mim2gene,OMIM:300990
,,51085,MLXIPL,,orphadata,ORPHA:904
,,11198,SUPT16H,-,mim2gene,OMIM:619480
,,3845,KRAS,-,mim2gene,OMIM:609942
,,6657,SOX2,,orphadata,ORPHA:77298
,,196528,ARID2,,orphadata,ORPHA:1465
,,3476,IGBP1,,orphadata,ORPHA:52055
,,673,BRAF,-,mim2gene,OMIM:163950
,,6638,SNRPN,,orphadata,ORPHA:177907
,,7086,TKT,,orphadata,ORPHA:488618
,,55784,MCTP2,,orphadata,ORPHA:1596
,,10664,CTCF,,orphadata,ORPHA:363611
,,26005,C2CD3,,orphadata,ORPHA:434179
,,23384,SPECC1L,,orphadata,ORPHA:1519
,,3984,LIMK1,,orphadata,ORPHA:904
,,1954,MEGF8,-,mim2gene,OMIM:614976
,,65082,VPS33A,,orphadata,ORPHA:505248
,,5718,PSMD12,-,mim2gene,OMIM:617516
,,1131,CHRM3,-,mim2gene,OMIM:100100
,,57178,ZMIZ1,-,mim2gene,OMIM:618659
,,6899,TBX1,,orphadata,ORPHA:567
,,23522,KAT6B,,orphadata,ORPHA:3047
,,22827,PUF60,,orphadata,ORPHA:508488
,,79087,ALG12,,orphadata,ORPHA:79324
,,23556,PIGN,-,mim2gene,OMIM:614080
,,57465,TBC1D24,-,mim2gene,OMIM:220500
,,5590,PRKCZ,,orphadata,ORPHA:1606
,,10269,ZMPSTE24,,orphadata,ORPHA:1662
,,8626,TP63,-,mim2gene,OMIM:106260
,,4990,SIX6,-,mim2gene,OMIM:206900
,,5728,PTEN,,orphadata,ORPHA:79076
,,7707,ZNF148,-,mim2gene,OMIM:617260
,,10277,UBE4B,,orphadata,ORPHA:1606
,,8216,LZTR1,-,mim2gene,OMIM:605275
,,4010,LMX1B,,orphadata,ORPHA:495818
,,9723,SEMA3E,,orphadata,ORPHA:138
,,421,ARVCF,,orphadata,ORPHA:567
,,7048,TGFBR2,,orphadata,ORPHA:60030
,,4000,LMNA,-,mim2gene,OMIM:275210
,,10060,ABCC9,-,mim2gene,OMIM:239850
,,1482,NKX2-5,-,mim2gene,OMIM:614432
,,1387,CREBBP,,orphadata,ORPHA:353277
,,4853,NOTCH2,,orphadata,ORPHA:955
,,7994,KAT6A,-,mim2gene,OMIM:616268
,,2261,FGFR3,,orphadata,ORPHA:2363
,,7353,UFD1,,orphadata,ORPHA:567
,,998,CDC42,-,mim2gene,OMIM:616737
,,65082,VPS33A,-,mim2gene,OMIM:617303
,,59,ACTA2,-,mim2gene,OMIM:613834
,,64324,NSD1,,orphadata,ORPHA:821
,,374879,ZNF699,-,mim2gene,OMIM:619488
,,8076,MFAP5,,orphadata,ORPHA:91387
,,51604,PIGT,,orphadata,ORPHA:369837
,,4841,NONO,,orphadata,ORPHA:466791
,,55690,PACS1,,orphadata,ORPHA:329224
,,6659,SOX4,,orphadata,ORPHA:1465
,,4854,NOTCH3,-,mim2gene,OMIM:130720
,,7021,TFAP2B,,orphadata,ORPHA:46627
,,25885,POLR1A,-,mim2gene,OMIM:616462
,,7290,HIRA,,orphadata,ORPHA:567
,,4000,LMNA,,orphadata,ORPHA:1662
,,79728,PALB2,,orphadata,ORPHA:84
,,745,MYRF,-,mim2gene,OMIM:618280
,,8514,KCNAB2,,orphadata,ORPHA:1606
,,29072,SETD2,,orphadata,ORPHA:821
,,6601,SMARCC2,,orphadata,ORPHA:1465
,,6125,RPL5,-,mim2gene,OMIM:612561
,,775,CACNA1C,-,mim2gene,OMIM:601005
,,54809,SAMD9,-,mim2gene,OMIM:617053
,,2182,ACSL4,,orphadata,ORPHA:86818
,,203286,ANKS6,-,mim2gene,OMIM:615382
,,10564,ARFGEF2,,orphadata,ORPHA:98892
,,2189,FANCG,,orphadata,ORPHA:84
,,5879,RAC1,,orphadata,ORPHA:500159
,,2255,FGF10,,orphadata,ORPHA:2363
,,2294,FOXF1,,orphadata,ORPHA:210122
,,6231,RPS26,-,mim2gene,OMIM:613309
,,8510,MMP23B,,orphadata,ORPHA:1606
,,55148,UBR7,-,mim2gene,OMIM:619189
,,10630,PDPN,,orphadata,ORPHA:1606
,,6885,MAP3K7,-,mim2gene,OMIM:617137
,,8813,DPM1,-,mim2gene,OMIM:608799
,,79087,ALG12,-,mim2gene,OMIM:607143
,,4247,MGAT2,,orphadata,ORPHA:79329
,,6812,STXBP1,,orphadata,ORPHA:495818
,,6605,SMARCE1,,orphadata,ORPHA:1465
,,51715,RAB23,,orphadata,ORPHA:65759
,,51339,DACT1,,orphadata,ORPHA:857
,,7043,TGFB3,,orphadata,ORPHA:91387
,,54903,MKS1,-,mim2gene,OMIM:249000
,,9632,SEC24C,,orphadata,ORPHA:567
,,26608,TBL2,,orphadata,ORPHA:904
,,2132,EXT2,-,mim2gene,OMIM:616682
,,375,ARF1,,orphadata,ORPHA:98892
,,7547,ZIC3,-,mim2gene,OMIM:306955
,,27031,NPHP3,-,mim2gene,OMIM:267010
,,5648,MASP1,-,mim2gene,OMIM:257920
,,7490,WT1,-,mim2gene,OMIM:608978
,,84231,TRAF7,-,mim2gene,OMIM:618164
,,2703,GJA8,-,mim2gene,OMIM:612474
,,9126,SMC3,-,mim2gene,OMIM:610759
,,4094,MAF,,orphadata,ORPHA:1272
,,57697,FANCM,,orphadata,ORPHA:84
,,10297,APC2,,orphadata,ORPHA:821
