HPO Accession,Disease ID,Gene Symbol,Disease,HPO Term
HP:0004942,DOID:3627,COL3A1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYLK,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FBN1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,BGN,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,BGN,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYH11,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,PRKG1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,SMAD3,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,SMAD3,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FBN1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,PRKG1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,PRKG1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MFAP5,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,SMAD3,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYLK,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYH11,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYLK,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MFAP5,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYLK,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FBN1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR1,Aortic aneurysm,aortic aneurysm
HP:0006518,DOID:5453,BMPR2,Pulmonary venoocclusive disease,pulmonary venous occlusion
HP:0006518,DOID:5453,EIF2AK4,Pulmonary venoocclusive disease,pulmonary venous occlusion
HP:0011603,ICD10:Q25,ELN,ICD10:Q25,congenital malformation of the great arteries
HP:0011603,ICD10:Q25,TFAP2B,ICD10:Q25,congenital malformation of the great arteries
HP:0012727,DOID:14004,MYLK,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,PRKG1,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,FBN1,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,TGFBR2,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,ACTA2,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,TGFBR1,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,MYH11,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0012727,DOID:14004,SMAD3,Thoracic aortic aneurysm,thoracic aortic aneurysm
HP:0031649,DOID:3627,MYH11,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,COL3A1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,SMAD3,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,ACTA2,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,ACTA2,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,TGFBR1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,SMAD3,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,MYLK,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,PRKG1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,TGFB2,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,MFAP5,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,TGFBR2,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,PRKG1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,MYLK,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,LOX,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,FBN1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,TGFBR1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,FOXE3,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,FBN1,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,BGN,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,TGFBR2,Aortic aneurysm,aortic rupture
HP:0031649,DOID:3627,MYH11,Aortic aneurysm,aortic rupture
HP:0200146,DOID:14004,FBN1,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,ACTA2,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,PRKG1,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,MYLK,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,TGFBR2,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,MYH11,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,SMAD3,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
HP:0200146,DOID:14004,TGFBR1,Thoracic aortic aneurysm,mucoid extracellular matrix accumulation
