HPO Accession,Disease ID,Gene Symbol,Disease,HPO Term
HP:0002011,DOID:331,ATN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PRNP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TMEM106B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NDRG1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CNNM2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PIGS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,LRSAM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IGHMBP2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SIRT2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC5A7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP2B3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GRN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KIAA1715,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AMPD2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VAPB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ERLIN2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ROGDI,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GDAP2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APCS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IL6,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APCS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PAK1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,WDR73,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATM,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TRIP4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP13A2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UBA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ZIC1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TBK1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NEFH,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SQSTM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,OPTN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PANK2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IL7R,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HEPACAM,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MLC1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TMEM230,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TECPR2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHRNA4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,LRRK2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UBA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMN2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GSK3B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,LMNB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FOLR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TUBGCP2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MED25,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PHACTR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCN2A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SKOR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PRDM16,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GRM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CYP2U1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GNAL,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TCTN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,LMNB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CTSF,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EPRS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IRF2BPL,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KIF1B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PNKD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NSF,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ACBD5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PDYN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SQSTM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EIF2B4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,POLR3B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAPT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHRNA4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PUM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C9orf72,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PPP2R2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,RORB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PNKD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AP5Z1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TIA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SERPINI1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAPT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ALG14,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP1A2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SPR,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HPCA,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TBK1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP13A2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PIGA,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APCS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GBA,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NUP107,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MDH2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UQCRC1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PDK3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ACER3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TMEM231,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APOE,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C1QA,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NPRL3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FGF14,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TECPR2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AGTPBP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PLCB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC52A2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,P4HTM,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MKS1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CACNA1H,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SPR,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SUGCT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAPT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PSEN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AP4B1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATL1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHRNB2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ARHGEF9,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EIF2B4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UFM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAPT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAPT,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TPRKB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TUBA4A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CERS1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PROSC,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,STXBP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FBXO7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,STXBP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PPT1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CACNA1H,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UCHL1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ACTL6B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CNPY3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GJB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,RPGRIP1L,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VPS13A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PLEKHG2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,STX1B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DCTN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PARK7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMN2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FRRS1L,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FGGY,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DEPDC5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHMP2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHMP2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CLCN6,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TBC1D24,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,POLR3B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ADRA2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C12orf65,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,WDR45,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,COA7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HSPB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EXOC7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UGP2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TP53RK,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ACTB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CPA6,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EXOSC1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TBC1D24,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MARS2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DCTN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SDHA,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KIDINS220,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GDAP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DCC,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C10orf2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SPAST,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FLVCR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PARK7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EIF2S3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SEMA6B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,BCKDK,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC2A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCN1B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DENND5A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GALC,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PIGH,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UBQLN4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATXN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHMP2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PHF21A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DOCK7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CNP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,RAD51,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IGSF9B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KIF5A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CLN6,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CLCN2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATRIP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC13A5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GABRB1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,LITAF,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DNAJB2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FXN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CTSD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PLA2G6,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCARB2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NT5C2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FIG4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VAMP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MAP1B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ADSL,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IBA57,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ZFYVE27,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MBP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATXN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,THAP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SMARCA4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP7A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C1QB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SOD1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SOD1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,YWHAG,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SPG20,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TMEM237,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DNM2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NTRK2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SGCE,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NOTCH3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PCDH19,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC24A3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CSNK2B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ALDH18A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NHLRC1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC2A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TCF4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CARF,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PIGU,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APLP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TRAPPC6B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NIPA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C2CD3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SACS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCND3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHRNA2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,RELN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AIMP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNQ3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,YIPF5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TMEM216,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,IFT172,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CAD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FIG4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SACS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NALCN,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,OXR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ARL6IP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CACNA1A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,OPA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CDKL5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DEPDC5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CSTB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SPG20,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GJC2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,REEP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ST3GAL3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PRDM8,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CLN8,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PARS2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCN9A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FAM134B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,H326,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CSPP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ARV1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCN1A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FAR1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PLEKHG5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC35A3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HEXB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SURF1,Central nervous system disease,morphological central nervous system abnormality
