HPO Accession,HPO Term,Gene Symbol,Source,Source ID
HP:0001627,Abnormal heart morphology,PIK3R2,orphadata,ORPHA:83473
HP:0001627,Abnormal heart morphology,TNNI3,orphadata,ORPHA:75249
HP:0001627,Abnormal heart morphology,RNASEH2B,orphadata,ORPHA:51
HP:0001627,Abnormal heart morphology,SOX4,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,EBP,orphadata,ORPHA:401973
HP:0001627,Abnormal heart morphology,DNAI1,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,RNASEH1,orphadata,ORPHA:329336
HP:0001627,Abnormal heart morphology,GCK,orphadata,ORPHA:99885
HP:0001627,Abnormal heart morphology,PRKAR1A,orphadata,ORPHA:1359
HP:0001627,Abnormal heart morphology,ERAP1,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,B9D1,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,NODAL,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,CDON,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,EIF4H,orphadata,ORPHA:904
HP:0001627,Abnormal heart morphology,CKAP2L,orphadata,ORPHA:3255
HP:0001627,Abnormal heart morphology,TPM1,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,ABCC8,orphadata,ORPHA:99886
HP:0001627,Abnormal heart morphology,VHL,orphadata,ORPHA:892
HP:0001627,Abnormal heart morphology,PACS1,orphadata,ORPHA:329224
HP:0001627,Abnormal heart morphology,SLC12A3,orphadata,ORPHA:358
HP:0001627,Abnormal heart morphology,HIRA,orphadata,ORPHA:567
HP:0001627,Abnormal heart morphology,TAFAZZIN,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,UBE4B,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,IL17RC,orphadata,ORPHA:1334
HP:0001627,Abnormal heart morphology,NSD2,orphadata,ORPHA:280
HP:0001627,Abnormal heart morphology,ARVCF,orphadata,ORPHA:567
HP:0001627,Abnormal heart morphology,STAG2,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,TPM3,orphadata,ORPHA:2020
HP:0001627,Abnormal heart morphology,KIF20A,orphadata,ORPHA:75249
HP:0001627,Abnormal heart morphology,VCP,orphadata,ORPHA:52430
HP:0001627,Abnormal heart morphology,TKFC,orphadata,ORPHA:1369
HP:0001627,Abnormal heart morphology,CREBBP,orphadata,ORPHA:353277
HP:0001627,Abnormal heart morphology,HOXD13,orphadata,ORPHA:887
HP:0001627,Abnormal heart morphology,NDUFAF8,orphadata,ORPHA:2609
HP:0001627,Abnormal heart morphology,NOTCH2,orphadata,ORPHA:955
HP:0001627,Abnormal heart morphology,IL17F,orphadata,ORPHA:1334
HP:0001627,Abnormal heart morphology,B3GALT6,orphadata,ORPHA:536467
HP:0001627,Abnormal heart morphology,ALX1,orphadata,ORPHA:306542
HP:0001627,Abnormal heart morphology,FGF8,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,SPEN,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,NDUFAF6,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,ANK1,orphadata,ORPHA:251066
HP:0001627,Abnormal heart morphology,TMPO,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,IL6,orphadata,ORPHA:85414
HP:0001627,Abnormal heart morphology,COLQ,orphadata,ORPHA:98915
HP:0001627,Abnormal heart morphology,TOPORS,orphadata,ORPHA:2754
HP:0001627,Abnormal heart morphology,SOX11,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,MED25,orphadata,ORPHA:464738
HP:0001627,Abnormal heart morphology,SMARCC2,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,RPS20,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,HBA2,orphadata,ORPHA:163596
HP:0001627,Abnormal heart morphology,NNT,orphadata,ORPHA:361
HP:0001627,Abnormal heart morphology,FBN1,orphadata,ORPHA:2462
HP:0001627,Abnormal heart morphology,OTX2,orphadata,ORPHA:990
HP:0001627,Abnormal heart morphology,PPCS,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,RAC1,orphadata,ORPHA:500159
HP:0001627,Abnormal heart morphology,NAA10,orphadata,ORPHA:276432
HP:0001627,Abnormal heart morphology,SMARCB1,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,FLNC,orphadata,ORPHA:63273
HP:0001627,Abnormal heart morphology,NDUFS8,orphadata,ORPHA:2609
HP:0001627,Abnormal heart morphology,POLG,orphadata,ORPHA:70595
HP:0001627,Abnormal heart morphology,SGCG,orphadata,ORPHA:353
HP:0001627,Abnormal heart morphology,MAD2L2,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,FANCA,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,KMT2C,orphadata,ORPHA:261652
HP:0001627,Abnormal heart morphology,PTCH1,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,PET100,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,ATP1A3,orphadata,ORPHA:2131
HP:0001627,Abnormal heart morphology,LAMB3,orphadata,ORPHA:79404
HP:0001627,Abnormal heart morphology,PLXND1,orphadata,ORPHA:3384
HP:0001627,Abnormal heart morphology,PDX1,orphadata,ORPHA:99885
HP:0001627,Abnormal heart morphology,MAT2A,orphadata,ORPHA:91387
HP:0001627,Abnormal heart morphology,SKI,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,GATA5,orphadata,ORPHA:402075
HP:0001627,Abnormal heart morphology,PEX12,orphadata,ORPHA:772
HP:0001627,Abnormal heart morphology,GNB5,orphadata,ORPHA:542306
HP:0001627,Abnormal heart morphology,KCNJ11,orphadata,ORPHA:99886
HP:0001627,Abnormal heart morphology,IDH1,orphadata,ORPHA:99646
HP:0001627,Abnormal heart morphology,SPEF2,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,MFAP5,orphadata,ORPHA:91387
HP:0001627,Abnormal heart morphology,ND2,orphadata,ORPHA:2609
HP:0001627,Abnormal heart morphology,NONO,orphadata,ORPHA:466791
HP:0001627,Abnormal heart morphology,PRDM16,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,PYGL,orphadata,ORPHA:369
HP:0001627,Abnormal heart morphology,DISP1,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,OFD1,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,POLG,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,BRIP1,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,FAT4,orphadata,ORPHA:2136
HP:0001627,Abnormal heart morphology,PPP2R5D,orphadata,ORPHA:457279
HP:0001627,Abnormal heart morphology,MAP3K20,orphadata,ORPHA:2020
HP:0001627,Abnormal heart morphology,SBDS,orphadata,ORPHA:811
HP:0001627,Abnormal heart morphology,NXN,orphadata,ORPHA:1507
HP:0001627,Abnormal heart morphology,KIAA0586,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,TRNW,orphadata,ORPHA:255210
HP:0001627,Abnormal heart morphology,BRF1,orphadata,ORPHA:444072
HP:0001627,Abnormal heart morphology,CPT2,orphadata,ORPHA:228308
HP:0001627,Abnormal heart morphology,HMGCL,orphadata,ORPHA:20
HP:0001627,Abnormal heart morphology,FANCB,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,EHMT1,orphadata,ORPHA:261652
HP:0001627,Abnormal heart morphology,FANCI,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,ATP6V1B2,orphadata,ORPHA:79500
HP:0001627,Abnormal heart morphology,TPM2,orphadata,ORPHA:171881
HP:0001627,Abnormal heart morphology,EPG5,orphadata,ORPHA:1493
HP:0001627,Abnormal heart morphology,SCARB2,orphadata,ORPHA:77259
HP:0001627,Abnormal heart morphology,EFEMP2,orphadata,ORPHA:90349
HP:0001627,Abnormal heart morphology,CCNQ,orphadata,ORPHA:140952
HP:0001627,Abnormal heart morphology,ACADM,orphadata,ORPHA:42
HP:0001627,Abnormal heart morphology,CTCF,orphadata,ORPHA:363611
HP:0001627,Abnormal heart morphology,RAF1,orphadata,ORPHA:648
HP:0001627,Abnormal heart morphology,SDHA,orphadata,ORPHA:3208
HP:0001627,Abnormal heart morphology,UBR1,orphadata,ORPHA:2315
HP:0001627,Abnormal heart morphology,KBTBD13,orphadata,ORPHA:171439
HP:0001627,Abnormal heart morphology,TALDO1,orphadata,ORPHA:101028
HP:0001627,Abnormal heart morphology,NIPA1,orphadata,ORPHA:261183
HP:0001627,Abnormal heart morphology,TBX22,orphadata,ORPHA:921
HP:0001627,Abnormal heart morphology,PSEN2,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,FANCC,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,PEX3,orphadata,ORPHA:912
HP:0001627,Abnormal heart morphology,LARP7,orphadata,ORPHA:319671
HP:0001627,Abnormal heart morphology,PDE8B,orphadata,ORPHA:189439
HP:0001627,Abnormal heart morphology,PIEZO2,orphadata,ORPHA:2461
HP:0001627,Abnormal heart morphology,TMEM67,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,GTPBP3,orphadata,ORPHA:444013
HP:0001627,Abnormal heart morphology,CPLANE1,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,ZDHHC9,orphadata,ORPHA:776
HP:0001627,Abnormal heart morphology,FLT4,orphadata,ORPHA:3303
HP:0001627,Abnormal heart morphology,RPL35,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,IDUA,orphadata,ORPHA:93473
HP:0001627,Abnormal heart morphology,EIF2AK3,orphadata,ORPHA:1667
HP:0001627,Abnormal heart morphology,NECTIN1,orphadata,ORPHA:199302
HP:0001627,Abnormal heart morphology,ZIC2,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,GLI2,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,CPT2,orphadata,ORPHA:228305
HP:0001627,Abnormal heart morphology,DOLK,orphadata,ORPHA:91131
HP:0001627,Abnormal heart morphology,UBAC2,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,RRAS,orphadata,ORPHA:648
HP:0001627,Abnormal heart morphology,TXNRD2,orphadata,ORPHA:361
HP:0001627,Abnormal heart morphology,CDC42,orphadata,ORPHA:487796
HP:0001627,Abnormal heart morphology,TAF2,orphadata,ORPHA:397951
HP:0001627,Abnormal heart morphology,GATA3,orphadata,ORPHA:2237
HP:0001627,Abnormal heart morphology,BCOR,orphadata,ORPHA:2712
HP:0001627,Abnormal heart morphology,TGIF1,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,CEP41,orphadata,ORPHA:220493
HP:0001627,Abnormal heart morphology,FAM149B1,orphadata,ORPHA:2754
HP:0001627,Abnormal heart morphology,TGFB1,orphadata,ORPHA:1328
HP:0001627,Abnormal heart morphology,ERCC3,orphadata,ORPHA:33364
HP:0001627,Abnormal heart morphology,FANCF,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,NDUFA10,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,KATNB1,orphadata,ORPHA:89844
HP:0001627,Abnormal heart morphology,ERCC4,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,LDLRAP1,orphadata,ORPHA:391665
HP:0001627,Abnormal heart morphology,FANCD2,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,TAFAZZIN,orphadata,ORPHA:111
HP:0001627,Abnormal heart morphology,PAH,orphadata,ORPHA:2209
HP:0001627,Abnormal heart morphology,RBM10,orphadata,ORPHA:2886
HP:0001627,Abnormal heart morphology,FBLN5,orphadata,ORPHA:90349
HP:0001627,Abnormal heart morphology,MYH7,orphadata,ORPHA:59135
HP:0001627,Abnormal heart morphology,TUBG1,orphadata,ORPHA:261183
HP:0001627,Abnormal heart morphology,TWNK,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,ATRX,orphadata,ORPHA:100075
HP:0001627,Abnormal heart morphology,TRNK,orphadata,ORPHA:1349
HP:0001627,Abnormal heart morphology,RSPH1,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,FLNA,orphadata,ORPHA:1826
HP:0001627,Abnormal heart morphology,MKS1,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,TP63,orphadata,ORPHA:199302
HP:0001627,Abnormal heart morphology,CXCR4,orphadata,ORPHA:51636
HP:0001627,Abnormal heart morphology,TRIP13,orphadata,ORPHA:1052
HP:0001627,Abnormal heart morphology,EYA4,orphadata,ORPHA:217622
HP:0001627,Abnormal heart morphology,LMNA,orphadata,ORPHA:740
HP:0001627,Abnormal heart morphology,LTBP1,orphadata,ORPHA:90349
HP:0001627,Abnormal heart morphology,STAT4,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,PEX5,orphadata,ORPHA:772
HP:0001627,Abnormal heart morphology,PLAGL1,orphadata,ORPHA:99886
HP:0001627,Abnormal heart morphology,FHL1,orphadata,ORPHA:98863
HP:0001627,Abnormal heart morphology,SMC1A,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,GLRX5,orphadata,ORPHA:401866
HP:0001627,Abnormal heart morphology,FTCD,orphadata,ORPHA:51208
HP:0001627,Abnormal heart morphology,DLL1,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,KANSL1,orphadata,ORPHA:363958
HP:0001627,Abnormal heart morphology,DNAH11,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,SLC25A22,orphadata,ORPHA:1934
HP:0001627,Abnormal heart morphology,TREX1,orphadata,ORPHA:51
HP:0001627,Abnormal heart morphology,NFIX,orphadata,ORPHA:447980
HP:0001627,Abnormal heart morphology,TRNQ,orphadata,ORPHA:550
HP:0001627,Abnormal heart morphology,FOXH1,orphadata,ORPHA:93926
HP:0001627,Abnormal heart morphology,TGIF1,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,IL12A-AS1,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,ELN,orphadata,ORPHA:90348
HP:0001627,Abnormal heart morphology,KCNJ11,orphadata,ORPHA:276580
HP:0001627,Abnormal heart morphology,RPL35A,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,RPS26,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,FLNA,orphadata,ORPHA:90652
HP:0001627,Abnormal heart morphology,PEX12,orphadata,ORPHA:912
HP:0001627,Abnormal heart morphology,TBX5,orphadata,ORPHA:392
HP:0001627,Abnormal heart morphology,MMP14,orphadata,ORPHA:371428
HP:0001627,Abnormal heart morphology,MYH11,orphadata,ORPHA:2241
HP:0001627,Abnormal heart morphology,RIT1,orphadata,ORPHA:648
HP:0001627,Abnormal heart morphology,TARS1,orphadata,ORPHA:33364
HP:0001627,Abnormal heart morphology,POLG2,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,TGIF1,orphadata,ORPHA:93924
HP:0001627,Abnormal heart morphology,PCSK9,orphadata,ORPHA:391665
HP:0001627,Abnormal heart morphology,ARID1B,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,RPS15A,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,ALG12,orphadata,ORPHA:79324
HP:0001627,Abnormal heart morphology,LDB3,orphadata,ORPHA:98912
HP:0001627,Abnormal heart morphology,TXNRD2,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,CDKL5,orphadata,ORPHA:1934
HP:0001627,Abnormal heart morphology,TMEM237,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,SLC25A20,orphadata,ORPHA:159
HP:0001627,Abnormal heart morphology,MLH1,orphadata,ORPHA:144
HP:0001627,Abnormal heart morphology,PEX10,orphadata,ORPHA:912
HP:0001627,Abnormal heart morphology,INPP5E,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,LONP1,orphadata,ORPHA:1458
HP:0001627,Abnormal heart morphology,DPF2,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,RPL15,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,NEDD4L,orphadata,ORPHA:98892
HP:0001627,Abnormal heart morphology,ADAT3,orphadata,ORPHA:363528
HP:0001627,Abnormal heart morphology,KAT6B,orphadata,ORPHA:85201
HP:0001627,Abnormal heart morphology,RAD21,orphadata,ORPHA:199
HP:0001627,Abnormal heart morphology,CHRM3,orphadata,ORPHA:2970
HP:0001627,Abnormal heart morphology,POMGNT1,orphadata,ORPHA:370959
HP:0001627,Abnormal heart morphology,PEX11B,orphadata,ORPHA:772
HP:0001627,Abnormal heart morphology,NDUFAF4,orphadata,ORPHA:2609
HP:0001627,Abnormal heart morphology,ELN,orphadata,ORPHA:91387
HP:0001627,Abnormal heart morphology,ADCY5,orphadata,ORPHA:324588
HP:0001627,Abnormal heart morphology,PRRX1,orphadata,ORPHA:990
HP:0001627,Abnormal heart morphology,TMEM70,orphadata,ORPHA:1194
HP:0001627,Abnormal heart morphology,TFAP2B,orphadata,ORPHA:46627
HP:0001627,Abnormal heart morphology,LMNA,orphadata,ORPHA:1662
HP:0001627,Abnormal heart morphology,CEP290,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,COL5A1,orphadata,ORPHA:287
HP:0001627,Abnormal heart morphology,HOXA13,orphadata,ORPHA:2438
HP:0001627,Abnormal heart morphology,HFE,orphadata,ORPHA:465508
HP:0001627,Abnormal heart morphology,NDUFS2,orphadata,ORPHA:70474
HP:0001627,Abnormal heart morphology,COL5A2,orphadata,ORPHA:287
HP:0001627,Abnormal heart morphology,RNASEH2C,orphadata,ORPHA:51
HP:0001627,Abnormal heart morphology,ACAD8,orphadata,ORPHA:79159
HP:0001627,Abnormal heart morphology,INSR,orphadata,ORPHA:769
HP:0001627,Abnormal heart morphology,RPS28,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,PRKCZ,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,UCP2,orphadata,ORPHA:276556
HP:0001627,Abnormal heart morphology,DCHS1,orphadata,ORPHA:314679
HP:0001627,Abnormal heart morphology,TBX3,orphadata,ORPHA:3138
HP:0001627,Abnormal heart morphology,HNRNPA2B1,orphadata,ORPHA:52430
HP:0001627,Abnormal heart morphology,FKTN,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,ZMPSTE24,orphadata,ORPHA:1662
HP:0001627,Abnormal heart morphology,CSPP1,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,RPS20,orphadata,ORPHA:440437
HP:0001627,Abnormal heart morphology,MRAS,orphadata,ORPHA:648
HP:0001627,Abnormal heart morphology,HNRNPU,orphadata,ORPHA:238769
HP:0001627,Abnormal heart morphology,LDLR,orphadata,ORPHA:391665
HP:0001627,Abnormal heart morphology,BUB1B,orphadata,ORPHA:1052
HP:0001627,Abnormal heart morphology,ZEB2,orphadata,ORPHA:261537
HP:0001627,Abnormal heart morphology,TRNS1,orphadata,ORPHA:550
HP:0001627,Abnormal heart morphology,NDUFS4,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,CFAP300,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,FGFR3,orphadata,ORPHA:93274
HP:0001627,Abnormal heart morphology,MYH11,orphadata,ORPHA:229
HP:0001627,Abnormal heart morphology,CACNA1A,orphadata,ORPHA:2131
HP:0001627,Abnormal heart morphology,RPS10,orphadata,ORPHA:124
HP:0001627,Abnormal heart morphology,WDR26,orphadata,ORPHA:513456
HP:0001627,Abnormal heart morphology,CDON,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,SLC25A4,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,COX2,orphadata,ORPHA:550
HP:0001627,Abnormal heart morphology,STAT1,orphadata,ORPHA:391487
HP:0001627,Abnormal heart morphology,AUTS2,orphadata,ORPHA:352490
HP:0001627,Abnormal heart morphology,PRDM16,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,POGZ,orphadata,ORPHA:468678
HP:0001627,Abnormal heart morphology,CHD7,orphadata,ORPHA:138
HP:0001627,Abnormal heart morphology,CEP120,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,NAGA,orphadata,ORPHA:79279
HP:0001627,Abnormal heart morphology,DES,orphadata,ORPHA:98909
HP:0001627,Abnormal heart morphology,SPTA1,orphadata,ORPHA:822
HP:0001627,Abnormal heart morphology,PIGN,orphadata,ORPHA:280633
HP:0001627,Abnormal heart morphology,JUP,orphadata,ORPHA:34217
HP:0001627,Abnormal heart morphology,DNAJC21,orphadata,ORPHA:811
HP:0001627,Abnormal heart morphology,GATA6,orphadata,ORPHA:2255
HP:0001627,Abnormal heart morphology,ACTA1,orphadata,ORPHA:2020
HP:0001627,Abnormal heart morphology,NDUFAF3,orphadata,ORPHA:70474
HP:0001627,Abnormal heart morphology,ZEB2,orphadata,ORPHA:261552
HP:0001627,Abnormal heart morphology,HADH,orphadata,ORPHA:71212
HP:0001627,Abnormal heart morphology,SMC1A,orphadata,ORPHA:199
HP:0001627,Abnormal heart morphology,NDUFS8,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,GPC3,orphadata,ORPHA:373
HP:0001627,Abnormal heart morphology,ASXL1,orphadata,ORPHA:97297
HP:0001627,Abnormal heart morphology,WDPCP,orphadata,ORPHA:1338
HP:0001627,Abnormal heart morphology,RERE,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,LMNA,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,ACADVL,orphadata,ORPHA:26793
HP:0001627,Abnormal heart morphology,RYR1,orphadata,ORPHA:169186
HP:0001627,Abnormal heart morphology,TLR4,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,TGFBR2,orphadata,ORPHA:144
HP:0001627,Abnormal heart morphology,PRDM5,orphadata,ORPHA:90354
HP:0001627,Abnormal heart morphology,NDUFB11,orphadata,ORPHA:2556
HP:0001627,Abnormal heart morphology,CDON,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,TPM3,orphadata,ORPHA:171881
HP:0001627,Abnormal heart morphology,GABRD,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,PKD2,orphadata,ORPHA:730
HP:0001627,Abnormal heart morphology,SRY,orphadata,ORPHA:1772
HP:0001627,Abnormal heart morphology,POLG,orphadata,ORPHA:254886
HP:0001627,Abnormal heart morphology,HSD17B10,orphadata,ORPHA:391428
HP:0001627,Abnormal heart morphology,KCNJ2,orphadata,ORPHA:37553
HP:0001627,Abnormal heart morphology,LMNA,orphadata,ORPHA:363618
HP:0001627,Abnormal heart morphology,TGIF1,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,TNNT2,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,FOXP1,orphadata,ORPHA:391372
HP:0001627,Abnormal heart morphology,ABHD5,orphadata,ORPHA:98907
HP:0001627,Abnormal heart morphology,SIK1,orphadata,ORPHA:1934
HP:0001627,Abnormal heart morphology,FOXH1,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,RASA1,orphadata,ORPHA:137667
HP:0001627,Abnormal heart morphology,AIP,orphadata,ORPHA:963
HP:0001627,Abnormal heart morphology,BRAF,orphadata,ORPHA:500
HP:0001627,Abnormal heart morphology,SIX3,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,SCO2,orphadata,ORPHA:70474
HP:0001627,Abnormal heart morphology,SIX3,orphadata,ORPHA:93924
HP:0001627,Abnormal heart morphology,NKX2-5,orphadata,ORPHA:402075
HP:0001627,Abnormal heart morphology,ODAD3,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,EPCAM,orphadata,ORPHA:144
HP:0001627,Abnormal heart morphology,TCTN2,orphadata,ORPHA:564
