Chemical	Chemical_URI	Relationship	Relationship_URI	Gene	Gene_URI
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		FAM169A	http://identifiers.org/hgnc.symbol/FAM169A
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		PCYOX1	http://identifiers.org/hgnc.symbol/PCYOX1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		BANK1	http://identifiers.org/hgnc.symbol/BANK1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		NPIPB3	http://identifiers.org/hgnc.symbol/NPIPB3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TRAPPC3	http://identifiers.org/hgnc.symbol/TRAPPC3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		AKR1C2	http://identifiers.org/hgnc.symbol/AKR1C2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		NPY1R	http://identifiers.org/hgnc.symbol/NPY1R
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		FBN2	http://identifiers.org/hgnc.symbol/FBN2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		SFN	http://identifiers.org/hgnc.symbol/SFN
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		PDZD2	http://identifiers.org/hgnc.symbol/PDZD2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		PITX1	http://identifiers.org/hgnc.symbol/PITX1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TNFSF10	http://identifiers.org/hgnc.symbol/TNFSF10
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		HDGFL3	http://identifiers.org/hgnc.symbol/HDGFL3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		FKBP14	http://identifiers.org/hgnc.symbol/FKBP14
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		BEX1	http://identifiers.org/hgnc.symbol/BEX1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		PLAC8	http://identifiers.org/hgnc.symbol/PLAC8
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SYNM	http://identifiers.org/hgnc.symbol/SYNM
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		EIF4G1	http://identifiers.org/hgnc.symbol/EIF4G1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		MYBPC1	http://identifiers.org/hgnc.symbol/MYBPC1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ACTB	http://identifiers.org/hgnc.symbol/ACTB
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ZNF589	http://identifiers.org/hgnc.symbol/ZNF589
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		PDGFRL	http://identifiers.org/hgnc.symbol/PDGFRL
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		APOB	http://identifiers.org/hgnc.symbol/APOB
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		MX2	http://identifiers.org/hgnc.symbol/MX2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SUPV3L1	http://identifiers.org/hgnc.symbol/SUPV3L1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		LYZ	http://identifiers.org/hgnc.symbol/LYZ
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		PGC	http://identifiers.org/hgnc.symbol/PGC
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		KLK11	http://identifiers.org/hgnc.symbol/KLK11
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ANGPT1	http://identifiers.org/hgnc.symbol/ANGPT1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		CLGN	http://identifiers.org/hgnc.symbol/CLGN
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		NEFH	http://identifiers.org/hgnc.symbol/NEFH
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ATF3	http://identifiers.org/hgnc.symbol/ATF3
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		AFP	http://identifiers.org/hgnc.symbol/AFP
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		DPYSL3	http://identifiers.org/hgnc.symbol/DPYSL3
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		CSRP1	http://identifiers.org/hgnc.symbol/CSRP1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		COL1A2	http://identifiers.org/hgnc.symbol/COL1A2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ACTG2	http://identifiers.org/hgnc.symbol/ACTG2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		TF	http://identifiers.org/hgnc.symbol/TF
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		IGF2BP3	http://identifiers.org/hgnc.symbol/IGF2BP3
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		GPC3	http://identifiers.org/hgnc.symbol/GPC3
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		MYRF	http://identifiers.org/hgnc.symbol/MYRF
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SERPINB5	http://identifiers.org/hgnc.symbol/SERPINB5
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		PIP	http://identifiers.org/hgnc.symbol/PIP
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		CFD	http://identifiers.org/hgnc.symbol/CFD
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		TFF1	http://identifiers.org/hgnc.symbol/TFF1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		DHRS2	http://identifiers.org/hgnc.symbol/DHRS2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SOX9	http://identifiers.org/hgnc.symbol/SOX9
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		TM4SF1	http://identifiers.org/hgnc.symbol/TM4SF1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		GPX2	http://identifiers.org/hgnc.symbol/GPX2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		HYOU1	http://identifiers.org/hgnc.symbol/HYOU1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		LGALS3BP	http://identifiers.org/hgnc.symbol/LGALS3BP
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		VNN1	http://identifiers.org/hgnc.symbol/VNN1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ANPEP	http://identifiers.org/hgnc.symbol/ANPEP
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		KRT15	http://identifiers.org/hgnc.symbol/KRT15
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		ALCAM	http://identifiers.org/hgnc.symbol/ALCAM
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		RTN2	http://identifiers.org/hgnc.symbol/RTN2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		CCDC86	http://identifiers.org/hgnc.symbol/CCDC86
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SLC7A11	http://identifiers.org/hgnc.symbol/SLC7A11
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		TSPAN8	http://identifiers.org/hgnc.symbol/TSPAN8
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		TFF2	http://identifiers.org/hgnc.symbol/TFF2
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		AKR1C3	http://identifiers.org/hgnc.symbol/AKR1C3
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		AZGP1	http://identifiers.org/hgnc.symbol/AZGP1
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		SRC	http://identifiers.org/hgnc.symbol/SRC
ketoprofen	https://identifiers.org/lincs.smallmolecule:LSM-1955	upregulates		CHAC1	http://identifiers.org/hgnc.symbol/CHAC1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		MT1X	http://identifiers.org/hgnc.symbol/MT1X
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SERPINA3	http://identifiers.org/hgnc.symbol/SERPINA3
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		NR2F1	http://identifiers.org/hgnc.symbol/NR2F1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		LY6D	http://identifiers.org/hgnc.symbol/LY6D
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		NR3C1	http://identifiers.org/hgnc.symbol/NR3C1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		PTK2B	http://identifiers.org/hgnc.symbol/PTK2B
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		ELN	http://identifiers.org/hgnc.symbol/ELN
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		ACKR1	http://identifiers.org/hgnc.symbol/ACKR1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		GFAP	http://identifiers.org/hgnc.symbol/GFAP
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		A2M	http://identifiers.org/hgnc.symbol/A2M
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		HLA-DRA	http://identifiers.org/hgnc.symbol/HLA-DRA
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		CD74	http://identifiers.org/hgnc.symbol/CD74
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT19	http://identifiers.org/hgnc.symbol/KRT19
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		NTRK2	http://identifiers.org/hgnc.symbol/NTRK2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		C3	http://identifiers.org/hgnc.symbol/C3
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		GSN	http://identifiers.org/hgnc.symbol/GSN
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SPARCL1	http://identifiers.org/hgnc.symbol/SPARCL1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SERPINE2	http://identifiers.org/hgnc.symbol/SERPINE2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		IGFBP4	http://identifiers.org/hgnc.symbol/IGFBP4
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		CRIP1	http://identifiers.org/hgnc.symbol/CRIP1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT17	http://identifiers.org/hgnc.symbol/KRT17
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		PTN	http://identifiers.org/hgnc.symbol/PTN
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		GPM6B	http://identifiers.org/hgnc.symbol/GPM6B
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT6B	http://identifiers.org/hgnc.symbol/KRT6B
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		DFFB	http://identifiers.org/hgnc.symbol/DFFB
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		FGFR3	http://identifiers.org/hgnc.symbol/FGFR3
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		MT1M	http://identifiers.org/hgnc.symbol/MT1M
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SORBS1	http://identifiers.org/hgnc.symbol/SORBS1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT7	http://identifiers.org/hgnc.symbol/KRT7
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SPINK1	http://identifiers.org/hgnc.symbol/SPINK1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		TSPAN7	http://identifiers.org/hgnc.symbol/TSPAN7
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		DHRS2	http://identifiers.org/hgnc.symbol/DHRS2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		POLG2	http://identifiers.org/hgnc.symbol/POLG2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		CRYAB	http://identifiers.org/hgnc.symbol/CRYAB
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		HLA-DQB1	http://identifiers.org/hgnc.symbol/HLA-DQB1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT6A	http://identifiers.org/hgnc.symbol/KRT6A
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		HLA-DPB1	http://identifiers.org/hgnc.symbol/HLA-DPB1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		NFKB2	http://identifiers.org/hgnc.symbol/NFKB2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		ADO	http://identifiers.org/hgnc.symbol/ADO
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		IL1B	http://identifiers.org/hgnc.symbol/IL1B
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		AGT	http://identifiers.org/hgnc.symbol/AGT
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		ID1	http://identifiers.org/hgnc.symbol/ID1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		SCRG1	http://identifiers.org/hgnc.symbol/SCRG1
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		CLU	http://identifiers.org/hgnc.symbol/CLU
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT5	http://identifiers.org/hgnc.symbol/KRT5
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		KRT13	http://identifiers.org/hgnc.symbol/KRT13
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		ADIRF	http://identifiers.org/hgnc.symbol/ADIRF
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		AQP3	http://identifiers.org/hgnc.symbol/AQP3
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		TGFBR2	http://identifiers.org/hgnc.symbol/TGFBR2
flutamide	https://identifiers.org/lincs.smallmolecule:LSM-2621	upregulates		MYLK	http://identifiers.org/hgnc.symbol/MYLK
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PRSS3	http://identifiers.org/hgnc.symbol/PRSS3
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		RFTN1	http://identifiers.org/hgnc.symbol/RFTN1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		AKR1C2	http://identifiers.org/hgnc.symbol/AKR1C2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PNMA1	http://identifiers.org/hgnc.symbol/PNMA1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SLC15A2	http://identifiers.org/hgnc.symbol/SLC15A2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		TGFB1I1	http://identifiers.org/hgnc.symbol/TGFB1I1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		HSD17B6	http://identifiers.org/hgnc.symbol/HSD17B6
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		EMX2	http://identifiers.org/hgnc.symbol/EMX2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		MAL	http://identifiers.org/hgnc.symbol/MAL
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		STMN2	http://identifiers.org/hgnc.symbol/STMN2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		ERBB2	http://identifiers.org/hgnc.symbol/ERBB2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		RAB11FIP2	http://identifiers.org/hgnc.symbol/RAB11FIP2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		EIF1AY	http://identifiers.org/hgnc.symbol/EIF1AY
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		KRT5	http://identifiers.org/hgnc.symbol/KRT5
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		DUSP6	http://identifiers.org/hgnc.symbol/DUSP6
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SMTN	http://identifiers.org/hgnc.symbol/SMTN
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		COQ8A	http://identifiers.org/hgnc.symbol/COQ8A
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		ZNF185	http://identifiers.org/hgnc.symbol/ZNF185
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PFN2	http://identifiers.org/hgnc.symbol/PFN2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PHKG2	http://identifiers.org/hgnc.symbol/PHKG2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		CCP110	http://identifiers.org/hgnc.symbol/CCP110
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		BTK	http://identifiers.org/hgnc.symbol/BTK
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PDGFA	http://identifiers.org/hgnc.symbol/PDGFA
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		GGH	http://identifiers.org/hgnc.symbol/GGH
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		NR2F2	http://identifiers.org/hgnc.symbol/NR2F2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		OLFM4	http://identifiers.org/hgnc.symbol/OLFM4
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SST	http://identifiers.org/hgnc.symbol/SST
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PLAC8	http://identifiers.org/hgnc.symbol/PLAC8
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		TMEM158	http://identifiers.org/hgnc.symbol/TMEM158
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		BEX4	http://identifiers.org/hgnc.symbol/BEX4
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		NETO2	http://identifiers.org/hgnc.symbol/NETO2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		PDLIM7	http://identifiers.org/hgnc.symbol/PDLIM7
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		DHRS2	http://identifiers.org/hgnc.symbol/DHRS2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SMAD1	http://identifiers.org/hgnc.symbol/SMAD1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		KDM5D	http://identifiers.org/hgnc.symbol/KDM5D
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		NR2F1	http://identifiers.org/hgnc.symbol/NR2F1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		GNAS	http://identifiers.org/hgnc.symbol/GNAS
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		CYTL1	http://identifiers.org/hgnc.symbol/CYTL1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		MEIS1	http://identifiers.org/hgnc.symbol/MEIS1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SFN	http://identifiers.org/hgnc.symbol/SFN
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		KRT6A	http://identifiers.org/hgnc.symbol/KRT6A
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		ECM1	http://identifiers.org/hgnc.symbol/ECM1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		ALDH5A1	http://identifiers.org/hgnc.symbol/ALDH5A1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		UBQLN2	http://identifiers.org/hgnc.symbol/UBQLN2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		MAOB	http://identifiers.org/hgnc.symbol/MAOB
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SLC2A10	http://identifiers.org/hgnc.symbol/SLC2A10
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		SERPINB2	http://identifiers.org/hgnc.symbol/SERPINB2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		ZEB1	http://identifiers.org/hgnc.symbol/ZEB1
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		S100A2	http://identifiers.org/hgnc.symbol/S100A2
cytarabine	https://identifiers.org/lincs.smallmolecule:LSM-5470	upregulates		VPS28	http://identifiers.org/hgnc.symbol/VPS28
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		KCTD12	http://identifiers.org/hgnc.symbol/KCTD12
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		TGFBR3	http://identifiers.org/hgnc.symbol/TGFBR3
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		APLP2	http://identifiers.org/hgnc.symbol/APLP2
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		INPP5A	http://identifiers.org/hgnc.symbol/INPP5A
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		HSP90AA1	http://identifiers.org/hgnc.symbol/HSP90AA1
quinidine	https://identifiers.org/lincs.smallmolecule:LSM-5109	upregulates		ZDHHC11	http://identifiers.org/hgnc.symbol/ZDHHC11
