HPO Accession,HPO Term,Gene Symbol
HP:0001700,Myocardial necrosis,LAMP2
HP:0001655,Patent foramen ovale,GATA6
HP:0001655,Patent foramen ovale,COL11A1
HP:0001655,Patent foramen ovale,TBX20
HP:0001655,Patent foramen ovale,PHGDH
HP:0001655,Patent foramen ovale,PSPH
HP:0001698,Pericardial effusion,PTPN14
HP:0001698,Pericardial effusion,ABCC9
HP:0001698,Pericardial effusion,PMM2
HP:0001698,Pericardial effusion,CCBE1
HP:0001698,Pericardial effusion,LMNA
HP:0001698,Pericardial effusion,KCNJ8
HP:0005183,Pericardial lymphangiectasia,CCBE1
HP:0011682,Perimembranous ventricular septal defect,GATA6
HP:0011682,Perimembranous ventricular septal defect,ATRX
HP:0004969,peripheral pulmonary stenosis,IFT43
HP:0004969,peripheral pulmonary stenosis,PIGL
HP:0004969,peripheral pulmonary stenosis,MGP
HP:0005148,Pulmonary valve defects,KIF7
HP:0001723,Restrictive cardiomyopathy,ABCC6
HP:0001684,Secundum atrial septal defect,NKX2-5
HP:0001684,Secundum atrial septal defect,NF1
HP:0001684,Secundum atrial septal defect,BBS2
HP:0001750,Single ventricle,STRA6
HP:0001750,Single ventricle,NSDHL
HP:0001696,Situs inversus totalis,PRRX1
HP:0001696,Situs inversus totalis,DNAAF11
HP:0001696,Situs inversus totalis,DNAAF3
HP:0001696,Situs inversus totalis,UBR1
HP:0001696,Situs inversus totalis,ODAD1
HP:0001696,Situs inversus totalis,DNAAF5
HP:0001696,Situs inversus totalis,CCDC103
HP:0001696,Situs inversus totalis,PQBP1
HP:0001696,Situs inversus totalis,DRC1
HP:0001696,Situs inversus totalis,MMP21
HP:0001696,Situs inversus totalis,PKD1L1
HP:0001696,Situs inversus totalis,ODAD4
HP:0001696,Situs inversus totalis,DNAH5
HP:0001696,Situs inversus totalis,PRRX1
HP:0001682,Subvalvular aortic stenosis,NKX2-5
HP:0001682,Subvalvular aortic stenosis,PTPN11
HP:0001682,Subvalvular aortic stenosis,CEP57
HP:0001682,Subvalvular aortic stenosis,DDX58
HP:0001682,Subvalvular aortic stenosis,HDAC4
HP:0001682,Subvalvular aortic stenosis,IFIH1
HP:0001636,Tetralogy of Fallot,SALL1
HP:0001636,Tetralogy of Fallot,NKX2-5
HP:0001636,Tetralogy of Fallot,TBX1
HP:0001636,Tetralogy of Fallot,SMARCE1
HP:0001636,Tetralogy of Fallot,STRA6
HP:0001636,Tetralogy of Fallot,ARHGAP31
HP:0001636,Tetralogy of Fallot,SMARCA4
HP:0001636,Tetralogy of Fallot,ALX1
HP:0001636,Tetralogy of Fallot,PIGL
HP:0001636,Tetralogy of Fallot,ZFPM2
HP:0001636,Tetralogy of Fallot,NKX2-5
HP:0001636,Tetralogy of Fallot,RNU4ATAC
HP:0001636,Tetralogy of Fallot,GATA6
HP:0001636,Tetralogy of Fallot,ARID1A
HP:0001636,Tetralogy of Fallot,SMARCA2
HP:0001636,Tetralogy of Fallot,COX7B
HP:0001636,Tetralogy of Fallot,ALX3
HP:0001636,Tetralogy of Fallot,TTC37
HP:0001636,Tetralogy of Fallot,RBM8A
HP:0001636,Tetralogy of Fallot,GDF1
HP:0001636,Tetralogy of Fallot,HIBCH
HP:0001636,Tetralogy of Fallot,FOXC2
HP:0001636,Tetralogy of Fallot,RAB23
HP:0001636,Tetralogy of Fallot,SF3B4
HP:0001636,Tetralogy of Fallot,CHD7
HP:0001636,Tetralogy of Fallot,MEGF8
HP:0001636,Tetralogy of Fallot,FIG4
HP:0001636,Tetralogy of Fallot,PQBP1
HP:0001636,Tetralogy of Fallot,SMARCB1
HP:0001636,Tetralogy of Fallot,DDX11
HP:0001669,Transposition of the great arteries,MED13L
HP:0001669,Transposition of the great arteries,PIGL
HP:0001669,Transposition of the great arteries,GATA6
HP:0001669,Transposition of the great arteries,GDF1
HP:0001669,Transposition of the great arteries,PHGDH
HP:0001669,Transposition of the great arteries,PSPH
HP:0001669,Transposition of the great arteries,RAB23
HP:0001669,Transposition of the great arteries,FKTN
HP:0001669,Transposition of the great arteries,MEGF8
HP:0001669,Transposition of the great arteries,GPC3
HP:0001704,Tricuspid valve prolapse,FLNA
HP:0001704,Tricuspid valve prolapse,FBN1
HP:0001704,Tricuspid valve prolapse,FBN1
HP:0001714,Ventricular hypertrophy,CHST3
HP:0001714,Ventricular hypertrophy,SLC2A10
HP:0001714,Ventricular hypertrophy,AGL
HP:0001714,Ventricular hypertrophy,SLC25A20
HP:0001714,Ventricular hypertrophy,COX7B
HP:0001629,Ventricular septal defect,CHST3
HP:0001629,Ventricular septal defect,HRAS
HP:0001629,Ventricular septal defect,TBX3
HP:0001629,Ventricular septal defect,AMER1
HP:0001629,Ventricular septal defect,SALL1
HP:0001629,Ventricular septal defect,FTO
HP:0001629,Ventricular septal defect,NKX2-5
HP:0001629,Ventricular septal defect,TBX1
HP:0001629,Ventricular septal defect,SMARCE1
HP:0001629,Ventricular septal defect,B3GALT6
HP:0001629,Ventricular septal defect,BCOR
HP:0001629,Ventricular septal defect,ADAMTS18
HP:0001629,Ventricular septal defect,FLNB
HP:0001629,Ventricular septal defect,STRA6
HP:0001629,Ventricular septal defect,HCCS
HP:0001629,Ventricular septal defect,PEX16
HP:0001629,Ventricular septal defect,ARHGAP31
HP:0001629,Ventricular septal defect,FGFR2
HP:0001629,Ventricular septal defect,MGAT2
HP:0001629,Ventricular septal defect,ZEB2
HP:0001629,Ventricular septal defect,SMARCA4
HP:0001629,Ventricular septal defect,PIGL
HP:0001629,Ventricular septal defect,HRAS
HP:0001629,Ventricular septal defect,GATA4
HP:0001629,Ventricular septal defect,PEX26
HP:0001629,Ventricular septal defect,HYLS1
HP:0001629,Ventricular septal defect,UMPS
HP:0001629,Ventricular septal defect,PEX19
HP:0001629,Ventricular septal defect,ROR2
HP:0001629,Ventricular septal defect,FBN2
HP:0001629,Ventricular septal defect,LRP2
HP:0001629,Ventricular septal defect,CCBE1
HP:0001629,Ventricular septal defect,SHANK3
HP:0001629,Ventricular septal defect,TBX5
HP:0001629,Ventricular septal defect,PEX3
HP:0001629,Ventricular septal defect,KMT2D
HP:0001629,Ventricular septal defect,UBR1
HP:0001629,Ventricular septal defect,ARID1A
HP:0001629,Ventricular septal defect,CD96
HP:0001629,Ventricular septal defect,TP63
HP:0001629,Ventricular septal defect,PIK3R2
HP:0001629,Ventricular septal defect,NAA10
HP:0001629,Ventricular septal defect,KRAS
HP:0001629,Ventricular septal defect,PEX12
HP:0001629,Ventricular septal defect,NIPBL
HP:0001629,Ventricular septal defect,SMARCA2
HP:0001629,Ventricular septal defect,PEX6
HP:0001629,Ventricular septal defect,TTC7A
HP:0001629,Ventricular septal defect,MED12
HP:0001629,Ventricular septal defect,CEP290
HP:0001629,Ventricular septal defect,PTPN11
HP:0001629,Ventricular septal defect,CEP57
HP:0001629,Ventricular septal defect,CKAP2L
HP:0001629,Ventricular septal defect,PEX14
HP:0001629,Ventricular septal defect,PEX2
HP:0001629,Ventricular septal defect,KANSL1
HP:0001629,Ventricular septal defect,SOS1
HP:0001629,Ventricular septal defect,AKT3
HP:0001629,Ventricular septal defect,CCND2
HP:0001629,Ventricular septal defect,TTC37
HP:0001629,Ventricular septal defect,SOX2
HP:0001629,Ventricular septal defect,ERBB3
HP:0001629,Ventricular septal defect,PIK3CA
HP:0001629,Ventricular septal defect,ESCO2
HP:0001629,Ventricular septal defect,RBM8A
HP:0001629,Ventricular septal defect,EFTUD2
HP:0001629,Ventricular septal defect,PHGDH
HP:0001629,Ventricular septal defect,FOXC2
HP:0001629,Ventricular septal defect,PSPH
HP:0001629,Ventricular septal defect,PEX10
HP:0001629,Ventricular septal defect,GLI3
HP:0001629,Ventricular septal defect,RAB23
HP:0001629,Ventricular septal defect,MGP
HP:0001629,Ventricular septal defect,CHD7
HP:0001629,Ventricular septal defect,DHCR7
HP:0001629,Ventricular septal defect,PEX5
HP:0001629,Ventricular septal defect,MEGF8
HP:0001629,Ventricular septal defect,FIG4
HP:0001629,Ventricular septal defect,PQBP1
HP:0001629,Ventricular septal defect,GPC6
HP:0001629,Ventricular septal defect,TXNL4A
HP:0001629,Ventricular septal defect,SMARCB1
HP:0001629,Ventricular septal defect,PALB2
HP:0001629,Ventricular septal defect,LRP5
HP:0001629,Ventricular septal defect,FBN1
HP:0001629,Ventricular septal defect,NSD1
HP:0001629,Ventricular septal defect,VIPAS39
HP:0001629,Ventricular septal defect,DDX11
HP:0001629,Ventricular septal defect,KAT6B
HP:0001629,Ventricular septal defect,ASXL1
HP:0001629,Ventricular septal defect,CREBBP
HP:0001629,Ventricular septal defect,GPC3
HP:0001629,Ventricular septal defect,SHOC2
HP:0001629,Ventricular septal defect,TMEM260
HP:0001629,Ventricular septal defect,ABL1
HP:0001629,Ventricular septal defect,COLEC10
HP:0001629,Ventricular septal defect,TRAF7
HP:0001629,Ventricular septal defect,HNRNPK
HP:0001629,Ventricular septal defect,MYOCD
HP:0001629,Ventricular septal defect,MYRF
HP:0005144,Ventricular septal hypertrophy,SYNE1
