HPO Accession,HPO Term,Gene Symbol
HP:0001631,Atrial septal defect,RBPJ
HP:0001631,Atrial septal defect,ESC02
HP:0001631,Atrial septal defect,NRAS
HP:0001636,Tetralogy of Fallot,CHD7
HP:0001636,Tetralogy of Fallot,SOS 2
HP:0001636,Tetralogy of Fallot,NOTCH2
HP:0001636,Tetralogy of Fallot,BRAF
HP:0001636,Tetralogy of Fallot,RECQL4
HP:0001636,Tetralogy of Fallot,SHOC2
HP:0001636,Tetralogy of Fallot,KRAS
HP:0001636,Tetralogy of Fallot,RIT1
HP:0001636,Tetralogy of Fallot,KDM6A
HP:0001636,Tetralogy of Fallot,NRAS
HP:0001636,Tetralogy of Fallot,KMT2D
HP:0001636,Tetralogy of Fallot,NHS
HP:0001636,Tetralogy of Fallot,SOS 1
HP:0001636,Tetralogy of Fallot,RAB23
HP:0001636,Tetralogy of Fallot,JAG1
HP:0001636,Tetralogy of Fallot,PTPN11
HP:0001636,Tetralogy of Fallot,SALL1
HP:0001636,Tetralogy of Fallot,RAF1
HP:0001647,Bicuspid aortic valve,KMT2D
HP:0001647,Bicuspid aortic valve,EP300
HP:0001647,Bicuspid aortic valve,KDM6A
HP:0001647,Bicuspid aortic valve,CBP
HP:0001647,Bicuspid aortic valve,ABCC9
HP:0001651,Dextrocardia,SMARCA4
HP:0001651,Dextrocardia,ARID1B
HP:0001651,Dextrocardia,SMARCE1
HP:0001651,Dextrocardia,SMARCB1
HP:0001651,Dextrocardia,ARID1A
HP:0001651,Dextrocardia,SMARCB1
HP:0001719,Double outlet right ventricle,CHD7
HP:0001719,Double outlet right ventricle,DOCK6
HP:0001719,Double outlet right ventricle,EOGT
HP:0001719,Double outlet right ventricle,NOTCH1
HP:0001719,Double outlet right ventricle,RBPJ
HP:0001719,Double outlet right ventricle,DLL4
HP:0001719,Double outlet right ventricle,ARHGAP31
HP:0004383,Hypoplastic left heart,CDKNIC
HP:0004383,Hypoplastic left heart,ARHGAP31
HP:0004383,Hypoplastic left heart,CBP
HP:0004383,Hypoplastic left heart,DLL4
HP:0004383,Hypoplastic left heart,EP300
HP:0004383,Hypoplastic left heart,DOCK6
HP:0004383,Hypoplastic left heart,KMT2D
HP:0004383,Hypoplastic left heart,DHCR7
HP:0004383,Hypoplastic left heart,EOGT
HP:0004383,Hypoplastic left heart,KDM6A
HP:0004383,Hypoplastic left heart,NOTCH1
HP:0004383,Hypoplastic left heart,RBPJ
