Gene Symbol,pHI
AKT3,0.99262
FLI1,0.99331
MAZ,0.79068
DCAF15,0.82966
PPP3R1,0.76672
SET,0.77029
UPF2,0.99325
LMNA,0.96317
CANX,0.97737
ZNF644,0.99324
DENND4A,0.99323
SCAI,0.97338
AGO3,0.95688
COL1A1,0.99259
WAC,0.99319
SART1,0.81684
NFAT5,0.99316
RANBP9,0.99316
EIF3A,0.99311
SIK3,0.9931
LARP1,0.99309
NAV1,0.99309
TNPO1,0.99308
NUMBL,0.83592
SMCHD1,0.99307
CCDC88A,0.99306
HIVEP1,0.99305
NR3C1,0.99305
KDM3B,0.99193
NRP1,0.99302
EXT1,0.99302
DOPEY1,0.99302
DLG5,0.99302
OPA1,0.99301
TNRC6A,0.99301
DPF2,0.79722
INTS3,0.92707
CBX5,0.90388
PACSIN1,0.70574
ASH1L,0.99298
FURIN,0.96199
SF3A3,0.95152
SYMPK,0.83248
CTIF,0.9929
RFX3,0.99288
PPP1R12A,0.99288
ZMYND8,0.99288
NUTF2,0.69287
KAT8,0.5061
CELF4,0.9764
EIF4A2,0.99282
ACTR1A,0.92204
RPL17,0.99279
EP400,0.99277
PPP1CA,0.92644
RHOA,0.61239
U2SURP,0.99275
ATP2C1,0.99275
HMGCR,0.98813
HSP90B1,0.99272
SATB2,0.99269
COPS2,0.99197
GCK,0.46227
LAMA5,0.50799
PROX1,0.99267
MYT1L,0.99265
PPP2R2A,0.99265
ZMIZ1,0.99264
FBXW11,0.98637
NLGN2,0.96095
ETV5,0.99263
QSER1,0.99262
BAZ1B,0.99261
COL3A1,0.99261
RAB14,0.98129
FBXL20,0.92674
R3HDM2,0.96627
ZBTB38,0.9925
MATR3,0.9925
GDF11,0.61561
RND3,0.99248
FAT4,0.99247
PTPN12,0.99247
UBAP2L,0.94476
FBXW7,0.99005
CHRD,0.4523
CMIP,0.99245
HIPK1,0.99244
ZFC3H1,0.99244
ZEB1,0.99241
CTDNEP1,0.85958
SON,0.9924
MORC3,0.99239
FOXO1,0.99238
TIAL1,0.99234
USP48,0.9773
HDAC2,0.99229
PPARGC1A,0.99228
BOD1L1,0.99227
FRMD4A,0.99227
RFX7,0.99226
CPEB4,0.99226
DACH1,0.99225
TIPARP,0.99225
NUP153,0.99224
ZMYND19,0.53426
RREB1,0.99222
USP19,0.84596
DLG2,0.96254
SETDB1,0.87371
PNISR,0.99214
DPYSL2,0.99213
SSBP3,0.93784
MRC2,0.99208
RASA1,0.99207
CEP350,0.99204
TAOK1,0.98064
EDF1,0.66065
COL5A2,0.99201
GATAD2B,0.96082
KCNMA1,0.992
PPP1R9B,0.91808
UBQLN4,0.79674
TFAP2A,0.99195
ZNF236,0.99195
SLC12A2,0.99194
LAMC1,0.99194
PCLO,0.99194
ARL8A,0.7731
TGFB3,0.97924
SIPA1L2,0.99189
LARP4B,0.99187
CACNA2D2,0.95902
PTK2,0.99185
MEGF8,0.93181
PSME4,0.99185
HDAC7,0.81686
PPP2R4,0.82025
CLASP2,0.99178
ATP13A1,0.92581
PDGFRA,0.99176
ATRN,0.99175
PTPRS,0.99173
RALGAPA1,0.99171
HNRNPA2B1,0.9917
NFIX,0.97618
RAD23B,0.99166
NUP205,0.99165
WHSC1L1,0.99146
ITGB1,0.99165
CPSF4,0.48983
BAI2,0.98857
ARNTL,0.99163
PPM1G,0.96546
NEDD4L,0.9916
SLTM,0.99159
RBFOX2,0.99157
BAZ1A,0.99157
SETBP1,0.99157
ACTL6A,0.97647
FASTK,0.35391
IMPDH2,0.47094
FBXL16,0.79422
SOX6,0.99153
KANSL1,0.99152
RUVBL2,0.88505
GREB1L,0.98981
ELMSAN1,0.97397
EIF4G3,0.99144
SCAF11,0.99143
DNAJC13,0.99143
SOS1,0.99143
PCBP2,0.8992
NCBP1,0.95746
SLC2A1,0.93241
ANKRD28,0.99139
PIK3CD,0.94786
UBE2K,0.90995
SMARCD3,0.63937
MAP2K1,0.96915
CELSR1,0.99131
SNRNP70,0.8492
PSMA1,0.99044
DMXL1,0.9913
E2F3,0.99128
MAG,0.58157
KMT2D,0.98255
ANKRD13B,0.81402
TRRAP,0.99124
DENND5B,0.99123
SUCO,0.99122
RAD21,0.99122
KIAA0368,0.9912
GAPVD1,0.99118
SOX5,0.99115
ARID4A,0.99115
CUL3,0.99113
FGFR2,0.99113
PTPRA,0.98859
KDM4B,0.97539
PTPRM,0.9911
PAPOLA,0.9911
DLL1,0.99108
PRDM2,0.99106
FAM171A2,0.75015
USP32,0.99104
AEBP2,0.99104
USF2,0.68106
FBN2,0.99103
FERMT2,0.99102
PHLPP1,0.99101
ZMYND11,0.99099
COPS5,0.95363
TRIM2,0.99096
SHANK3,0.99095
CSTF3,0.9706
RRM1,0.99094
ARGLU1,0.99094
C2CD2L,0.92626
COL1A2,0.99091
RLF,0.9909
RPL18,0.96965
PSMD2,0.9749
FYN,0.99084
CYLD,0.99083
TENM3,0.99083
SETD2,0.99082
RALGPS1,0.96989
COPB1,0.9908
PLEC,0.39376
EIF4E2,0.80582
ARFGEF2,0.99076
DPP9,0.91464
WAPAL,0.99074
HIF1A,0.99073
UBE4B,0.99073
GPS1,0.89125
CNNM2,0.89987
GATA3,0.99068
RASGRF1,0.9696
NCOR2,0.99066
UBP1,0.98016
ATP9A,0.99061
MYO5A,0.99058
TIAM1,0.97997
KIAA1468,0.99054
MGA,0.99054
EEF2,0.99053
DCAF5,0.99051
ADAMTS6,0.99049
CUX1,0.99048
IGF2BP3,0.99046
MCL1,0.99044
THOC1,0.99042
PHF21A,0.99042
MAP3K7,0.99042
ANO8,0.8929
LPHN3,0.99039
SMAD3,0.95788
MYO18A,0.96771
SH3PXD2A,0.99038
PPAP2B,0.99034
TUBG1,0.45295
PICALM,0.99026
RAE1,0.9438
DCTN2,0.94681
MLLT3,0.99021
ETV1,0.99015
SRSF7,0.99014
TENM2,0.99014
DDX5,0.99014
PREX1,0.99013
SMARCB1,0.94807
CERS2,0.33119
FAM46A,0.99006
RPTOR,0.99006
EEF1A2,0.94304
APC,0.99005
EIF5B,0.98137
PC,0.57016
RNF40,0.80443
MAP3K4,0.99001
CLIP3,0.51851
YY1,0.98998
ATP6V0C,0.44641
PABPC1,0.98997
ITSN1,0.98994
CACNG7,0.68327
ELAVL1,0.89437
PDE10A,0.98989
EIF4A1,0.98989
GRIA2,0.98074
MARCH6,0.98984
SF3A2,0.83981
GNB2L1,0.98265
TULP4,0.9898
BHLHE40,0.98979
TEK,0.98975
PTPRF,0.98975
GTF3C1,0.9897
PRKD2,0.7827
LRRC7,0.98968
PUM2,0.98968
TAF3,0.98967
MEMO1,0.94674
PRPF4,0.89203
HNRNPR,0.98964
ATAD2,0.98964
CIT,0.9896
UBR2,0.98307
RBM27,0.98959
CIC,0.95938
MMP2,0.98956
KPNA1,0.93177
STAT1,0.94549
PHF20L1,0.98955
RAPGEF1,0.98953
KIAA0232,0.98953
DOCK2,0.98722
KIF1B,0.98948
NPM1,0.98947
ENAH,0.98947
STT3B,0.98945
KLC2,0.64422
PI4K2A,0.9235
TM9SF2,0.98942
TRAF7,0.43232
ZC3H12C,0.9894
JAKMIP2,0.98939
GRIN2B,0.98938
RUNX2,0.98937
MYO9B,0.96044
RHOC,0.60181
ROCK2,0.98936
CUL2,0.98936
SLIT3,0.98935
ZC3H7B,0.98297
SBNO1,0.98932
ATAD2B,0.98932
MKL2,0.98931
SMARCAD1,0.98931
E2F4,0.58989
TNNI3,0.38769
AFF4,0.98929
SKP1,0.71941
CADM3,0.85402
FXYD7,0.1591
RORC,0.93919
ARHGAP35,0.98925
API5,0.98825
DCLK1,0.98925
PRMT5,0.85001
BTBD19,0.24512
LRRC4B,0.59102
MAP3K12,0.92245
SND1,0.98919
PCDH10,0.98917
DIP2B,0.98917
HPN,0.75358
RB1,0.98381
MTSS1,0.98915
ERBB2IP,0.98915
ITGB8,0.98913
ARRDC3,0.9891
HERC1,0.9891
NRXN2,0.80418
CALD1,0.98907
ANAPC2,0.88789
PACS1,0.9077
CSK,0.90373
RAI1,0.98898
KDM5A,0.98897
DYRK1A,0.98896
FOXO3,0.98893
ACTN1,0.98892
PDE2A,0.8839
WDR7,0.98889
PRICKLE2,0.98887
UBE2D2,0.85417
FLT1,0.98887
CDC23,0.95107
HMGXB3,0.94572
JAK1,0.98884
FST,0.98884
USP15,0.98882
ETS2,0.98881
GRIK2,0.9888
PARD3,0.98878
GRHL2,0.98877
AHR,0.98875
EIF3B,0.98867
SF3B2,0.87005
ARHGAP31,0.98863
PTPRZ1,0.9886
CELF5,0.7299
CAMSAP3,0.98859
TNRC6C,0.98858
FOXP1,0.98858
SFMBT2,0.98857
NCAM1,0.98857
CACNA2D1,0.98855
PI4KB,0.9019
PRKCE,0.97624
HMGCS1,0.9885
NFKB1,0.98849
TP53BP1,0.98847
SAMD4B,0.93399
MSI2,0.98846
EML3,0.48294
SRPK2,0.98842
INHBA,0.98842
TGFB2,0.9884
PPP4C,0.45803
EPHA4,0.98836
SLC12A5,0.81271
ZZZ3,0.98834
DNAJC7,0.8778
MAPK14,0.82428
AKT1,0.86384
MPRIP,0.98832
XRCC5,0.98831
ANKRD12,0.98829
FXYD1,0.30036
VEZF1,0.98689
GTPBP1,0.90896
TLE3,0.98809
QRICH1,0.91014
CCND2,0.98808
TSHZ3,0.98807
PDS5B,0.98807
USP47,0.98806
TPP2,0.98803
TNS3,0.98801
RARA,0.72205
JAG2,0.98793
NUCKS1,0.96747
CAMK2G,0.86648
NUP188,0.97359
UBE2O,0.98786
GLYR1,0.95805
PSMD1,0.98432
MAPKAPK2,0.97102
ZBTB1,0.98342
ZCCHC6,0.98781
NR2F2,0.9878
SLC17A7,0.55467
AKAP11,0.98778
DPF1,0.71144
MAP2K7,0.77889
CELF1,0.97909
DOT1L,0.97851
WWP1,0.9877
CTNND2,0.98769
RNF145,0.98768
SEMA6A,0.98767
IL6ST,0.98767
RASAL2,0.98766
HNRNPAB,0.94822
ADAM10,0.98762
KIF13A,0.98761
ZC3H13,0.98759
SMEK1,0.98757
KIAA1244,0.98752
MED12L,0.98751
ZNF609,0.9875
SCAF4,0.98746
UBA2,0.95924
CCNC,0.98737
RB1CC1,0.98735
MAP3K1,0.98733
NFKB2,0.84078
BMPR2,0.98729
CSNK2A2,0.91708
WDR1,0.98727
TEX10,0.98725
PRKRIR,0.98723
BCL11B,0.98722
SEL1L,0.98721
ACAP2,0.97955
KDR,0.9872
GSPT1,0.98718
DNM2,0.92416
TRIM33,0.98715
RAN,0.98713
YWHAE,0.98712
TRIM24,0.98712
WHSC1,0.98477
PHF5A,0.76975
AP3D1,0.96925
SAFB,0.98704
WEE1,0.98702
TLN2,0.98702
TRIM3,0.92012
GNAI2,0.76256
SCN1A,0.98695
KPNA4,0.9691
SAMD4A,0.9869
FXR1,0.98687
DAAM1,0.98685
BRAF,0.9859
SMG6,0.98682
NKTR,0.98681
SLC6A1,0.90627
CSE1L,0.9868
ZBTB7B,0.61969
BAHD1,0.96479
ZNF512B,0.97436
APH1A,0.56962
RPL8,0.98675
RAB11A,0.92863
DAGLA,0.9721
DIDO1,0.98666
FAM120A,0.98664
ADD3,0.98663
AKAP6,0.98662
RAPH1,0.98662
CDC42BPA,0.98658
GLG1,0.98658
KDM2B,0.98655
EFNA5,0.98655
MYRF,0.84213
UBR4,0.98009
ICMT,0.87106
SORCS1,0.98652
MPZ,0.4856
IGF2R,0.98648
RYR2,0.98646
ZNF384,0.92586
SLC6A6,0.96122
VPS4A,0.80302
ATP6V0A1,0.92867
CUL4A,0.97564
EGLN1,0.98632
RAB3GAP2,0.98631
KBTBD2,0.98631
RABGAP1,0.9863
ZBTB16,0.98629
AHCTF1,0.98627
XPOT,0.98534
PIAS1,0.98626
SHOC2,0.98626
ARHGEF7,0.98622
RALGAPB,0.98621
ATG9A,0.53666
CPSF1,0.46841
RPS6KA5,0.98615
TBC1D10B,0.87178
STIM2,0.98608
RPS6,0.98605
INTS6,0.98605
CACNA1I,0.95037
NCAPG2,0.98603
NFATC2,0.98602
ELL2,0.98602
ARFIP2,0.79444
NRG2,0.94928
STK39,0.98595
PDZD2,0.98592
SNAP25,0.95936
ZCCHC11,0.9856
ZBTB44,0.9859
PDS5A,0.9859
C11orf68,0.18029
DUSP7,0.7301
FOXN3,0.98581
CDH2,0.9858
SETD5,0.98578
ARHGEF2,0.88508
PHF2,0.98357
PSME3,0.83649
NAA15,0.96807
UHRF2,0.98569
STRBP,0.98063
SRSF3,0.98565
UBE3C,0.98557
SMAD2,0.98557
CLASP1,0.98557
KAT7,0.96304
LOX,0.98553
ZCCHC14,0.98551
GFPT1,0.95594
CTNNA1,0.98549
UBR3,0.98477
RDX,0.98547
MN1,0.98546
SCRIB,0.91956
NAP1L1,0.98545
AHSA1,0.87975
ERH,0.83292
G3BP1,0.83981
BRPF1,0.97135
EWSR1,0.98538
HNRNPUL1,0.96758
TAF4,0.98536
AAMP,0.86568
ZNF281,0.98534
PSIP1,0.98531
ROCK1,0.9853
MAP1A,0.9853
CPSF6,0.98529
PITPNC1,0.97651
RXRA,0.96536
MMP14,0.97962
CACNA1D,0.98519
GRIA1,0.98518
PRR14L,0.98516
DCAF8,0.94845
MYO16,0.98508
UBN2,0.98508
KIAA2018,0.98503
TRA2B,0.98501
KPNA6,0.90908
BRD1,0.98494
FBXO38,0.98487
AP2B1,0.97805
ANTXR1,0.98486
SFPQ,0.98486
HNRNPM,0.98484
RIMS1,0.98481
EXOC5,0.98481
SENP6,0.98477
SURF4,0.7786
GRAMD4,0.98475
IPO9,0.98475
USP14,0.98475
EED,0.98017
ING3,0.9847
SMG7,0.98469
UCKL1,0.33535
ZNF148,0.98467
IPO4,0.34789
SPPL3,0.97104
SPAG9,0.98463
TRIB2,0.9846
PRPF6,0.6842
SP4,0.98459
BCL11A,0.98456
FBLN1,0.98456
HSPA5,0.98456
COPS6,0.81726
MAGI2,0.98454
YTHDC1,0.98452
DAB2IP,0.98452
RELA,0.8944
CDK17,0.98447
NTRK2,0.98446
PSMD11,0.97055
ARIH1,0.98444
RPL3,0.98443
OSBP,0.97117
CNOT4,0.98435
PRRC2B,0.98433
VCAN,0.98433
HNRNPA3,0.9843
ADCY5,0.98428
STRN4,0.85709
MTA2,0.92535
MAST3,0.87307
YWHAZ,0.98426
CNOT6L,0.97382
ZNF407,0.98424
YLPM1,0.98423
IRF6,0.98422
CASZ1,0.98421
BMP2,0.98421
GTPBP4,0.98418
CCAR1,0.97529
MARCH5,0.95415
NRBP1,0.87631
PCDH9,0.98411
UCHL1,0.98409
DPYSL3,0.98406
KLF12,0.98406
COL2A1,0.98405
EIF4B,0.94162
ARHGAP42,0.98399
AKT2,0.83079
SOGA1,0.98396
CALM2,0.93262
DYRK2,0.98391
SEMA3A,0.9839
SIK2,0.98389
JAZF1,0.92321
TMED10,0.95193
LRP6,0.98388
LGR4,0.98387
CLASRP,0.69741
EI24,0.85323
LRRC8A,0.87388
XPR1,0.98381
WTAP,0.98381
RIMS2,0.9838
CCNK,0.98103
BIRC6,0.98375
AP2A2,0.94173
CELF2,0.9837
RAB6B,0.85205
TRAPPC8,0.98369
ST5,0.98367
PLXNA4,0.98365
RALGDS,0.95918
NR1D1,0.8354
NNT,0.9836
PHB,0.84144
CNOT2,0.96287
SRSF1,0.98348
SRM,0.50359
RANBP3,0.96574
ITPR3,0.82038
PSMC4,0.59212
RNF41,0.83625
CSNK1G2,0.92796
LPCAT3,0.94895
SEPT4,0.66929
CDYL,0.98324
RCC2,0.97798
INTS2,0.98318
CAMSAP1,0.98318
PCNX,0.98317
HECW2,0.98314
FBL,0.89174
FMNL2,0.9831
PELP1,0.9831
TPT1,0.98309
DDI2,0.91114
FAR1,0.98303
KIAA0922,0.98302
PTBP1,0.95405
FAM135A,0.98302
HEPACAM,0.82924
WDR48,0.96539
CORO1C,0.98293
RAD54L2,0.98287
UBE2Z,0.88457
HNRNPL,0.97759
DOCK4,0.98282
RPL9,0.9828
XPO4,0.98278
INO80,0.97734
DDX1,0.98273
CTNND1,0.97829
RBPMS,0.9827
PSMD12,0.98264
RPL6,0.98264
PAFAH1B1,0.98264
SKIL,0.98264
DDX6,0.96073
UBQLN1,0.98262
SP1,0.98261
MAF1,0.46401
CHAF1A,0.98259
ZNF131,0.98257
GPATCH8,0.98255
NUP98,0.98255
LSAMP,0.98254
HCFC2,0.98252
YTHDF2,0.98247
FAM208A,0.98247
CLCF1,0.76769
CNOT7,0.98206
RUNDC3A,0.34343
UNC13A,0.88391
MAML2,0.98232
FAM160B1,0.98232
RAB24,0.41767
MITF,0.98228
RAB1A,0.93539
CPEB3,0.98225
SMC2,0.98225
KLF7,0.98224
KCNK12,0.7254
PRKAR1A,0.97743
SBNO2,0.66778
DKFZP761J1410,0.82134
EEA1,0.9822
THSD7A,0.9822
EFEMP1,0.98219
ATP1A2,0.61919
ANKRD11,0.98217
MEF2A,0.98217
PDCD10,0.98216
SCN3A,0.98214
MLLT1,0.94852
TMEM131,0.98213
PTBP2,0.98211
TOX3,0.9821
CNOT3,0.90223
BZW1,0.94796
TAOK3,0.98205
MON2,0.98203
SEPHS1,0.98201
GNB1,0.96208
ATXN1,0.98199
EPS15L1,0.89145
RCOR3,0.98197
MYL6,0.94929
FZD4,0.98195
BRD3,0.9308
PABPN1,0.38889
RAB35,0.84794
RBM33,0.98192
PDZRN3,0.98191
TRAPPC10,0.9819
RAPGEF5,0.9819
ACLY,0.64829
NR4A2,0.98188
UBE2N,0.95103
GID8,0.8004
MAPKAP1,0.98187
ESRP1,0.98184
ZER1,0.96786
FMN2,0.98183
FNBP4,0.97945
SYT7,0.83997
ZNF865,0.75606
FASN,0.95925
CDK13,0.98155
KCNJ9,0.43264
BAZ2B,0.98153
PHC3,0.98153
BRPF3,0.98147
SGIP1,0.98146
MYH9,0.98142
HMBOX1,0.9814
HAS2,0.98136
ZNF319,0.56253
RPS3A,0.98132
U2AF1,0.9544
FOXJ2,0.91974
KLHDC10,0.95915
MTMR3,0.98126
